"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","中華人民共和國"
"中華人民共和國國務院公報","中華人民共和國國務院","中華人民共和國（1949–迄今）","官方檔案文書","中華人民共和國國務院","CN-ST-PRC-01","https://www.gov.cn/","zh","文字","中華人民共和國國務院公報，刊載國務院令、行政法規、部門規章與重要政策文件，自1954年創刊持續至今，中央人民政府入口網站提供歷年公報全文檢索","國務院;公報;行政法規;政策;國務院令","中華人民共和國（1949–迄今）","全中國","–","中華人民共和國憲法與法律文本;中國共產黨中央文件選編","中華人民共和國國務院","中華人民共和國國務院","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","現行行政法規之官方紀錄","中華人民共和國"
"全國人民代表大會常務委員會公報","全國人民代表大會常務委員會","中華人民共和國（1954–迄今）","官方檔案文書","全國人民代表大會常務委員會","CN-ST-PRC-02","https://www.npc.gov.cn/","zh","文字","全國人民代表大會常務委員會公報，刊載立法審議紀錄、法律文本與監督事項，官方網站提供歷次會議內容，為查考共和國立法沿革之權威文獻","全國人大;人大常委會;立法;法律;監督","中華人民共和國（1949–迄今）","北京","–","中華人民共和國憲法與法律文本;中國人民政治協商會議史料","全國人民代表大會常務委員會","全國人民代表大會常務委員會","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","共和國立法沿革權威文獻","中華人民共和國"
"中國共產黨中央文件選編","中共中央文獻研究室","中華人民共和國（1949–）","官方檔案文書","中央檔案館","CN-ST-PRC-03","https://www.saac.gov.cn/","zh","文字","中共中央重要文件選編與《建國以來重要文獻選編》等系列，收錄1949年以來中央會議決議、方針政策與領導人文稿，中央檔案館與文獻研究部門整理，為共和國政治史之基本文獻","中國共產黨;中央文件;文獻選編;政策;檔案","中華人民共和國（1949–迄今）","北京、全中國","–","十一屆三中全會與改革開放文件;毛澤東選集與建國以來文稿","中共中央文獻研究室","中央檔案館","2026-07-31","UNCLEAR","出版品公開發行","已收錄 metadata","共和國政治史基本文獻","中華人民共和國"
"新華社電訊與檔案","新華通訊社","中華人民共和國（1949–迄今）","官方檔案文書","新華社","CN-ST-PRC-04","https://www.news.cn/","zh","文字;圖檔;影音","新華通訊社自建國起之電訊稿、通稿與歷史檔案，含重大事件現場報導與社論，新華網提供歷史報導檢索，為共和國官方新聞紀錄之主體","新華社;電訊;通稿;新聞;官方","中華人民共和國（1949–迄今）","全中國","–","開國大典影像與照片;新華社歷史圖片庫","新華通訊社","新華社","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","官方新聞紀錄主體","中華人民共和國"
"中國人民政治協商會議史料","中國人民政治協商會議全國委員會","中華人民共和國（1949–迄今）","官方檔案文書","中國人民政治協商會議全國委員會","CN-ST-PRC-05","https://www.cppcc.gov.cn/","zh","文字","中國人民政治協商會議歷屆會議之文件與提案史料，涵蓋1949年籌建新政協至當代協商民主制度，政協網站提供歷屆會議資訊，為共和國政治制度史之重要文獻","政協;政治協商;統一戰線;會議;提案","中華人民共和國（1949–迄今）","北京、全中國","–","中華人民共和國憲法與法律文本;全國人民代表大會常務委員會公報","中國人民政治協商會議全國委員會","中國人民政治協商會議全國委員會","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","政治協商制度文獻","中華人民共和國"
"土地改革運動檔案","中華人民共和國中央人民政府","中華人民共和國（1950–1953）","官方檔案文書","中國國家檔案局","CN-ST-PRC-06","https://www.saac.gov.cn/","zh","文字;圖檔","1950年《土地改革法》公布後全國土地改革運動之檔案，涵蓋各地土改呈報、分田登記與農會資料，中央檔案館及各省檔案館典藏，為共和國初期農村改革之核心史料","土地改革;土改;農村;農民;階級","中華人民共和國（1949–迄今）","全中國","–","一五計畫與社會主義改造檔案;中國共產黨中央文件選編","中華人民共和國中央人民政府","中國國家檔案局","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","共和國初期農村改革檔案","中華人民共和國"
"一五計畫與社會主義改造檔案","中華人民共和國國家計畫委員會","中華人民共和國（1953–1957）","官方檔案文書","中央檔案館","CN-ST-PRC-07","https://www.saac.gov.cn/","zh","文字;圖檔","第一個五年計畫（1953–1957）之經濟計畫文件與對農業、手工業、資本主義工商業社會主義改造之檔案，涵蓋重工業建設與公私合營過程，為共和國計畫經濟體制之開端紀錄","一五計畫;社會主義改造;公私合營;計畫經濟;工業化","中華人民共和國（1949–迄今）","全中國","–","土地改革運動檔案;中國人民銀行金融史料","中華人民共和國國家計畫委員會","中央檔案館","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","計畫經濟體制開端紀錄","中華人民共和國"
"大躍進與人民公社史料","中共中央","中華人民共和國（1958–1961）","官方檔案文書","中國國家圖書館","CN-ST-PRC-08","https://www.nlc.cn/","zh","文字","1958年大躍進運動與人民公社化之政策文件、報刊報導與地方史料，涵蓋全民大煉鋼鐵、糧食高產浮報與公社食堂，中國國家圖書館整理專題文獻，為共和國農業與經濟史之重要研究史料","大躍進;人民公社;煉鋼;浮報;農業","中華人民共和國（1949–迄今）","全中國","–","一五計畫與社會主義改造檔案;中國工業與國民經濟統計","中共中央","中國國家圖書館","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","大躍進運動文獻","中華人民共和國"
"文化大革命檔案","中共中央文化革命小組","中華人民共和國（1966–1976）","官方檔案文書","中央檔案館","CN-ST-PRC-09","https://www.saac.gov.cn/","zh","文字;圖檔","文化大革命（1966–1976）期間之中央文件、紅衛兵文獻與地方檔案，含毛澤東「五一六通知」「八一八接見」等歷史文電，中央檔案館與各地檔案館典藏，為共和國政治史最具爭議時期之原始史料","文化大革命;文革;紅衛兵;中央文革小組;政治運動","中華人民共和國（1949–迄今）","全中國","–","大躍進與人民公社史料;中國共產黨中央文件選編","中共中央文化革命小組","中央檔案館","2026-07-31","UNCLEAR","館藏檔案，需申請調閱","已收錄 metadata","文革時期原始文獻","中華人民共和國"
"十一屆三中全會與改革開放文件","中國共產黨","中華人民共和國（1978–）","官方檔案文書","中國共產黨新聞網","CN-ST-PRC-10","https://cpc.people.com.cn/","zh","文字","1978年12月中共十一屆三中全會決議與改革開放以來之中央文件，確立經濟體制改革與對外開放路線，中國共產黨新聞網提供歷屆全會公報與文件全文，為共和國轉型史之關鍵文獻","十一屆三中全會;改革開放;經濟體制改革;鄧小平;決議","中華人民共和國（1949–迄今）","北京、全中國","–","鄧小平文選與年譜;深圳經濟特區檔案","中國共產黨","中國共產黨新聞網","2026-07-31","UNCLEAR","網站公開瀏覽","已收錄 metadata","改革開放開端文件","中華人民共和國"
