"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","中華民國"
"中華民國臨時約法","南京臨時政府","1912-03-11","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-01","http://www.shac.net.cn/","zh","文字","1912年3月11日南京臨時政府公布之憲法性文件，確立人民自由權利、參議院與臨時大總統之制度安排，為中華民國第一部臨時憲法，奠定民國法制之基石，原檔藏於中國第二歷史檔案館","中華民國臨時約法;臨時政府;憲法;南京","中華民國（1912–1949）","全中國","–","中華民國臨時政府組織大綱;中華民國憲法","南京臨時政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","中華民國第一部憲法性文件","中華民國"
"北京政府大總統府檔案（北洋政府）","北京政府（北洋政府）","中華民國（1912–1928）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-02","http://www.shac.net.cn/","zh","文字;圖檔","北洋政府時期（1912–1928）大總統府暨國務院之公文檔案，涵蓋袁世凱執政、護國戰爭、軍閥混戰與府院之爭等，為研究民國初期中央政權運作之核心檔案群","北洋政府;大總統府;袁世凱;軍閥;北京","中華民國（1912–1949）","北京","–","中華民國政府公報;國史館藏北洋政府檔案","北京政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","北洋時期中央政權第一手檔案","中華民國"
"中華民國政府公報（1912–1949）","中華民國政府","中華民國（1912–1949）","官方檔案文書","中國國家圖書館","CN-ST-ROC-03","https://www.nlc.cn/","zh","文字","民國政府歷年頒布之法令、規章、人事任免與行政命令之官方紀錄，自臨時政府公報至國民政府公報連續出版，為查考民國法律制度與行政變遷之基本史料，中國國家圖書館有系統典藏","政府公報;法令;行政命令;法規","中華民國（1912–1949）","全中國","–","中華民國臨時約法;國民政府檔案","中華民國政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國法令沿革之權威紀錄","中華民國"
"國民政府檔案（南京國民政府）","國民政府","中華民國（1927–1949）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-04","http://www.shac.net.cn/","zh","文字;圖檔","南京國民政府時期（1927–1949）行政院各部會之檔案，涵蓋訓政建設、抗戰遷都重慶、戰後接收與國共內戰，為中華民國大陸時期中央檔案之最大宗收藏","國民政府;南京;行政院;訓政;抗戰","中華民國（1912–1949）","南京、重慶","–","重慶國民政府戰時檔案;中華民國政府公報","國民政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國中央檔案之最大宗收藏","中華民國"
"國史館藏蔣中正總統文物","國史館","中華民國（1912–1975）","官方檔案文書","國史館","CN-ST-ROC-05","https://www.drnh.gov.tw/","zh","文字;圖檔","國史館典藏之蔣中正總統文物，含大溪檔案、事略稿本與相關函電，涵蓋北伐、抗戰與國共內戰期間之決策紀錄，為民國史與二次大戰東亞戰場之重要一手檔案","蔣中正;總統;北伐;抗戰;大溪檔案","中華民國（1912–1949）","全中國","–","重慶國民政府戰時檔案;西安事變史料","國史館","–","2026-07-31","UNCLEAR","數位檔須於館內閱覽","已收錄 metadata","蔣中正決策一手檔案","中華民國"
"重慶國民政府戰時檔案（1937–1945）","國民政府","中華民國（1937–1945）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-06","http://www.shac.net.cn/","zh","文字;圖檔","抗戰時期國民政府遷都重慶後之部會公文與決策紀錄，涵蓋大後方建設、工業內遷、對日作戰與中美同盟合作，為研究中國抗日戰爭之核心官方檔案","抗日戰爭;重慶;大後方;對日作戰;國防最高委員會","中華民國（1912–1949）","重慶、西南","–","國民政府檔案;抗戰老兵口述史","國民政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","抗戰時期中央決策檔案","中華民國"
"汪精衛南京國民政府檔案","汪精衛政權","中華民國（1940–1945）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-07","http://www.shac.net.cn/","zh","文字","汪精衛於1940年在南京組設之國民政府（汪政權）檔案，含行政組織、淪陷區治理與日汪關係文電，為研究抗戰時期淪陷區與傀儡政權之重要史料","汪精衛;南京國民政府;淪陷區;傀儡政權;中日戰爭","中華民國（1912–1949）","南京、華東","–","重慶國民政府戰時檔案;中日戰爭史料","汪精衛政權","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","淪陷區政權檔案","中華民國"
"九一八事變與滿洲國檔案","中央研究院近代史研究所","中華民國（1931–1945）","官方檔案文書","中央研究院近代史研究所","CN-ST-ROC-08","https://www.mh.sinica.edu.tw/","zh","文字;圖檔","九一八事變爆發至滿洲國成立與覆滅期間之中日外交檔案與相關文電，涵蓋國際聯盟調查、抗日救亡運動與東北淪陷，近代史研究所整理之中日關係檔案為重要來源","九一八事變;滿洲國;中日關係;東北;國際聯盟","中華民國（1912–1949）","東北、瀋陽","–","西安事變史料;國史館藏蔣中正總統文物","中央研究院近代史研究所","–","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","東北淪陷與中日衝突檔案","中華民國"
"西安事變史料","中國第二歷史檔案館","中華民國（1936）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-09","http://www.shac.net.cn/","zh","文字","1936年12月張學良、楊虎城在西安扣押蔣中正（西安事變）之相關檔案與文電，涵蓋事變前後國共兩黨折衝與和平解決過程，為近代史關鍵事件之原始紀錄","西安事變;張學良;楊虎城;蔣中正;國共合作","中華民國（1912–1949）","西安、陝西","–","張學良口述歷史與檔案;九一八事變與滿洲國檔案","中國第二歷史檔案館","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","西安事變原始文電","中華民國"
"國共內戰與戡亂檔案","國民政府","中華民國（1945–1949）","官方檔案文書","中國第二歷史檔案館","CN-ST-ROC-10","http://www.shac.net.cn/","zh","文字;圖檔","抗戰勝利後國共軍事衝突至國民政府撤退期間之戡亂動員與軍事檔案，涵蓋接收東北、三大戰役與戰略崩潰過程，為中華民國大陸時期之末期官方紀錄","國共內戰;戡亂;軍事;三大戰役;撤退","中華民國（1912–1949）","全中國","–","國民政府檔案;中華民國政府公報","國民政府","–","2026-07-31","UNCLEAR","館藏原件，需申請調閱","已收錄 metadata","民國大陸時期終局檔案","中華民國"
"中華民國海關總稅務司署檔案（1912–1949）","總稅務司署","中華民國（1912–1949）","官方檔案文書","中央研究院近代史研究所","CN-ST-ROC-11","https://www.mh.sinica.edu.tw/","zh","文字;圖檔","海關總稅務司署於民國時期之檔案與貿易統計，繼晚清赫德體制延續至國民政府時期，涵蓋關稅自主運動、走私查緝與貿易紀錄，近代史研究所整理之海關檔案為治民國經濟史之基礎","海關;總稅務司署;關稅;貿易統計;近代史研究所","中華民國（1912–1949）","全中國","–","近代中國海關貿易統計;中國銀行行史","總稅務司署","–","2026-07-31","UNCLEAR","數位資料庫需申請帳號","已收錄 metadata","民國海關經濟史料","中華民國"
"申報（1872–1949）","申報館","中華民國（1912–1949）","報刊與雜誌","上海圖書館","CN-ST-ROC-12","https://www.library.sh.cn/","zh","文字;圖檔","《申報》為近代中國發行時間最長之報紙，民國時期連續出版報導政治、社會、商業與文化生活，上海圖書館完成全文數位化，為研究民國社會史與新聞史之重要報刊史料","申報;報刊;新聞史;上海;社會史","中華民國（1912–1949）","上海、全中國","–","東方雜誌;大公報","申報館","上海圖書館","2026-07-31","UNCLEAR","數位庫限館內使用","已收錄 metadata","近代中國最長壽報紙","中華民國"
"大公報（1902–1949）","大公報社","中華民國（1912–1949）","報刊與雜誌","天津圖書館","CN-ST-ROC-13","https://www.tjl.tj.cn/","zh","文字;圖檔","《大公報》自天津創刊，民國時期發展為全國性大報，以知識分子論政著稱，其「四不主義」辦報方針影響深遠，天津圖書館典藏完整並數位化，為民國新聞史料之要籍","大公報;報刊;新聞史;天津;論政","中華民國（1912–1949）","天津、全中國","–","申報;中央日報","大公報社","天津圖書館","2026-07-31","UNCLEAR","數位庫限館內使用","已收錄 metadata","民初知識分子論政報紙","中華民國"
