"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"拉施特《史集》（波斯文世界史）","拉施特（波斯）","元（1311）","傳世文獻","中央研究院","CN-ST-YUAN-JAMI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","波斯伊利汗國宰相拉施特奉敕編《史集》，成於1311年，為波斯文世界通史巨著，其「蒙古史」部分據蒙古文秘籍與口述編纂，記成吉思汗祖先系譜與蒙元史事，與《蒙古秘史》《元史》互證補缺，為研究蒙古帝國史最珍貴之域外史料","史集;拉施特;波斯文;伊利汗國;蒙古帝國","元","全中國","–","蒙古秘史;元史;耶律楚材西遊錄","中央研究院","–","2026-07-31","UNCLEAR","漢譯本已出版","已收錄 metadata","波斯文記蒙古帝國之巨著","元")
"新安沉船與元代海上貿易","中國國家博物館","元（1323）","考古與物質文化","中國國家博物館","CN-ST-YUAN-XINAN-01","–","zh","圖檔;文字","新安沉船為1975年於韓國新安海域打撈之元代中國海船，船長34米，出水中國瓷器二萬餘件（龍泉窯、景德鎮窯）、銅錢八百餘萬枚及胡椒、香料，據貨物推定為1323年自慶元（寧波）駛往日本之貿易船，為元朝海上貿易規模最完整之沉船實證","新安沉船;元代沉船;龍泉窯;海上貿易;慶元港","元","浙江寧波（出航）;韓國新安","–","泉州後渚沉船;南宋海外貿易與市舶司史料;元青花瓷器","中國國家博物館","–","2026-07-31","ARR","出水文物分藏中韓，整理報告已出版","已收錄 metadata","元代海上貿易之最完整沉船實證","元")
"泉州後渚沉船（宋元海船）","泉州海外交通史博物館","1974","考古與物質文化","泉州海外交通史博物館","CN-ST-YUAN-HOUZHU-01","–","zh","圖檔;文字","1974年於泉州後渚港發掘之宋元海船殘體，船身長24米，為福船型尖底海船，13艙水密分隔，船中出土香料（沉香、龍腦）、陶瓷與木牌簽，現陳列於泉州海外交通史博物館，為中國古代造船技術與海上絲路航運之珍貴實物","泉州後渚;福船;宋元海船;造船;香料","元","福建泉州","–","新安沉船;南宋海外貿易與市舶司史料","泉州海外交通史博物館","–","2026-07-31","ARR","館藏數位影像依館方規定","已收錄 metadata","中國古造船技術之珍貴實物","元")
"元代京杭大運河與水利工程史料","中央研究院","元（13世紀）","官方檔案文書","中央研究院","CN-ST-YUAN-YUNHE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元世祖至元年間開鑿會通河、通惠河，貫通京杭大運河全線，使南糧北運直達大都，並設都水監治河，郭守敬主持通惠河工程、開引白浮泉水入城，史料見《元史·河渠志》與《農桑輯要》，為元朝漕運體系與水利工程之核心記載","京杭大運河;通惠河;會通河;郭守敬;漕運","元","全中國","–","金中都水關遺址;元史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","京杭運河全線貫通之關鍵","元")
"元朝行省制度與地方行政史料","中央研究院","元（1260–1368）","官方檔案文書","中央研究院","CN-ST-YUAN-XINGSHENG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元朝首創行中書省（行省）制度，除腹里外分設嶺北、遼陽、河南江北、陝西、四川、甘肅、雲南、江浙、江西、湖廣等行省，統轄路府州縣，開中國省制之先河，兼行宣政院轄吐蕃、征東行省轄高麗等特殊建制，史料見《元史·地理志》《百官志》","行省制度;行中書省;元朝;地方行政;省制","元","全中國","–","元史;元典章;元朝與高麗關係史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國省制之起源","元")
"八思巴文碑刻與文獻（國字）","北京市文物研究所","元（1269–）","碑碣與實物刻文","北京市文物研究所","CN-ST-YUAN-BASIPA-01","–","zh","圖檔;文字","元世祖命八思巴創制蒙古新字（八思巴字），至元六年（1269）頒行作為「國字」拼寫各民族語言，現存八思巴字碑刻以居庸關雲臺六體石刻、各地聖旨碑及八思巴字錢鈔為代表，為蒙古語文與元朝多語文並行之制度實證","八思巴字;蒙古新字;居庸關雲臺;碑刻;國字","元","全中國","–","女真文字石刻;元史;泉州穆斯林石刻","北京市文物研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","元朝國字之碑刻實證","元")
"北京妙應寺白塔（阿尼哥）","北京市文物研究所","元至元十六年（1279）","照片與影像","北京市文物研究所","CN-ST-YUAN-BAITA-01","–","zh","圖檔","北京妙應寺白塔建於元至元十六年（1279），為尼泊爾工匠阿尼哥主持營造之覆缽式磚石塔，通高50.9米，為元大都現存最重要之地面建築，象徵蒙元與西藏佛教之密切關係，亦為中國與南亞建築文化交流之見證","妙應寺白塔;阿尼哥;覆缽式塔;藏傳佛教;尼泊爾","元","北京","–","元大都城址考古;金代佛教遺存","北京市文物研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","尼泊爾工匠主持之元大都地標","元")
"耶律楚材《西遊錄》（蒙古西征紀行）","耶律楚材","元（1228）","傳世文獻","中央研究院","CN-ST-YUAN-XIYOULU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","耶律楚材於成吉思汗西征期間扈從西行六萬餘里，撰《西遊錄》記西域道里、山川、城郭與風俗，兼述蒙元興起，為13世紀上半葉中國人記中亞西域之最重要行記，與邱處機《長春真人西遊記》並為蒙元經略西域之第一手史料","西遊錄;耶律楚材;蒙古西征;西域;行記","元","中亞","–","蒙古秘史;史集;馬可波羅遊記","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","蒙元經略西域之第一手行記","元")
"洪洞水神廟明應王殿元雜劇壁畫","山西省古建築保護研究所","元泰定元年（1324）","照片與影像","山西省古建築保護研究所","CN-ST-YUAN-BIHUA-01","–","zh","圖檔","山西洪洞廣勝寺水神廟明應王殿南壁東側元雜劇演出壁畫，繪於元泰定元年（1324），橫幅畫面中戲臺、演員行當、伴奏樂隊俱全，橫額書「大行散樂忠都秀在此作場」，為元雜劇演劇實況之唯一存世壁畫，中國戲曲史之國寶級圖像","洪洞水神廟;明應王殿;元雜劇;壁畫;戲曲史","元","山西臨汾（洪洞）","–","元刊雜劇三十種;趙城金藏","山西省古建築保護研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","元雜劇演劇實況之唯一壁畫","元")
"元朝與高麗、日本關係史料","中央研究院","元（1274–1368）","官方檔案文書","中央研究院","CN-ST-YUAN-GAOLI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元朝兩度東征日本（1274、1281），並設征東行省轄高麗、遼東，日本鎌倉幕府拒命，元日關係以「文永·弘安之役」與往還國書為要；高麗則與元王室聯姻通婚。史料見《元史·日本傳》《高麗史》及元人文集，為東亞國際關係史之重要文獻","元日關係;征東行省;高麗;蒙古來襲;東亞","元","東亞","–","元史;史集;遣隋使","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","蒙古兩度征日之東亞外交","元")
"元史（漢籍全文資料庫）","宋濂等（明）","明（1370）","傳世文獻","中央研究院","CN-ST-YUAN-YUANSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明宋濂等奉敕撰《元史》二百一十卷，含本紀47卷、志58卷、表8卷、列傳97卷，記載蒙古建國迄元順帝（1206–1370）史事，多據元朝實錄與《經世大典》纂成，保存大量元代官制、財賦、刑法與各族人物資料，為二十四史中記元朝之正史","元史;宋濂;元朝;蒙古;正史;二十四史","元","全中國","–","蒙古秘史;元典章;通制條格","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","記元朝百餘年之正史","元")
"蒙古秘史（元朝秘史）","佚名（蒙元宮廷史官）","元（1240）","傳世文獻","中央研究院","CN-ST-YUAN-MENGGU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《蒙古秘史》（原名《忙豁侖·紐察·脫卜察安》）十二卷，為蒙古人用畏兀體蒙古文撰寫之宮廷秘史，記成吉思汗先祖與一生事業及窩闊台初年事，兼含古詩與傳說，係現存最早之蒙古文文獻，為蒙古族起源、成吉思汗事蹟與十三世紀草原社會之第一手史料","蒙古秘史;成吉思汗;蒙古文;遊牧民族;開國史","元","蒙古草原","–","元史;長春真人西遊記;馬可波羅遊記","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","現存最早蒙古文文獻","元")
"元典章（大元聖政國朝典章）","元朝官府","元（1307–1320）","官方檔案文書","中央研究院","CN-ST-YUAN-DIANZHANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《大元聖政國朝典章》簡稱元典章，六十卷，彙輯至元迄延祐年間（1260–1320）朝廷頒行之詔令、條格、案例，分詔令、聖政、朝綱、臺綱、吏部、戶部、禮部、兵部、刑部、工部十門，係元代典章制度與社會實況之原始檔案總彙，為元代法制史核心文獻","元典章;條格;詔令;元代法制;典章制度","元","全中國","–","通制條格;元史;宋會要輯稿","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元代典章制度原始檔案總彙","元")
"通制條格（元代法典）","元朝官府","元（1323）","官方檔案文書","中央研究院","CN-ST-YUAN-TIAOGE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《通制條格》三十卷，為元英宗至治三年（1323）頒行《大元通制》之條格部分，按戶令、學令、選舉、軍防、賦役、田宅、倉庫、捕亡、雜令等分類，收錄元初至中葉歷朝敕旨條畫，為現存最完整之元代法典條格，係研究元代律令與行政制度之基礎","通制條格;大元通制;元代法典;條格;制度史","元","全中國","–","元典章;元史;唐律疏議","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","現存最完整元代法典","元")
"馬可波羅遊記（中譯本）","馬可波羅","元（1298）","傳世文獻","中央研究院","CN-ST-YUAN-MARKOPOLO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","義大利旅行家馬可波羅1271年東行，仕於忽必烈朝十七年，歸後口述《東方見聞錄》（馬可波羅遊記），記大都宮闕、驛站交通、杭州繁華、泉州港務及紙幣制度，為歐洲人記元代中國之最著名文獻，對歐洲東方觀與地理大發現影響深遠，中譯本以馮承鈞譯本最通行","馬可波羅;遊記;元代;東西交流;絲路","元","全中國","–","元史;伊本白圖泰遊記;泉州海外交通史跡","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","歐洲人眼中的元代中國","元")
"伊本·白圖泰遊記（摩洛哥旅行家）","伊本·白圖泰","元（1355）","傳世文獻","中央研究院","CN-ST-YUAN-IBNBATTUTA-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","摩洛哥旅行家伊本·白圖泰於十四世紀中葉遊歷中國，其《遊記》記泉州、杭州、大都見聞，詳載穆斯林社群、港口貿易、絲綢瓷器與驛站制度，與馬可波羅遊記互為表裡，為阿拉伯世界記元代中國之最重要文獻，反映元代海上絲路之國際視野","伊本白圖泰;遊記;元代;穆斯林;海上絲路","元","全中國","–","馬可波羅遊記;泉州海外交通史跡;元代海運與漕運史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","阿拉伯世界的元代中國見聞","元")
"元上都遺址考古（內蒙古正藍旗）","中國社會科學院考古研究所","1990s–","考古與物質文化","中國社會科學院考古研究所","CN-ST-YUAN-SHANGDU-01","–","zh","圖檔;文字","元上都位於內蒙古正藍旗金蓮川，為忽必烈稱汗建都之地（1256年始建，後定為夏都），遺址分宮城、皇城、外城，外接關廂，宮內大安閣為皇帝朝會之所。中國社會科學院考古研究所等自1990年代多次發掘，出土龍紋瓦當、石螭首與建築基址，為元朝都城制度與草原都市之核心實證","元上都;正藍旗;都城考古;大安閣;草原都市","元","內蒙古正藍旗","–","元大都遺址考古;元史;馬可波羅遊記","中國社會科學院考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","忽必烈龍興之都城遺存","元")
