"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"汪大淵《島夷誌略》（元代海外貿易總志）","汪大淵","元至正九年（1349）","傳世文獻","中央研究院","CN-ST-YUAN-DAOYI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元末汪大淵兩次附舶遠航，周遊南洋、印度洋百餘國港口，《島夷誌略》成於至正九年（1349），逐國記其道里、物產、貨價、風俗與互市情形，為元代海外貿易與亞洲地理交通最重要之第一手漢文總志","島夷誌略;汪大淵;海外貿易;南洋;印度洋","元","東南亞;印度洋沿岸","–","馬可波羅遊記;周達觀真臘風土記;元市舶司制度","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元代海外貿易文獻之冠","元")
"周達觀《真臘風土記》（吳哥王朝）","周達觀","元元貞二年（1296）","傳世文獻","中央研究院","CN-ST-YUAN-ZHENLA-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元貞元年（1295）元廷遣使招諭真臘（今柬埔寨），周達觀隨行，居吳哥一年，歸撰《真臘風土記》記其城郭、宮室、風俗、物產、貿易凡四十則，為現存唯一記吳哥王朝盛況之當代漢文文獻，亦是元代外交與東南亞交通之實錄","真臘風土記;周達觀;吳哥;柬埔寨;元朝外交","元","柬埔寨（吳哥）","–","島夷誌略;元與安南、佔城、緬甸關係史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","記吳哥王朝之唯一當代漢籍","元")
"鄂多立克《東遊錄》（義大利教士東方行記）","鄂多立克（Odoric of Pordenone）","元（1318–1330）","傳世文獻","中華書局","CN-ST-YUAN-ODORIC-01","–","zh","文字","義大利方濟各會修士鄂多立克約1318年東行，經印度、南洋至廣州，歷泉州、福州、杭州，北抵大都，留居三載後西歸，口述成《東遊錄》，記元朝都會繁盛與風俗，與馬可波羅並為歐洲人親歷元朝之最重要行記，何高濟中譯本收於《中外關係史名著譯叢》","鄂多立克;東遊錄;方濟各會;泉州;大都","元","廣州;泉州;杭州;大都","何高濟（中譯）","馬可波羅遊記;也里可溫（景教／天主教）","中華書局","–","2026-07-31","ARR","《中外關係史名著譯叢》出版品","已收錄 metadata","繼馬可波羅後最重要歐洲人東方行記","元")
"《大德南海志》殘卷（元初廣州海外貿易）","陳大震","元大德八年（1304）","方志與輿圖","中華書局","CN-ST-YUAN-NANHAI-01","–","zh","文字","元大德八年陳大震纂《南海志》（廣州府志），今僅存卷六至卷七殘卷，詳列番國名稱（西至今波斯、阿拉伯、非洲諸地）、市舶物貨與廣州港市舶抽分，為元代廣州海外貿易與諸蕃國地名最集中之早期記載","大德南海志;南海志;廣州;市舶;番國","元","廣州","–","元市舶司制度;島夷誌略","中華書局","–","2026-07-31","ARR","《宋元方志叢刊》點校本已出版","已收錄 metadata","元代廣州海外交通之珍貴殘卷","元")
"元代市舶司制度與海外貿易則例","脫脫／王元恭","元（1277–1349）","官方檔案文書","中央研究院","CN-ST-YUAN-SHIJISI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元承宋制置市舶司於泉州、慶元（寧波）、廣州、杭州、澉浦諸港，後定制三司，《元史·食貨志·市舶》載抽分則例與舶商綱首制度，《至正四明續志》載慶元市舶物貨細目，為元代海外貿易管理體制之官方系統記載","市舶司;抽分;慶元;泉州;海外貿易制度","元","泉州;慶元;廣州;杭州","–","元史;汪大淵島夷誌略;新安沉船","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元代海上貿易管理制度之核心","元")
"元與安南、佔城、緬甸（蒲甘）關係史料","脫脫／黎崱","元（1257–1300）","官方檔案文書","中央研究院","CN-ST-YUAN-ANNAM-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元世祖朝三度征安南（陳朝）、遣兵佔城、征緬甸蒲甘王朝，後罷兵復通朝貢；《元史·安南傳》《占城傳》《緬傳》及越南《大越史記全書》載其事，為元代中國與中南半島諸國戰爭、朝貢與貿易往來之系統文獻","元越關係;佔城;蒲甘;緬甸;朝貢","元","越南;柬埔寨;緬甸","–","元朝與高麗、日本關係史料;真臘風土記","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元代經略中南半島之關鍵史料","元")
"蒲壽庚與泉州蕃商集團","泉州海外交通史博物館","宋末元初（1276–）","傳世文獻","泉州海外交通史博物館","CN-ST-YUAN-PUSHOUGENG-01","–","zh","文字;圖檔","宋末元初泉州阿拉伯裔蒲壽庚世掌市舶三十載，降元後家族壟斷泉州海外貿易，元代泉州聚落蕃商（阿拉伯、波斯、印度、占城人）蕃坊蕃學林立，蒲氏家譜、碑刻與《島夷誌略》《癸辛雜識》等載其事迹，為元代蕃商經營中國貿易之縮影","蒲壽庚;泉州;蕃商;市舶司;海上絲路","元","福建泉州","–","泉州海外交通史跡（伊斯蘭石刻）;島夷誌略","泉州海外交通史博物館","–","2026-07-31","ARR","館藏數位影像依館方規定","已收錄 metadata","元代泉州蕃商集團之核心人物","元")
"也里可溫（景教／天主教）在元朝史料","中央研究院","元（1289–1368）","傳世文獻","中央研究院","CN-ST-YUAN-ERKEWEN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","「也里可溫」為元代對景教（基督教聶斯脫里派）與天主教之總稱，至元二十六年（1289）設崇福司掌其事；義大利方濟各會士孟高維諾奉教皇命抵大都，1307年建汗八里總主教區並譯《新約》為蒙古文；房山十字寺與泉州景教石刻為存世遺物，為元朝與歐洲宗教文化往來之見證","也里可溫;景教;天主教;孟高維諾;崇福司","元","大都;泉州","–","鄂多立克東遊錄;泉州穆斯林石刻","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元代與歐洲宗教交流之見證","元")
"《錄鬼簿》（鍾嗣成，元雜劇作家目錄）","鍾嗣成","元至順元年（1330）","傳世文獻","中央研究院","CN-ST-YUAN-LUGUIBU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元鍾嗣成撰《錄鬼簿》二卷，著錄元代雜劇、散曲作家一百五十二人、劇目四百五十餘種，各繫小傳與《凌波仙》弔詞，為元雜劇最系統之作家作品目錄，亦是中國戲曲史之開山著作，續編《錄鬼簿續編》並存","錄鬼簿;鍾嗣成;元雜劇;曲目;作家傳記","元","全中國","–","元雜劇（關漢卿、王實甫等）;元曲選","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元雜劇作家作品之百科","元")
"《元曲選》（臧懋循）與《元刊雜劇三十種》","臧懋循","明（1615）","傳世文獻","中央研究院","CN-ST-YUAN-YUANQUXUAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明臧懋循編《元曲選》（《元人百種曲》）收元雜劇百種，為通行最廣之元雜劇選本；《元刊雜劇三十種》為今存最早元雜劇刊本，收關漢卿《單刀會》、馬致遠《陳摶高臥》等三十種，兩者合觀可校元雜劇文本之全貌，為元曲文獻之雙璧","元曲選;臧懋循;元刊雜劇三十種;雜劇選本;元人百種曲","元","全中國","–","錄鬼簿;元雜劇（關漢卿、王實甫等）","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","元雜劇文本之兩大淵藪","元")
