"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"宋史（漢籍全文資料庫）","脫脫等（元）","元（1345）","傳世文獻","中央研究院","CN-ST-BEISONG-SONGSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","元脫脫等奉敕撰《宋史》四百九十六卷，為二十四史中卷帙最巨者，記載北宋建隆元年至南宋祥興二年（960–1279）三百二十年史事，含本紀47卷、志162卷、表32卷、列傳255卷。志書與列傳保存大量北宋制度與人物資料，雖蕪雜然史料最全","宋史;脫脫;正史;宋代;二十四史","北宋","全中國","–","續資治通鑑長編;宋會要輯稿;宋史翼","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","二十四史中卷帙最巨者","北宋")
"續資治通鑑長編（漢籍全文資料庫）","李燾","南宋（1183）","傳世文獻","中央研究院","CN-ST-BEISONG-CHANGBIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋李燾撰《續資治通鑑長編》五百二十卷，接續《資治通鑑》記載宋太祖建隆元年至欽宗靖康二年（960–1127）北宋一百六十八年編年史，取材官私史料逾萬卷，為北宋歷史最詳盡之編年巨著","續資治通鑑長編;李燾;北宋;編年史","北宋","全中國","–","資治通鑑;宋史;三朝北盟會編","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋編年史之最，今本為清四庫輯佚","北宋")
"東都事略（漢籍全文資料庫）","王稱","南宋（1186）","傳世文獻","中央研究院","CN-ST-BEISONG-DONGDU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋王稱撰《東都事略》一百三十卷，以紀傳體記北宋史事（東都指開封），含本紀12卷、世家5卷、列傳105卷、附錄8卷，取材北宋國史實錄，早於《宋史》成書，為校補宋史之重要私史","東都事略;王稱;北宋;紀傳體","北宋","全中國","–","宋史;續資治通鑑長編","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋私史，可校補宋史","北宋")
"宋會要輯稿（漢籍全文資料庫）","徐松（清輯）","清（1809）","官方檔案文書","中央研究院","CN-ST-BEISONG-HUIYAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《宋會要》為宋代官修制度檔案總彙，原書已佚，清徐松自《永樂大典》輯出而存，1936年北平圖書館影印為《宋會要輯稿》二百冊，分帝系、后妃、禮、樂、職官、選舉、食貨、刑法等十七類，為研究宋代（含北宋）典章制度最重要之原始檔案","宋會要;徐松;會要;制度史;宋代","北宋","全中國","–","宋史;續資治通鑑長編","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代制度檔案總彙，自永樂大典輯出","北宋")
"宋刑統（竇儀等）","竇儀等","北宋（963）","官方檔案文書","中央研究院","CN-ST-BEISONG-XINGTONG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋建隆四年（963）竇儀等奉敕編《宋建隆重詳定刑統》三十卷，凡十二篇二百一十三門，為宋代第一部法典，係依《唐律疏議》律文彙編五代迄宋敕令，確立「以敕破律」之宋代法制特色，為宋初法制核心文獻","宋刑統;竇儀;法典;刑律;宋代法制","北宋","全中國","–","唐律疏議;宋會要輯稿","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代第一部法典","北宋")
"東京夢華錄（孟元老）","孟元老","南宋（1147）","傳世文獻","中央研究院","CN-ST-BEISONG-DONGJING-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋孟元老追憶北宋東京開封撰《東京夢華錄》十卷，記徽宗政和至宣和年間（1111–1125）汴京都市景象，含坊市、宮闕、節序、飲食、瓦舍勾欄、夜市百肆等，為研究北宋城市經濟、民俗文化之最直接史料，張擇端《清明上河圖》之文字對照","東京夢華錄;孟元老;開封;汴京;城市史","北宋","河南開封","–","清明上河圖;武林舊事;都城紀勝","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋都市生活之直接見證","北宋")
"夢溪筆談（沈括）","沈括","北宋（1088）","傳世文獻","中央研究院","CN-ST-BEISONG-MENGXI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋沈括撰《夢溪筆談》二十六卷，含故事、辯證、樂律、象數、人事、官政、權智、藝文、書畫、技藝、器用、神奇、異事、謬誤、譏謔、雜誌、藥議等十七門，記載活字印刷、指南針、石油（延川石液）等科技發明與天文曆算、工程建築知識，被譽為「中國科學史上的座標」","夢溪筆談;沈括;科學史;活字印刷;指南針","北宋","全中國","–","營造法式;本草圖經","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","被譽為中國科學史上的座標","北宋")
"資治通鑑（司馬光主編，漢籍全文資料庫）","司馬光","北宋（1084）","傳世文獻","中央研究院","CN-ST-BEISONG-ZIZHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋司馬光主編《資治通鑑》二百九十四卷，記載周威烈王二十三年至後周顯德六年（前403–959）一千三百六十二年編年史，凡十六朝，上起戰國下迄五代，考異以存異說，為中國編年體史書之典範，亦為北宋史學最高成就","資治通鑑;司馬光;編年史;考異","北宋","全中國","–","續資治通鑑長編;通鑑紀事本末;胡三省注","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","北宋史學最高成就，編年體典範","北宋")
"北宋理學文獻（周敦頤、張載、二程）","周敦頤、張載、程顥、程頤","北宋（11世紀）","傳世文獻","中央研究院","CN-ST-BEISONG-LIXUE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","北宋理學開山諸子著作合輯：周敦頤《太極圖說》《通書》、張載《正蒙》《西銘》、程顥程頤《二程遺書》《二程外書》等，確立「天理」「格物致知」「存天理滅人欲」等核心命題，上承韓愈道統，下啟朱熹集大成，為宋明理學之奠基文獻","理學;周敦頤;張載;二程;太極圖說;正蒙","北宋","全中國","–","近思錄;朱子語類;宋元學案","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋明理學奠基文獻","北宋")
"王安石變法史料（熙寧新政）","王安石／司馬光等","北宋（1069–1085）","官方檔案文書","中央研究院","CN-ST-BEISONG-WANGANSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","宋神宗熙寧年間（1069–1077）王安石主持變法，推行青苗、募役、均輸、市易、農田水利、保甲、保馬、方田均稅諸法，新舊黨爭自此而始。史料見《宋史·王安石傳》《續資治通鑑長編》及《臨川先生文集》奏議，為宋代政治改革最重要之課題","王安石;熙寧變法;新法;青苗法;新舊黨爭","北宋","全中國","–","宋史;續資治通鑑長編;臨川先生文集","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代政治改革最重要課題","北宋")
