"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"建炎以來繫年要錄（漢籍全文資料庫）","李心傳","南宋（1208–1234）","傳世文獻","中央研究院","CN-ST-NANSONG-XIANTAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋李心傳撰《建炎以來繫年要錄》二百卷，編年記載高宗建炎元年至紹興三十二年（1127–1162）三十六年史事，為接續《續資治通鑑長編》之南宋開國編年史，取材官私文獻極富，考辨精審，係研究南宋初年政治、宋金和戰最核心之編年史料","建炎以來繫年要錄;李心傳;南宋;高宗;編年史","南宋","全中國","–","三朝北盟會編;續資治通鑑長編;宋史","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋開國編年史之最","南宋")
"三朝北盟會編（漢籍全文資料庫）","徐夢莘","南宋（1194）","傳世文獻","中央研究院","CN-ST-NANSONG-BEIMENG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋徐夢莘撰《三朝北盟會編》二百五十卷，彙輯徽宗、欽宗、高宗三朝（1117–1162）宋金和戰相關詔令、奏議、國書、私記等原始文獻二百餘種，按年排纂，保存大量宋金外交與戰爭第一手資料，為宋金關係史之資料寶庫","三朝北盟會編;徐夢莘;宋金關係;靖康;外交史料","南宋","全中國","–","靖康之變史料;建炎以來繫年要錄;鄂國金佗稡編","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋金和戰原始文獻總彙","南宋")
"宋史紀事本末（漢籍全文資料庫）","陳邦瞻","明（1605）","傳世文獻","中央研究院","CN-ST-NANSONG-JISHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明陳邦瞻撰《宋史紀事本末》一百零九卷，以紀事本末體統括宋代三百餘年史事，含「燕雲之役」「金兵南下」「岳飛規復中原」「蒙古取汴」「文謝之死」等南宋關鍵事件，據《宋史》《續資治通鑑長編》等改寫，係檢索宋代重大事件始末之便利讀本","宋史紀事本末;陳邦瞻;紀事本末體;南宋;宋金元","南宋","全中國","–","宋史;建炎以來繫年要錄;續資治通鑑","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋代史事本末之最","南宋")
"建炎以來朝野雜記（漢籍全文資料庫）","李心傳","南宋（1202–1216）","官方檔案文書","中央研究院","CN-ST-NANSONG-ZAJI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋李心傳撰《建炎以來朝野雜記》甲集二十卷、乙集二十卷，分門記述南宋高宗至寧宗朝典章制度、人物事蹟與朝野掌故，含官制、科舉、財賦、軍事、禮樂諸目，為與《繫年要錄》互補之南宋典制與時事史料","建炎以來朝野雜記;李心傳;南宋;典章制度;筆記","南宋","全中國","–","建炎以來繫年要錄;宋史;夢粱錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋典制與朝野掌故","南宋")
"宋季三朝政要（漢籍全文資料庫）","佚名（元）","元","官方檔案文書","中央研究院","CN-ST-NANSONG-SANCHAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《宋季三朝政要》六卷，元人撰，編年記理宗、度宗、恭帝三朝（1225–1276）史事，兼附二王（端宗、帝昺）記事，載蒙古南侵、襄樊之圍、臨安陷落、崖山之役等南宋亡國過程，為宋末編年史料中較早之專書","宋季三朝政要;宋末;理宗;蒙古南侵;南宋滅亡","南宋","全中國","–","宋史紀事本末;文山先生全集;續資治通鑑","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋亡國編年專書","南宋")
"鄂國金佗稡編／續編（岳飛案原始文檔）","岳珂","南宋（1234）","官方檔案文書","中央研究院","CN-ST-NANSONG-YUEFEI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","岳珂為岳飛之孫，撰《鄂國金佗稡編》二十八卷、《續編》三十卷，輯錄朝廷詔令、奏疏、公牘及岳飛戰績行實，為岳飛平反昭雪之原始案卷彙編，兼載紹興和議、秦檜構陷等南宋初年重大政治事件之第一手文書","岳飛;金佗稡編;岳珂;紹興和議;秦檜","南宋","全中國","–","三朝北盟會編;宋史紀事本末;建炎以來繫年要錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","岳飛案之原始案卷彙編","南宋")
"文山先生全集（文天祥，漢籍全文資料庫）","文天祥","南宋（1276–1283）","傳世文獻","中央研究院","CN-ST-NANSONG-WENSHAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","文天祥《文山先生全集》收錄其詩文、奏疏、書札及《正氣歌》《過零丁洋》諸作，文天祥於宋末起兵勤王，兵敗被俘，不屈而死，其集記錄南宋覆亡之際忠臣志士之志節與元初江南世態，為宋末忠烈與遺民文學之代表文獻","文天祥;文山先生全集;宋末;正氣歌;遺民","南宋","全中國","–","宋季三朝政要;宋史紀事本末","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","宋末忠烈文學代表","南宋")
"武林舊事（周密，漢籍全文資料庫）","周密","南宋末（約1290）","傳世文獻","中央研究院","CN-ST-NANSONG-WULIN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋周密撰《武林舊事》十卷，追記杭州（武林）故都風物：宮廷典禮、貴家宴集、西湖遊賞、瓦舍伎藝、市井貨賣、四時節慶等，為南宋臨安城市生活與南宋文化最詳盡之記述，與《東京夢華錄》前後輝映","武林舊事;周密;臨安;杭州;城市生活;宋代文化","南宋","浙江杭州","–","東京夢華錄;夢粱錄;都城紀勝;西湖遊覽志餘","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋都城生活之最","南宋")
"夢粱錄（吳自牧，漢籍全文資料庫）","吳自牧","南宋末（約1274）","傳世文獻","中央研究院","CN-ST-NANSONG-MENGLIANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋吳自牧撰《夢粱錄》二十卷，仿《東京夢華錄》體例記述臨安（錢塘）城市景象，含宮闕、坊巷、橋樑、官署、科舉、市肆、食貨、四時風俗、佛道寺觀等一百六十餘目，為研究南宋都城制度與市民經濟之重要史料","夢粱錄;吳自牧;臨安;杭州;城市史;南宋","南宋","浙江杭州","–","東京夢華錄;武林舊事;都城紀勝","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","仿東京夢華錄記臨安之盛","南宋")
"都城紀勝（耐得翁，漢籍全文資料庫）","耐得翁","南宋（1235）","傳世文獻","中央研究院","CN-ST-NANSONG-DUCHENG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","南宋耐得翁撰《都城紀勝》一卷，分市井、諸行、酒肆、食店、茶坊、瓦舍眾伎、閒人、三教外地等十四類，記臨安商業行會、娛樂場所與百工技藝，雖簡而精，為研究南宋臨安工商娛樂文化之珍貴史料","都城紀勝;耐得翁;臨安;瓦舍;市井;南宋","南宋","浙江杭州","–","武林舊事;夢粱錄;東京夢華錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","南宋市井娛樂之速寫","南宋")
