"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"殷周金文暨青銅器資料庫","中央研究院歷史語言研究所","2009","考古與物質文化","中研院史語所金文工作室","CN-BRONZE-AS-01","http://bronze.asdc.sinica.edu.tw/","zh","文字;圖檔","中研院史語所建置之殷周金文暨青銅器資料庫，收錄《殷周金文集成》、《新收殷周青銅器銘文暨器影彙編》共約14,000件青銅器資料，含拓本、器影、器物背景訊息","金文;青銅器;殷周;考古","商–戰國","全中國","–","殷周青銅器地理資訊系統;先秦銅器紋飾資料庫","中央研究院","–","2026-07-30","ARR","需申請帳號密碼","已收錄 metadata","殷周金文研究最核心之數位資料庫"
"先秦甲骨金文簡牘詞彙資料庫","中央研究院歷史語言研究所","2010","考古與物質文化","中研院史語所","CN-LEXICON-AS-01","https://inscription.asdc.sinica.edu.tw/","zh","文字","中研院史語所建置之先秦詞彙資料庫，收錄甲骨、金文及簡牘中出現的各種詞彙，打破材質與時代限制，以詞彙本身為焦點提供查詢，可觀察詞彙流變","甲骨文;金文;簡牘;詞彙;先秦","商–戰國","全中國","–","殷周金文暨青銅器資料庫","中央研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","先秦古文字詞彙研究之重要工具"
"殷周青銅器地理資訊系統","中央研究院歷史語言研究所","2015","方志與輿圖","中研院史語所","CN-BRONZEGIS-AS-01","https://bronzevessel.ascdc.sinica.edu.tw/","zh","地圖","根據譚其驤《中國歷史地圖集》及考古發掘報告，套疊Google地形圖，還原殷商、西周、春秋、戰國時期河川、國名、地名、城邑位置","青銅器;GIS;歷史地圖;殷周","商–戰國","全中國","–","殷周金文暨青銅器資料庫","中央研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","審視時空與青銅器物交互關係之GIS平臺"
"先秦銅器紋飾資料庫","中央研究院歷史語言研究所","2016","考古與物質文化","中研院史語所","CN-DECOR-AS-01","http://ndweb.iis.sinica.edu.tw/decoration/","zh","圖檔","與臺大藝術史研究所、倫敦大學亞非學院合作，進行銅器紋飾分類，與「殷周金文暨青銅器資料庫」交互使用，全面了解青銅器","青銅器;紋飾;考古;藝術","商–戰國","全中國","–","殷周金文暨青銅器資料庫","中央研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽，部分功能限於「紋飾分類樹狀圖」及「紋飾名稱權威檔」","已收錄 metadata","青銅器紋飾研究專題資料庫"
"甲骨文AI協同平臺","中國社會科學院","2024","考古與物質文化","中國社會科學院","CN-ORACLE-AI-01","https://www.kaogu.net.cn/","zh","文字;圖檔","運用AI技術輔助甲骨文考釋與綴合之協同平臺，整合甲骨拓本、摹本、數位影像，提供學者線上協作研究環境","甲骨文;AI;數位人文;商代","商","河南安陽為主","–","中國考古網","中國社會科學院","–","2026-07-30","UNCLEAR","需申請使用","已收錄 metadata","AI技術應用於甲骨學研究之前沿平臺"
"清華大學藏戰國竹簡（清華簡）","清華大學出土文獻研究與保護中心","2008","考古與物質文化","清華大學","CN-TSINGHUA-BAMBOO-01","https://www.tsinghua.edu.cn/","zh","文字;圖檔","清華大學藏戰國竹簡約2,500支，為戰國中期偏晚重要文物，含《尚書》佚篇、周武王樂詩、史書等，迄今出版14輯，是近數十年最大宗出土文獻","戰國竹簡;出土文獻;尚書;先秦","戰國","湖北（楚地）","–","–","清華大學","–","2026-07-30","ARR","整理報告由中西書局出版","已收錄 metadata","改寫先秦學術史之重大發現"
"郭店楚簡資料庫","香港中文大學歷史系","2001","考古與物質文化","香港中文大學","CN-GUODIAN-CUHK-01","https://www.history.cuhk.edu.hk/tc/elkt/guodian/","zh","文字","湖北荊門郭店一號墓出土730枚戰國竹簡，12,072字，含《老子》甲乙丙及《緇衣》等最早手抄本。資料庫提供全文檢索、簡號及篇目查詢","楚簡;老子;儒家;出土文獻","戰國","湖北荊門","–","–","香港中文大學","張光裕","2026-07-30","UNCLEAR","網站免費提供全文檢索","已收錄 metadata","1993年出土，學術價值極高"
"上海博物館藏戰國楚竹書","上海博物館","2000","考古與物質文化","上海博物館","CN-SHANGHAI-BAMBOO-01","https://www.shanghaimuseum.net/","zh","文字;圖檔","上海博物館藏戰國楚竹書，1994年收購自香港，含約1,200支竹簡，內容涵蓋儒家、道家、兵家等先秦佚籍，為郭店簡後又一重大發現","楚簡;先秦;儒家;出土文獻","戰國","湖北（楚地）","–","–","上海博物館","–","2026-07-30","ARR","整理報告由上海古籍出版社出版","已收錄 metadata","共出版9輯，與郭店簡互補"
"寶雞青銅器博物院藏品系統","寶雞青銅器博物院","2020","考古與物質文化","寶雞青銅器博物院","CN-BAOJI-BRONZE-01","https://www.bjqtm.com/","zh","文字;圖檔","中國最大青銅器專題博物館，藏品1,000+件青銅器，含牆盤、何尊等禁止出境展覽文物，基本陳列「青銅鑄文明」勾勒周秦文明脈絡","青銅器;西周;周秦;博物館","西周–秦","陝西寶雞","–","–","寶雞青銅器博物院","–","2026-07-30","UNCLEAR","網站公開瀏覽；部分文物圖像需到館查閱","已收錄 metadata","周文化核心展示視窗"
"二里頭夏都遺址博物館","二里頭夏都遺址博物館","2019","考古與物質文化","二里頭夏都遺址博物館","CN-ERLITOU-01","https://www.erlitou.com/","zh","文字;圖檔;影音","二里頭遺址（夏代中晚期）考古成果專題博物館，含宮殿遺址、青銅冶鑄遺存、綠松石龍形器等重要文物數位展示","夏代;二里頭;考古;青銅器","夏","河南洛陽偃師","–","–","二里頭夏都遺址博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","夏代考古最重要之遺址博物館"
