"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"居延漢簡資料庫（中研院史語所）","中央研究院歷史語言研究所","1930","考古與物質文化","中央研究院","CN-HAN-JUYAN-01","https://ndweb.iis.sinica.edu.tw/juyan/","zh","文字;圖檔","中研院史語所藏居延漢簡數位資料庫，收錄1930年代西北科學考察團發掘之10,000餘枚居延漢簡，含邊塞行政文書、戍卒名籍、錢糧簿籍等，為漢代邊塞制度研究第一手史料","居延漢簡;漢代;邊塞;簡牘","西漢–東漢","內蒙古額濟納旗","–","敦煌漢簡;懸泉漢簡","中央研究院","–","2026-07-30","ARR","史語所出版《居延漢簡》圖版整理本","已收錄 metadata","居延遺址為漢代張掖郡居延都尉府所在地","漢")
"馬王堆漢墓數位典藏","湖南博物院","1972","考古與物質文化","湖南博物院","CN-HAN-MAWANGDUI-01","https://www.hnmuseum.com/","zh","圖檔;影音;文物","1972–1974年湖南長沙馬王堆西漢墓出土3,000餘件珍貴文物，含辛追夫人遺體、素紗襌衣、T型帛畫、《老子》帛書、《五星占》帛書等，為西漢初期長沙國丞相利蒼家族墓葬","馬王堆;西漢;漢墓;帛書;辛追","西漢","湖南長沙","–","張家山漢簡;銀雀山漢簡","湖南博物院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","世界十大古墓稀世珍寶之一，出土帛書為秦漢之際思想史關鍵史料","漢")
"張家山漢簡","湖北省文物考古研究院","1983","考古與物質文化","湖北省文物考古研究院","CN-HAN-ZHANGJIASHAN-01","https://www.hbkaogu.com/","zh","文字;圖檔","1983年湖北江陵張家山247號漢墓出土1,240餘枚西漢簡牘，含《二年律令》《奏讞書》《脈書》《引書》《算數書》等，為西漢早期法律、醫學、數學之重要出土文獻","張家山漢簡;西漢;法律;醫學;算數","西漢","湖北江陵","–","睡虎地秦簡;馬王堆帛書","湖北省文物考古研究院","–","2026-07-30","ARR","整理報告由文物出版社出版","已收錄 metadata","《二年律令》為研究漢初法律制度的核心材料","漢")
"漢長安城遺址考古","陝西省考古研究院","1956","考古與物質文化","陝西省考古研究院","CN-HAN-CHANGAN-01","https://www.shxkgy.cn/","zh","圖檔;文字;地圖","漢長安城為西漢都城，位於今西安西北郊，城牆周長25.7公里，面積約36平方公里，含未央宮、長樂宮、桂宮、武庫、東西市等遺址，為中國最大規模都城遺址之一","漢長安城;西漢;都城;考古","西漢","陝西西安","–","漢陽陵;秦咸陽城","陝西省考古研究院","–","2026-07-30","ARR","考古報告由文物出版社、科學出版社出版","已收錄 metadata","西漢政治中心，2000周年紀念考古持續進行中","漢")
"漢陽陵國家考古遺址公園","漢陽陵博物院","1990","考古與物質文化","漢陽陵博物院","CN-HAN-YANGLING-01","https://www.hylmb.com/","zh","圖檔;影音;文物","漢陽陵為西漢景帝劉啟與王皇后合葬陵園，位於咸陽渭北，佔地20平方公里，已發現陪葬坑190餘座，出土陶俑、陶塑動物、車馬器等大量文物，為漢代帝陵制度研究之標竿","漢陽陵;漢景帝;西漢;帝陵","西漢","陝西咸陽","–","漢長安城;滿城漢墓","漢陽陵博物院","–","2026-07-30","UNCLEAR","園區公開展示","已收錄 metadata","首座漢代帝陵國家考古遺址公園","漢")
"滿城漢墓","河北省文物考古研究院","1968","考古與物質文化","河北省文物考古研究院","CN-HAN-MANCHENG-01","http://www.hbswwkg.com/","zh","圖檔;文物","1968年河北滿城陵山發現西漢中山靖王劉勝及其妻竇綰墓，出土金縷玉衣、長信宮燈、錯金博山爐等國寶級文物，為西漢諸侯王墓規格最高者","滿城漢墓;金縷玉衣;中山靖王;西漢","西漢","河北滿城","–","南越王墓;海昏侯墓","河北省文物考古研究院","–","2026-07-30","ARR","考古報告由文物出版社出版","已收錄 metadata","中國最早發現完整金縷玉衣的西漢諸侯王墓","漢")
"南越王博物院","南越王博物院","1983","考古與物質文化","南越王博物院","CN-HAN-NANYUE-01","https://www.nywmuseum.org.cn/","zh","圖檔;文物;影音","1983年廣州象崗山發現南越國第二代王趙眜墓，出土「文帝行璽」金印、絲縷玉衣、青銅編鐘、波斯銀盒等1,000餘件（套）文物，為嶺南地區規模最大之漢代墓葬","南越王;西漢;嶺南;漢墓;趙眜","西漢","廣東廣州","–","滿城漢墓;馬王堆漢墓","南越王博物院","–","2026-07-30","UNCLEAR","官網公開展示","已收錄 metadata","南越國考古之最，見證漢代嶺南文化交融","漢")
"銀雀山漢墓竹簡","山東省文物考古研究院","1972","考古與物質文化","山東省文物考古研究院","CN-HAN-YINQUESHAN-01","https://www.sdswwkgyjy.com/","zh","文字;圖檔","1972年山東臨沂銀雀山一、二號漢墓出土4,900餘枚竹簡，內容含《孫子兵法》《孫臏兵法》《六韜》《尉繚子》等兵書，以及《晏子春秋》《管子》等先秦文獻，解決孫武、孫臏是否為一人之學術懸案","銀雀山漢簡;孫子兵法;孫臏兵法;兵書","西漢","山東臨沂","–","張家山漢簡;馬王堆帛書","山東省文物考古研究院","–","2026-07-30","ARR","整理報告由文物出版社出版","已收錄 metadata","1972年中國考古重大發現之一","漢")
"海昏侯墓考古（南昌漢代海昏侯國遺址）","江西省文物考古研究院","2011","考古與物質文化","江西省文物考古研究院","CN-HAN-HAIHUN-01","http://hhhmuseum.cn/","zh","圖檔;文字;影音","2011年江西南昌新建區發現西漢海昏侯劉賀墓，為中國迄今面積最大、保存最好、文物最豐富之漢代列侯墓園，出土金器478件（逾120公斤）、青銅器、竹簡5,000餘枚（含《論語》失傳篇章）、孔子衣鏡等","海昏侯;劉賀;西漢;金器;漢墓","西漢–新","江西南昌","–","滿城漢墓;馬王堆漢墓","江西省文物考古研究院","–","2026-07-30","ARR","考古報告由文物出版社陸續出版","已收錄 metadata","漢代考古史上出土黃金最多之墓葬","漢")
"敦煌漢簡","甘肅省文物考古研究所","1907","考古與物質文化","甘肅省文物考古研究所","CN-HAN-DUNHUANG-01","https://www.gskaogu.com/","zh","文字;圖檔","自1907年斯坦因發現以來，敦煌漢代烽燧遺址陸續出土4,000餘枚漢簡，內容含屯戍文書、郵傳記錄、曆日、醫方等，為漢代河西四郡邊防制度之直接史料","敦煌漢簡;漢代;邊塞;簡牘","西漢–東漢","甘肅敦煌","–","居延漢簡;懸泉漢簡","甘肅省文物考古研究所","–","2026-07-30","ARR","整理報告由中華書局、文物出版社出版","已收錄 metadata","漢代西北邊塞防禦體系之珍貴實物史料","漢")
