"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"秦始皇帝陵博物院數字展廳","秦始皇帝陵博物院","2010","考古與物質文化","秦始皇帝陵博物院","CN-QIN-MAUSOLEUM-01","http://www.bmy.com.cn/","zh","圖檔;影音","秦始皇帝陵博物院官方網站，含兵馬俑坑、秦陵文物數位展示、VR全景漫遊及考古最新成果，為秦文化研究最權威之博物館","秦;兵馬俑;秦始皇;博物館","秦","陝西西安臨潼","–","兵馬俑一號坑發掘報告","秦始皇帝陵博物院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","世界文化遺產，第八大奇蹟","秦")
"睡虎地秦墓竹簡","湖北省博物館","1975","考古與物質文化","湖北省博物館","CN-QIN-SHUIHUDI-01","https://www.hubeimuseum.net/","zh","文字;圖檔","1975年湖北雲夢睡虎地11號秦墓出土1,155支竹簡，4萬餘字，內容以秦代法律文書為主，含《編年記》《秦律十八種》《效律》《秦律雜抄》《法律答問》《封診式》《為吏之道》《日書》等","秦簡;法律;出土文獻;秦","秦","湖北雲夢","–","龍崗秦簡","湖北省博物館","–","2026-07-30","ARR","整理報告由文物出版社出版","已收錄 metadata","中國迄今發現最早、最完整的秦代法律文獻","秦")
"里耶秦簡博物館","里耶秦簡博物館","2002","考古與物質文化","里耶秦簡博物館","CN-QIN-LIYE-01","http://lyqjbwg.com.cn/","zh","文字;圖檔","2002年湖南龍山里耶古城一號井出土37,000餘枚秦代簡牘，20餘萬字，為秦洞庭郡遷陵縣檔案，含政令、戶籍、郵傳、里程等行政文書","秦簡;秦代;行政文書;出土文獻","秦","湖南湘西龍山","–","睡虎地秦墓竹簡;嶽麓秦簡","里耶秦簡博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","21世紀最大考古發現之一，出土秦簡數量最多的單一遺址","秦")
"嶽麓書院藏秦簡（湖南大學）","湖南大學嶽麓書院","2007","考古與物質文化","湖南大學","CN-QIN-YUELU-01","https://ylsy.hnu.edu.cn/","zh","文字;圖檔","湖南大學嶽麓書院藏秦簡約2,100枚，含《質日》《為吏治官及黔首》《占夢書》《數書》《奏讞書》《秦律雜抄》等，填補秦代法律、數學、占夢等領域空白","秦簡;秦;出土文獻;湖南大學","秦","全中國","–","里耶秦簡;睡虎地秦簡","湖南大學","–","2026-07-30","ARR","整理報告由上海辭書出版社出版","已收錄 metadata","秦代文獻整理重鎮，已出版7輯","秦")
"北京大學藏秦簡牘","北京大學","2010","考古與物質文化","北京大學","CN-QIN-PKU-BAMBOO-01","https://www.pku.edu.cn/","zh","文字;圖檔","北京大學藏秦簡牘約800枚，涵蓋秦代政令、法律、數學、醫藥、卜筮、日書等，為研究秦代制度與社會的重要新材料","秦簡;秦;出土文獻;北京大學","秦","全中國","–","睡虎地秦簡;嶽麓秦簡","上海古籍出版社","–","2026-07-30","ARR","整理報告由上海古籍出版社出版","已收錄 metadata","2010年入藏北大，共5卷","秦")
"放馬灘秦簡","甘肅省文物考古研究所","1986","考古與物質文化","甘肅省文物考古研究所","CN-QIN-FANGMATAN-01","–","zh","文字;圖檔","1986年甘肅天水放馬灘秦墓出土460枚秦簡，含《日書》甲乙種、地圖、志怪故事等，為秦代社會生活與思想信仰之重要史料","秦簡;天水;日書;出土文獻","秦","甘肅天水","–","睡虎地秦簡日書","甘肅省文物考古研究所","–","2026-07-30","ARR","整理報告由文物出版社出版","已收錄 metadata","秦代日書與地圖之珍貴出土文獻；原 gswwkg.com 網址已失效，甘肅省文物考古研究所無現行官方網站","秦")
"龍崗秦簡","湖北省文物考古研究院","1989","考古與物質文化","湖北省文物考古研究院","CN-QIN-LONGGANG-01","http://www.hbkaogu.com/","zh","文字;圖檔","1989年湖北雲夢龍崗6號墓出土293枚秦簡，內容為秦代禁苑法律文書，為睡虎地秦簡之重要補充","秦簡;禁苑;法律;出土文獻","秦","湖北雲夢","–","睡虎地秦墓竹簡","湖北省文物考古研究院","–","2026-07-30","ARR","整理報告由科學出版社出版","已收錄 metadata","睡虎地秦簡之同期補充文獻","秦")
"秦咸陽城遺址考古成果展","陝西省考古研究院","2020","考古與物質文化","陝西省考古研究院","CN-QIN-XIANYANG-01","http://www.shxkg.com/","zh","圖檔;文字","秦咸陽城（秦都）遺址考古成果數位展示，含宮殿區、手工業作坊區、墓葬區發掘成果，反映秦代都城格局與建築技術","秦;咸陽;都城;考古","秦","陝西西咸新區","–","秦始皇帝陵博物院","陝西省考古研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","秦帝國核心都城之考古成果","秦")
"秦封泥與璽印數據庫","西安博物院","1997","考古與物質文化","西安博物院","CN-QIN-SEALCLAY-01","http://www.xabwy.com/","zh","文字;圖檔","西安相家巷等地出土秦代封泥約數千枚，為秦代職官制度、郡縣制度之重要史料。本數據庫收錄封泥實物影像與釋文","秦封泥;璽印;職官;出土文獻","秦","陝西西安","–","秦咸陽城遺址","西安博物院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","相家巷秦封泥為職官制度研究之核心史料","秦")
"里耶秦簡數位研究資料庫","湖南大學","2015","考古與物質文化","湖南大學","CN-QIN-LIYE-DIGITAL-01","–","zh;en","文字","里耶秦簡數位化研究平台，提供簡牘全文檢索、圖版比對、簡牘編聯、地名考釋等研究功能","秦簡;里耶;數位人文;資料庫","秦","湖南龍山","–","里耶秦簡博物館","湖南大學","–","2026-07-30","UNCLEAR","需註冊使用","已收錄 metadata","里耶秦簡研究之數位基礎設施；原 lyqj.hnu.edu.cn 網址已失效，資料庫已停站","秦")
