"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"走馬樓三國吳簡（長沙簡牘博物館）","長沙簡牘博物館","1996","考古與物質文化","長沙簡牘博物館","CN-WJ-ZOUMA-01","https://www.csmb.org.cn/","zh","文字;圖檔","1996年湖南長沙走馬樓一口古井出土10萬餘枚三國吳簡，總字數約150萬字，為三國吳嘉禾元年至六年（232–238）長沙郡地方行政檔案，含戶籍、賦稅、司法、郵傳等文書，為中國出土數量最多之三國時期簡牘","走馬樓吳簡;三國;吳;簡牘;長沙;行政文書","三國","湖南長沙","–","長沙東牌樓東漢簡牘;里耶秦簡","長沙簡牘博物館","–","2026-07-30","ARR","整理報告由文物出版社出版，已出版《長沙走馬樓三國吳簡》多卷","已收錄 metadata","中國出土數量最多之三國簡牘，三國地方行政研究之核心史料","三國")
"南京六朝博物館（六朝文物專題）","南京博物院","2014","考古與物質文化","南京博物院","CN-WJ-NANJING06-01","https://www.njmuseum.com/","zh","圖檔;文物","南京六朝博物館為中國首座以六朝（東吳、東晉、宋、齊、梁、陳）歷史為主題之專題博物館，收藏六朝文物1,200餘件，含青瓷器、墓誌銘、石獸、陶傭等，全面展現六朝都城建康之物質文明","六朝;南京;建康;東吳;東晉;南朝;博物館","南北朝","江蘇南京","–","南京象山王氏家族墓;琅琊王氏家族墓地","南京博物院","–","2026-07-30","UNCLEAR","官網公開展示","已收錄 metadata","六朝古都南京之專題博物館，六朝物質文化之集大成","南北朝")
"雲岡石窟數字資料庫","雲岡研究院","2001","考古與物質文化","雲岡研究院","CN-WJ-YUNGANG-01","https://www.yungang.org/","zh","圖檔;影音;文字","雲岡石窟位於山西大同，北魏文成帝和平年間（460–465）開鑿，歷經東魏、北齊續鑿，現存主要洞窟45座，造像59,000餘尊。2001年列為世界文化遺產。數字資料庫收錄全窟高精度3D掃描影像與研究文獻","雲岡石窟;北魏;佛教藝術;世界遺產;大同","北魏","山西大同","–","龍門石窟;敦煌莫高窟;麥積山石窟","雲岡研究院","–","2026-07-30","UNCLEAR","官網部分開放瀏覽；20卷《雲岡石窟全集》已出版","已收錄 metadata","北魏皇家石窟之典範，雲岡學研究之數位基礎設施","北魏")
"龍門石窟數字文庫","龍門石窟研究院","2003","考古與物質文化","龍門石窟研究院","CN-WJ-LONGMEN-01","https://www.lmsk.org.cn/","zh","圖檔;影音;文字","龍門石窟位於河南洛陽，北魏孝文帝遷都洛陽（493年）後開鑿，歷經東魏、西魏、北齊、隋、唐續鑿，南北長1公里，窟龕2,345座，造像10萬餘尊。數字文庫收錄石窟造影、考古報告與研究論文","龍門石窟;北魏;洛陽;佛教藝術;世界遺產","北魏","河南洛陽","–","雲岡石窟;洛陽伽藍記;北魏洛陽城遺址","龍門石窟研究院","–","2026-07-30","UNCLEAR","官網部分開放瀏覽","已收錄 metadata","北魏遷都洛陽後之皇家石窟，世界文化遺產","北魏")
"敦煌莫高窟（魏晉南北朝部分）","敦煌研究院","1944","考古與物質文化","敦煌研究院","CN-WJ-DUNHUANG-01","https://www.dha.ac.cn/","zh","圖檔;影音;文字","敦煌莫高窟始建於前秦建元二年（366年），歷經北涼、北魏、西魏、北周、隋、唐等朝代營建。魏晉南北朝時期洞窟（北涼三窟、北魏、西魏、北周窟）為莫高窟最早之石窟藝術珍品，含第254、257、285等著名石窟。數字資料庫收錄高精度壁畫影像","敦煌莫高窟;北魏;西魏;北周;佛教藝術;絲綢之路","魏晉南北朝","甘肅敦煌","–","雲岡石窟;龍門石窟;麥積山石窟","敦煌研究院","–","2026-07-30","UNCLEAR","數字敦煌全球共享","已收錄 metadata","莫高窟現存最早石窟為魏晉南北朝時期所建","魏晉南北朝")
"司馬金龍墓出土文物（山西博物院）","山西博物院","1965","考古與物質文化","山西博物院","CN-WJ-SIMAJIN-01","https://www.shanximuseum.com/","zh","圖檔;文物","1965年山西大同石家寨發現北魏琅琊王司馬金龍墓，出土石棺床、木板漆畫（列女古賢圖）、石雕硯台、鐵矛、玻璃器皿等文物454件。木板漆畫為北魏繪畫藝術之最高成就代表作","司馬金龍;北魏;木板漆畫;琅琊王;大同;墓葬","北魏","山西大同","–","北魏洛陽城遺址;琅琊王氏家族墓地","山西博物院","–","2026-07-30","ARR","木板漆畫為山西博物院鎮院之寶","已收錄 metadata","北魏繪畫藝術之最高成就，列女古賢圖漆畫為國寶級文物","北魏")
"磁縣北朝墓群考古","河北省文物考古研究院","1970","考古與物質文化","河北省文物考古研究院","CN-WJ-CIXIAN-01","https://www.hebkaogu.com/","zh","圖檔;文字;地圖","磁縣北朝墓群位於河北磁縣，為東魏、北齊皇室與貴族墓葬集中區，含東魏孝靜帝西陵、北齊神武帝義平陵等134座封土墓。1970年代以來系統發掘，出土大量陶俑、墓誌銘、壁畫等，為北朝晚期墓葬制度研究之基礎","磁縣北朝墓群;東魏;北齊;墓葬;墓誌","北朝","河北磁縣","–","司馬金龍墓;鄧縣畫像磚墓","河北省文物考古研究院","–","2026-07-30","ARR","考古報告由文物出版社、科學出版社出版","已收錄 metadata","東魏北齊最高等級墓葬之考古依據","北朝")
"北魏洛陽城遺址考古","洛陽市文物考古研究院","2015","考古與物質文化","洛陽市文物考古研究院","CN-WJ-LUOYANG-01","https://www.lykgy.com/","zh","圖檔;文字;地圖","北魏洛陽城為孝文帝遷都後之北魏都城，在魏晉洛陽城基礎上擴建，城周33公里，含宮城、內城、外郭城三重城垣。近年宮城太極殿、閶闔門、永寧寺塔基等遺址考古發掘成果豐碩，為北魏都城制度研究之關鍵","北魏洛陽城;北魏;都城;洛陽;考古","北魏","河南洛陽","–","洛陽伽藍記;龍門石窟;永寧寺","洛陽市文物考古研究院","–","2026-07-30","ARR","考古報告由中州古籍出版社等出版","已收錄 metadata","北魏洛陽城為中古時期世界最大城市之一，永寧寺塔高百餘米","北魏")
"琅琊王氏家族墓地（南京象山）","南京博物院","1965","考古與物質文化","南京博物院","CN-WJ-WANGCLAN-01","https://www.njmuseum.com/","zh","圖檔;文物","南京象山為東晉琅琊王氏家族墓地，1965–1998年陸續發掘王廙、王彬、王建之等成員墓葬10餘座，出土青瓷器、金飾、墓誌等文物，為東晉門閥制度與貴族物質文化研究之重要考古資料","琅琊王氏;東晉;南京;家族墓地;墓誌","東晉","江蘇南京","–","南京六朝博物館;司馬金龍墓","南京博物院","–","2026-07-30","ARR","考古報告由文物出版社出版","已收錄 metadata","王導、王羲之家族墓地，東晉門閥制度之考古實證","東晉")
"三國志（漢籍全文資料庫）","陳壽","西晉（280–290）","考古與物質文化","中央研究院","CN-WJ-SANGUOZHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","西晉陳壽撰《三國志》，為中國紀傳體正史之一，記載魏、蜀、吳三國鼎立時期（184–280）歷史，含魏書30卷、蜀書15卷、吳書20卷，共65卷。裴松之注增補大量佚文，與《史記》《漢書》《後漢書》合稱前四史","三國志;陳壽;正史;三國;裴松之注","三國","全中國","–","漢書;後漢書;晉書;資治通鑑","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","三國時期最權威之傳世文獻","三國")
