"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"考古資料數位典藏資料庫","中央研究院歷史語言研究所","2011","考古與物質文化","中研院史語所","IHP-ARCHDB-01","https://ndweb.iis.sinica.edu.tw/ihparchaeo/index.jsp","zh","文字;圖檔","中研院史語所建置之考古數位典藏資料庫，收錄臺灣與大陸考古遺址、遺跡、遺物三子庫，含大量照片、線繪圖、田野記載表","考古;資料庫;遺址;遺物;史語所","舊石器時代–金屬器時代","全臺灣","–","–","中央研究院","–","2026-07-30","UNCLEAR","資料庫免費查詢；數位影像授權申請依史語所規定辦理","已收錄 metadata","臺灣最大之考古學數位典藏資料庫"
"臺灣考古遺址地理資訊系統","中央研究院歷史語言研究所","2015","考古與物質文化","中研院史語所","IHP-ARCHGIS-01","https://archaeogis.ihp.sinica.edu.tw/map/#/gis","zh","文字;地圖","中研院史語所建置之臺灣考古遺址GIS系統，整合遺址位置、文化層、相關文獻等空間資訊","考古;GIS;遺址;空間分析","舊石器時代–金屬器時代","全臺灣","–","考古資料數位典藏資料庫","中央研究院","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","考古遺址空間查詢之基礎平臺"
"國立臺灣史前文化博物館藏品查詢系統","國立臺灣史前文化博物館","2010","考古與物質文化","國立臺灣史前文化博物館","NMP-COL-01","https://collections.culture.tw/nmp_collectionsweb/","zh","文字;圖檔","史前館館藏查詢系統，含考古標本、臺灣南島民族、大洋洲南島民族等分類查詢","史前文化;考古;博物館;藏品","舊石器時代–金屬器時代","全臺灣","–","–","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽；數位授權需申請","已收錄 metadata","臺灣最重要的史前文物典藏機構"
"考古文物3D資料庫","國立臺灣史前文化博物館","2018","考古與物質文化","國立臺灣史前文化博物館","NMP-3D-01","https://3d.nmp.gov.tw/","zh","圖檔","史前館建置之考古文物3D數位模型資料庫，含300+筆文物高精度3D掃描資料","3D;考古;文物;史前文化","舊石器時代–金屬器時代","全臺灣","–","國立臺灣史前文化博物館藏品查詢系統","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽；3D列印需另申請授權","已收錄 metadata","臺灣唯一之考古文物3D資料庫"
"南科考古館出土文物藏品查詢系統","國立臺灣史前文化博物館南科考古館","2019","考古與物質文化","國立臺灣史前文化博物館南科考古館","STSP-COL-01","https://stspcoll.nmp.gov.tw/","zh","文字;圖檔","南科考古館出土文物查詢系統，收錄南科園區32處遺址搶救發掘出土文物，涵蓋大坌坑至西拉雅文化層","南科;考古;搶救發掘;文物","大坌坑文化–西拉雅文化（約5000–300 BP）","臺南科學園區（南科）;新市;善化","–","國立臺灣史前文化博物館藏品查詢系統","國立臺灣史前文化博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽；研究申請另需審核","已收錄 metadata","南科園區為臺灣密度最高之考古遺址群"
"國家文化資產網—考古遺址查詢","文化部文化資產局","2006","考古與物質文化","文化部文化資產局","NCHDB-ARCH-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite","zh","文字","文化部建置之國定與縣定考古遺址查詢系統，登錄全臺各級考古遺址基本資訊與保存狀態","文化資產;考古遺址;法定保護","舊石器時代–金屬器時代","全臺灣","–","–","文化部文化資產局","–","2026-07-30","UNCLEAR","政府公開資料；免費查詢","已收錄 metadata","官方考古遺址名錄之權威來源"
"十三行數位博物館","新北市立十三行博物館","2020","考古與物質文化","新北市立十三行博物館","SSHM-DIGITAL-01","https://sshm.vm.ntpc.gov.tw/","zh","文字;圖檔;影音","十三行博物館數位化展示平臺，含十三行遺址、大坌坑遺址之虛擬導覽與數位典藏","十三行;大坌坑;數位博物館;遺址","大坌坑文化;十三行文化（約7000–400 BP）","新北市八里區","–","–","新北市立十三行博物館","–","2026-07-30","UNCLEAR","網站公開瀏覽","已收錄 metadata","北臺灣最重要的史前遺址博物館數位平臺"
"八仙洞考古遺址（長濱文化）","國立臺灣大學考古人類學系","1968-1970","考古與物質文化","國立臺灣史前文化博物館／國家文化資產網","BX-DONG-001","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000001","zh","文字;圖檔","八仙洞遺址為臺灣舊石器時代長濱文化之代表遺址，年代距今約3萬至5千年，位於臺東縣長濱鄉，為臺灣最早發現的舊石器時代文化","長濱文化;舊石器時代;八仙洞;海蝕洞穴","長濱文化（約30000–5000 BP）","臺東縣長濱鄉","–","–","–","國立臺灣大學（發掘）、宋文薰（發掘）","2026-07-30","UNCLEAR","國定考古遺址；公開查閱","已收錄 metadata","臺灣舊石器時代最早確認的文化層"
"左鎮人研究","連照美／國立臺灣大學","1970-2015","考古與物質文化","國立臺灣大學人類學系","TLJ-ZUOZHEN-01","–","zh","文字","左鎮菜寮溪發現之人類化石研究，包括頭骨碎片與牙齒，年代推定約2至3萬年前，為臺灣最早的人類化石證據","左鎮人;舊石器時代;人類化石;菜寮溪","左鎮人（約30000–20000 BP）","臺南市左鎮區","–","八仙洞考古遺址（長濱文化）","–","國立臺灣大學（研究）","2026-07-30","UNCLEAR","研究文獻散見學術期刊","僅收錄 metadata","臺灣最早人類化石之關鍵證據"
"網形文化研究","劉益昌／中央研究院","1990-2020","考古與物質文化","中央研究院","THL-WANGXING-01","–","zh","文字","苗栗網形地區發現之舊石器時代文化研究，年代推定約5萬年至1萬年前，含網形遺址與伯公壟遺址發掘資料","網形文化;舊石器時代;苗栗;伯公壟","網形文化（約50000–10000 BP）","苗栗縣公館鄉","–","八仙洞考古遺址（長濱文化）","–","中央研究院（研究）","2026-07-30","UNCLEAR","學術論文散見期刊","僅收錄 metadata","臺灣已知最早之舊石器文化層之一"
"大坌坑考古遺址","張光直／國立臺灣大學","1962-1964","考古與物質文化","國立臺灣大學人類學系","TPK-DABENKENG-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000004","zh","文字;圖檔","大坌坑遺址位於新北市八里區，為臺灣新石器時代最早文化層大坌坑文化之命名遺址，年代距今約7000至4700年前，張光直主持1964年發掘","大坌坑文化;新石器時代;繩紋陶;南島語族","大坌坑文化（約7000–4700 BP）","新北市八里區","–","–","–","張光直（發掘）、國立臺灣大學、美國耶魯大學","2026-07-30","UNCLEAR","國定考古遺址；公開查閱","已收錄 metadata","臺灣新石器時代最早文化之命名遺址"
"大坌坑文化繩紋陶研究","張光直（Kwang-chih Chang）","1969","考古與物質文化","美國耶魯大學出版社","FengpitouTapenkeng-1969","–","en","文字","張光直經典專書《Fengpitou Tapenkeng and the Prehistory of Taiwan》系統性論述大坌坑文化與鳳鼻頭文化之年代、器物與文化內涵","大坌坑文化;鳳鼻頭;繩紋陶;臺灣考古學","大坌坑文化（約7000–4700 BP）","全臺灣","–","大坌坑考古遺址","美國耶魯大學出版社","–","2026-07-30","ARR","紙本書；需購閱或圖書館查閱","僅收錄 metadata","臺灣考古學奠基性英文學術專著"
"大坌坑文化與南島語族起源研究","臧振華／中央研究院","2000-2020","考古與物質文化","中央研究院歷史語言研究所","ACAD-SINICA-DK-AUSTR","–","zh;en","文字","大坌坑文化被學界視為南島語族祖先型文化之關鍵研究，含跨國比較與考古語言學整合分析","大坌坑文化;南島語族;起源;擴散","大坌坑文化（約7000–4700 BP）","全臺灣;東南亞;太平洋","–","大坌坑考古遺址","中央研究院","–","2026-07-30","UNCLEAR","學術論文散見期刊與專書","僅收錄 metadata","大坌坑文化之國際學術重要性核心命題"
"圓山考古遺址","國立臺灣大學考古人類學系","1897-1990","考古與物質文化","國家文化資產網／臺北市立文獻委員會","YUANSHAN-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000006","zh","文字;圖檔","圓山遺址位於臺北市中山區圓山，為圓山文化命名遺址，年代距今約4500至3500年，以貝塚與有肩石斧、段石錛為特色，為臺灣北部最大之史前貝塚遺址","圓山文化;貝塚;新石器時代;有肩石斧","圓山文化（約4500–3500 BP）","臺北市中山區","–","–","–","伊能嘉矩（發現1897）、國分直一、臺大考古隊","2026-07-30","UNCLEAR","國定考古遺址；公開查閱","已收錄 metadata","北臺灣最著名之新石器時代遺址"
"芝山岩考古遺址","國立臺灣大學人類學系","1896-1990","考古與物質文化","國家文化資產網／臺北市文獻委員會","ZHISHANYAN-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000005","zh","文字;圖檔","芝山岩遺址位於臺北市士林區，為芝山岩文化命名遺址，年代距今約4500至3500年，以黑陶、彩陶與豐富植物遺留為特色，反映與中國大陸東南沿海之文化聯繫","芝山岩文化;黑陶;彩陶;新石器時代","芝山岩文化（約4500–3500 BP）","臺北市士林區","–","圓山考古遺址","–","–","2026-07-30","UNCLEAR","國定考古遺址；公開查閱","已收錄 metadata","臺灣唯一出土彩陶之史前遺址"
"訊塘埔遺址（訊塘埔文化）","劉益昌／中央研究院","1990-2005","考古與物質文化","中央研究院歷史語言研究所","XUNTANGPU-01","–","zh","文字","訊塘埔遺址位於新北市八里區，為訊塘埔文化命名遺址，年代距今約4500至3000年，屬臺灣北部新石器時代中期至晚期過渡文化","訊塘埔文化;新石器時代;八里;繩紋陶","訊塘埔文化（約4500–3000 BP）","新北市八里區","–","大坌坑遺址","–","中央研究院（發掘）","2026-07-30","UNCLEAR","學術報告文件；查閱有限","僅收錄 metadata","填補大坌坑與圓山文化之間的文化序列缺口"
"牛罵頭遺址（牛罵頭文化）","國立自然科學博物館／國立臺灣大學","1990-2010","考古與物質文化","臺中市文化資產處","NIUMATOU-01","–","zh","文字","牛罵頭遺址位於臺中市清水區，為牛罵頭文化命名遺址，年代距今約4500至3500年，屬臺灣中部新石器時代中期文化","牛罵頭文化;新石器時代;中部臺灣;紅陶","牛罵頭文化（約4500–3500 BP）","臺中市清水區","–","–","–","國立自然科學博物館（研究）","2026-07-30","UNCLEAR","學術報告文件；查閱有限","僅收錄 metadata","臺灣中部最重要之新石器時代中期文化"
"卑南考古遺址","連照美、宋文薰／國立臺灣大學","1980-1990","考古與物質文化","國立臺灣史前文化博物館卑南遺址公園","BEINAN-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000009","zh","文字;圖檔","卑南遺址位於臺東市，為卑南文化命名遺址，年代距今約3500至2000年，為臺灣規模最大、出土最豐富之史前遺址，已發現2000餘座石板棺墓葬與大量玉器","卑南文化;石板棺;玉器;新石器時代;墓葬","卑南文化（約3500–2000 BP）","臺東市南王里","–","–","–","連照美、宋文薰（發掘）、國立臺灣大學","2026-07-30","UNCLEAR","國定考古遺址；已成立卑南遺址公園公開展示","已收錄 metadata","臺灣出土規模最大之史前遺址，現為卑南遺址公園"
"卑南玉器研究","連照美／國立臺灣大學","1990-2010","考古與物質文化","國立臺灣大學人類學系","BEINAN-JADE-01","–","zh;en","文字","卑南遺址出土大量玉器（玉鐲、玉玦、玉管珠等）之系統性研究，為臺灣玉文化圈之核心資料","卑南文化;玉器;臺灣玉;交換體系;工藝","卑南文化（約3500–2000 BP）","臺東市","–","卑南考古遺址","–","國立臺灣大學（研究）","2026-07-30","UNCLEAR","學術論文與專書","僅收錄 metadata","臺灣玉文化圈之關鍵證據"
"麒麟遺址（麒麟文化/巨石文化）","全國考古學會／國立臺灣大學","1980-2000","考古與物質文化","國立臺灣史前文化博物館","QILIN-01","–","zh","文字","麒麟遺址位於臺東縣成功鎮，為麒麟文化（巨石文化）代表遺址，年代距今約3500至2000年，以巨大石壁、石柱、石像等巨石結構為特色","麒麟文化;巨石文化;新石器時代;臺東;巨石","麒麟文化（約3500–2000 BP）","臺東縣成功鎮","–","卑南考古遺址","–","–","2026-07-30","UNCLEAR","遺址現地保存；報告查閱有限","僅收錄 metadata","臺灣唯一之巨石文化代表"
"鳳鼻頭（中坑門）考古遺址","張光直／國立臺灣大學","1965-1970","考古與物質文化","國家文化資產網","FENGBITOU-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20090824000002","zh","文字;圖檔","鳳鼻頭遺址位於高雄市林園區，為鳳鼻頭文化命名遺址，年代距今約3500至2000年，屬臺灣南部新石器時代晚期文化，以細繩紋紅陶為特徵","鳳鼻頭文化;新石器時代;紅陶;南部臺灣","鳳鼻頭文化（約3500–2000 BP）","高雄市林園區","–","大坌坑文化繩紋陶研究","–","張光直（發掘）、國立臺灣大學","2026-07-30","UNCLEAR","國定考古遺址；公開查閱","已收錄 metadata","南臺灣新石器時代晚期文化標竿"
"大湖遺址（大湖文化）","國立臺灣大學考古人類學系","1970-1990","考古與物質文化","國家文化資產網","DAHU-01","–","zh","文字","大湖遺址位於高雄市湖內區，為大湖文化命名遺址，年代距今約3500至2000年，屬南部新石器時代晚期，以黑陶與灰黑陶為特色，含豐富貝塚遺留","大湖文化;黑陶;新石器時代;貝塚;南部臺灣","大湖文化（約3500–2000 BP）","高雄市湖內區;臺南市","–","鳳鼻頭遺址","–","–","2026-07-30","UNCLEAR","縣定考古遺址；報告查閱有限","僅收錄 metadata","大湖文化為南部新石器晚期重要文化相"
"花岡山遺址（花岡山文化）","國立臺灣大學人類學系","1970-2000","考古與物質文化","國家文化資產網","HUAGANGSHAN-01","–","zh","文字","花岡山遺址位於花蓮縣花蓮市，為花岡山文化命名遺址，年代距今約3500至2000年，屬東部新石器時代晚期，以打製石鋤與本站式文化層為特色","花岡山文化;新石器時代;東部臺灣;花蓮","花岡山文化（約3500–2000 BP）","花蓮縣花蓮市","–","–","–","–","2026-07-30","UNCLEAR","報告查閱有限","僅收錄 metadata","臺灣東部重要新石器時代晚期文化"
"丸山遺址（丸山文化）","宜蘭縣立蘭陽博物館／國立臺灣大學","1990-2010","考古與物質文化","宜蘭縣政府文化局","WANSHAN-01","–","zh","文字","丸山遺址位於宜蘭縣冬山鄉，為丸山文化命名遺址，年代距今約3500至2000年，屬東北部新石器時代晚期文化，以磨製石器與繩紋陶為特色","丸山文化;新石器時代;宜蘭;繩紋陶","丸山文化（約3500–2000 BP）","宜蘭縣冬山鄉","–","–","–","宜蘭縣立蘭陽博物館（研究）","2026-07-30","UNCLEAR","縣定考古遺址；報告查閱有限","僅收錄 metadata","宜蘭地區史前文化之關鍵定年標竿"
"臺南科學園區考古遺址群總論","臧振華、李匡悌／中央研究院","2001-2020","考古與物質文化","國立臺灣史前文化博物館南科考古館","STSP-SITES-SYNTHESIS","–","zh","文字","南科園區85處以上考古遺址之綜合研究成果，涵蓋大坌坑、牛稠子、大湖、蔦松、西拉雅等連續文化層，為臺灣密度最高、時序最完整之考古遺址群","南科;考古;搶救發掘;文化序列;科學園區","大坌坑文化–西拉雅文化（約5000–300 BP）","臺南科學園區（新市;善化）","–","南科考古館出土文物藏品查詢系統","–","臧振華、李匡悌（主持發掘）","2026-07-30","UNCLEAR","發掘報告已出版多冊；查閱有限","僅收錄 metadata","南科為臺灣考古學研究之重鎮"
"十三行考古遺址","臧振華／中央研究院","1991-1998","考古與物質文化","新北市立十三行博物館","SSHSANHANG-01","https://nchdb.boch.gov.tw/assets/overview/archaeologicalSite/20060501000003","zh","文字;圖檔","十三行遺址位於新北市八里區，為十三行文化命名遺址，年代距今約1800至400年，屬臺灣北部金屬器時代文化，以煉鐵遺留與中國唐宋錢幣、瓷器為特色，顯示與大陸貿易往來","十三行文化;金屬器時代;煉鐵;貿易;臺灣北部","十三行文化（約1800–400 BP）","新北市八里區","–","–","–","臧振華（主持搶救發掘）、中央研究院","2026-07-30","UNCLEAR","國定考古遺址；現為十三行博物館公開展示","已收錄 metadata","臺灣首座考古遺址博物館"
"番仔園遺址（番仔園文化）","國立自然科學博物館","1990-2010","考古與物質文化","國立自然科學博物館","FANZAIYUAN-01","–","zh","文字","番仔園遺址位於臺中市大甲區，為番仔園文化命名遺址，年代距今約2000至400年，屬中部金屬器時代文化，以鐵器、玻璃珠與墓葬出土為特色","番仔園文化;金屬器時代;中部臺灣;鐵器","番仔園文化（約2000–400 BP）","臺中市大甲區","–","–","–","國立自然科學博物館（研究）","2026-07-30","UNCLEAR","學術報告；查閱有限","僅收錄 metadata","臺灣中部金屬器時代關鍵文化"
"蔦松遺址（蔦松文化）","國立臺灣大學考古人類學系","1980-2000","考古與物質文化","國家文化資產網","NIAOSONG-01","–","zh","文字","蔦松遺址位於臺南市永康區，為蔦松文化命名遺址，年代距今約2000至400年，屬南部金屬器時代文化，以陶環紡輪、鐵器與玻璃瑪瑙珠為特色","蔦松文化;金屬器時代;南部臺灣;鐵器;西拉雅","蔦松文化（約2000–400 BP）","臺南市永康區","–","南科考古遺址群","–","–","2026-07-30","UNCLEAR","考古遺址；報告查閱有限","僅收錄 metadata","蔦松文化為西拉雅族之直接祖型文化"
"靜浦遺址（靜浦文化）","中央研究院歷史語言研究所","1990-2010","考古與物質文化","中央研究院","JINGPU-01","–","zh","文字","靜浦遺址位於花蓮縣豐濱鄉，為靜浦文化命名遺址，年代距今約2000至400年，屬東部金屬器時代文化，以打製石鋤、陶器與玻璃珠為特色，為阿美族之可能祖型文化","靜浦文化;金屬器時代;東部臺灣;阿美族;花蓮","靜浦文化（約2000–400 BP）","花蓮縣豐濱鄉","–","花岡山遺址","–","–","2026-07-30","UNCLEAR","考古遺址；報告查閱有限","僅收錄 metadata","阿美族可能之祖型文化"
"舊社遺址群（舊社文化/排灣族）","國立臺灣大學人類學系／屏東縣政府","1990-2020","考古與物質文化","屏東縣政府文化處","KLIEW-01","–","zh","文字","屏東地區舊社遺址群為舊社文化（排灣族祖型文化）之代表，年代距今約1000至400年，含石板屋、石器、陶器、玻璃珠等遺留","舊社文化;金屬器時代;排灣族;屏東;石板屋","舊社文化（約1000–400 BP）","屏東縣泰武鄉;來義鄉","–","–","–","國立臺灣大學人類學系（研究）","2026-07-30","UNCLEAR","學術研究報告；查閱有限","已收錄 metadata","屏東排灣族地區之考古學文化序列"
