"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","南亞"
"孟加拉國家檔案館","孟加拉國家檔案館（隸屬檔案暨圖書館署）","1947–迄今","官方檔案文書","孟加拉國家檔案館","BD-ST-01","https://nanl.gov.bd/","bn;en","文字;圖檔","1973年設，藏22.5萬卷官方檔案，含東巴基斯坦時期與1971年後政府公文・微捲與報刊剪報，線上目錄與數位檔案庫開放檢索，為孟加拉國家核心史料庫","孟加拉;國家檔案館;政府檔案;微捲;獨立後","東巴基斯坦～孟加拉國（1947–迄今）","孟加拉（達卡）","–","孟加拉國家圖書館","–","孟加拉國家檔案館（數位檔案庫）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","孟加拉國家檔案總庫","孟加拉"
"孟加拉國家圖書館","孟加拉國家圖書館","1947–迄今","傳世文獻","孟加拉國家圖書館","BD-ST-02","https://nanl.gov.bd/","bn;en;ur;ar","文字","1973年設之法定送存圖書館，藏約40萬冊孟加拉語・英語及烏爾都・阿拉伯・波斯語文獻，含國家書目與舊報刊，為孟加拉出版史與知識傳播之國家書庫","孟加拉;國家圖書館;送存;書目;報刊","東巴基斯坦（1947–迄今）","孟加拉（達卡）","–","孟加拉國家檔案館","–","孟加拉國家圖書館（OPAC）","2026-08-01","ARR","官方圖書館典藏，線上檢索","已收錄 metadata","國家出版總書庫","孟加拉"
"孟加拉國家博物館","孟加拉國家博物館","史前～現代","考古與物質文化","孟加拉國家博物館","BD-ST-03","https://bangladeshmuseum.gov.bd/","bn;en","圖檔","1913年創於達卡，44間展廳涵蓋古孟加拉雕塑・錢幣・伊斯蘭藝術與解放戰爭史，附360度虛擬導覽，為孟加拉物質文化與歷史之國家級博物館","孟加拉;國家博物館;古孟加拉;伊斯蘭藝術;解放戰爭","孟加拉國（1971–迄今）","孟加拉（達卡）","–","瓦仁德拉研究博物館","–","孟加拉國家博物館（虛擬導覽）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","國家級綜合博物館","孟加拉"
"解放戰爭博物館","解放戰爭博物館（1971）","1971","照片與影像","解放戰爭博物館","BD-ST-04","https://www.liberationwarmuseumbd.org/","bn;en","圖檔;影音","紀念1971年孟加拉獨立戰爭之專題博物館，收藏戰爭證物・照片・口述與受害者家屬資料，官方網站提供藏品頁與數位資源，為解放戰爭記憶之核心史料庫","1971;解放戰爭;獨立;證物;口述","孟加拉國（1971）","孟加拉（達卡）","–","孟加拉解放戰爭線上檔案庫","–","解放戰爭博物館（藏品）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","獨立戰爭記憶核心","孟加拉"
"孟加拉解放戰爭線上檔案庫（Muktijuddho e-Archive）","孟加拉解放戰爭線上檔案庫","1971","官方檔案文書","孟加拉解放戰爭線上檔案庫","BD-ST-05","https://liberationwarbangladesh.org/","bn;en","圖檔;影音","民間發起之1971年解放戰爭電子檔案庫，匯整當年代文件・照片與影像紀錄，為解放戰爭當代史料之數位匯集（網站偶有異常，引用前建議人工確認）","1971;解放戰爭;數位檔案;文件;影像","孟加拉國（1971）","孟加拉全國","–","解放戰爭博物館","–","孟加拉解放戰爭線上檔案庫（數位匯集）","2026-08-01","ARR","民間數位檔案庫，線上瀏覽","已收錄 metadata","解放戰爭民間檔案匯集","孟加拉"
"孟加拉考古署","孟加拉考古署","史前～莫臥兒","考古與物質文化","孟加拉考古署","BD-ST-06","https://archaeology.gov.bd/","bn;en","圖檔","主管帕哈爾普爾佛寺・巴蓋爾哈特清真寺城等世界遺產與各大遺址博物館之發掘與保護，官方網站刊載遺址圖錄與文物資料，為孟加拉古代考古之國家管理機關","孟加拉;考古;世界遺產;帕哈爾普爾;遺址","古孟加拉（史前～莫臥兒）","孟加拉全國","–","孟加拉國家博物館","–","孟加拉考古署（遺址資料）","2026-08-01","ARR","官方機構典藏，線上瀏覽","已收錄 metadata","含帕哈爾普爾佛寺（世界遺產1985）","孟加拉"
"瓦仁德拉研究博物館","瓦仁德拉研究博物館（拉傑沙希大學）","約前3世紀–13世紀","考古與物質文化","瓦仁德拉研究博物館","BD-ST-07","http://vrmbd.ru.ac.bd/","bn;sa;en","圖檔;文字","1910年設於拉傑沙希大學，為南亞最古老大學博物館，藏帕拉・森王朝佛教雕塑・碑銘與孟加拉語手稿，為古孟加拉史（瓦仁德拉地區）研究必查之學術館","瓦仁德拉;古孟加拉;帕拉王朝;佛教雕塑;手稿","古孟加拉（約前3世紀–13世紀）","孟加拉（拉傑沙希）","–","孟加拉國家博物館","–","瓦仁德拉研究博物館（典藏）","2026-08-01","ARR","大學博物館典藏，線上瀏覽","已收錄 metadata","古孟加拉史必查館","孟加拉"
"孟加拉學院","孟加拉學院（Bangla Academy）","1952–迄今","傳世文獻","孟加拉學院","BD-ST-08","http://banglaacademy.portal.gov.bd/","bn;en","文字","國家語文機構，編纂孟加拉語辭典與經典校訂本，並保存1952年語言運動（Martyrs Day）史料與紀念活動紀錄，為孟加拉語文研究與語言運動記憶之權威入口","孟加拉語;語言運動;辭典;文學;語文政策","孟加拉國（1952語言運動～迄今）","孟加拉（達卡）","–","孟加拉亞洲學會","–","孟加拉學院（語文機構）","2026-08-01","ARR","官方文化機構，線上瀏覽","已收錄 metadata","孟加拉語文權威","孟加拉"
"孟加拉亞洲學會暨孟加拉百科","孟加拉亞洲學會","史前～現代","方志與輿圖","孟加拉亞洲學會","BD-ST-09","https://asiaticsociety.org.bd/","bn;en","文字;圖檔","出版國家百科《Banglapedia》與學術期刊，中古孟加拉史・地理・族群條目齊全，為孟加拉國情與歷史之綜合參考文獻庫","Banglapedia;孟加拉百科;學術期刊;方志;國情","孟加拉國（史前～現代）","孟加拉全國","–","孟加拉國家博物館","–","孟加拉亞洲學會（百科）","2026-08-01","ARR","學術機構典藏，線上瀏覽","已收錄 metadata","國家百科全書","孟加拉"
"孟加拉統計局","孟加拉統計局（BBS）","1971–迄今","統計與調查資料","孟加拉統計局","BD-ST-10","http://nsds.bbs.gov.bd/en","bn;en","文字;圖檔","歷次人口普查與社會經濟統計資料庫，含1974年首度普查與2022年普查，為孟加拉人口・農業・經濟社會史之基礎量化史料","孟加拉;統計;人口普查;社會經濟;量化史料","孟加拉國（1971–迄今）","孟加拉全國","–","孟加拉國家圖書館","–","孟加拉統計局（統計資料庫）","2026-08-01","ARR","官方統計數位庫，線上瀏覽","已收錄 metadata","孟加拉量化史料主庫","孟加拉"
"3月7日演講原稿（Bangabandhu）","穆吉布・拉赫曼（Bangabandhu）","1971","官方檔案文書","孟加拉國政府","BD-ST-11","https://www.unesco.org/en/memory-world/7th-march-speech-bangabandhu-sheikh-mujibur-rahman","bn;en","影音;文字","孟加拉國父穆吉布・拉赫曼1971年3月7日獨立宣言前之歷史演講，促使解放戰爭爆發，2017年登錄UNESCO世界記憶國際名錄，為孟加拉獨立運動之關鍵文獻","3月7日演講;穆吉布;世界記憶;獨立宣言;演講錄音","孟加拉國（1971）","孟加拉（達卡・蘇拉瓦地公園）","–","孟加拉解放戰爭線上檔案庫","–","孟加拉國政府（世界記憶典藏）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","UNESCO世界記憶2017","孟加拉"
"孟加拉世界遺產","UNESCO世界遺產中心","8–17世紀","考古與物質文化","UNESCO世界遺產中心","BD-ST-12","https://whc.unesco.org/en/statesparties/bd","bn;en","圖檔;地圖","孟加拉世界遺產：帕哈爾普爾佛寺（1985）・巴蓋爾哈特清真寺城（1985）・孫德爾本斯紅樹林（1997），網站提供各遺產完整圖文資料與登錄法規，為孟加拉古文明與自然遺產之國際權威紀錄","世界遺產;帕哈爾普爾;巴蓋爾哈特;孫德爾本斯;UNESCO","古孟加拉～莫臥兒（8–17世紀）","孟加拉（帕哈爾普爾・巴蓋爾哈特・孫德爾本斯）","–","孟加拉考古署","–","UNESCO世界遺產中心（官方紀錄）","2026-08-01","ARR","世界遺產官方資料，線上瀏覽","已收錄 metadata","世界遺產1985/1997","孟加拉"
"《蘇丹娜之夢》手稿","洛克雅・薩卡瓦特・侯賽因","1905","傳世文獻","世界記憶亞太委員會（MOWCAP）","BD-ST-13","https://www.unesco.org/en/memory-world/sultanas-dream-rokaya-sakhawat-hossain","bn;en","文字;圖檔","孟加拉首位女性主義作家洛克雅1905年所著婦女烏托邦科幻短篇《蘇丹娜之夢》原稿，2024年登錄UNESCO世界記憶亞太區域名錄，為南亞女性啟蒙與科幻文學之珍貴文獻","蘇丹娜之夢;洛克雅;女性主義;科幻文學;世界記憶","英屬孟加拉（1905）","孟加拉（帕德瑪拉札）","–","孟加拉學院","–","世界記憶亞太委員會（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","MOWCAP登錄2024","孟加拉"
"大英圖書館印度事務檔案（孟加拉）","英國東印度公司／印度事務部","1600–1947","官方檔案文書","大英圖書館","BD-ST-14","https://searcharchives.bl.uk/","en;bn;fa","文字;圖檔;地圖","大英圖書館藏東印度公司與孟加拉省行政檔案，涵蓋東孟加拉・吉大港等分治前紀錄，可檢索India Office Records，為孟加拉殖民統治之核心境外檔案","IOR;東印度公司;孟加拉省;英屬印度;殖民檔案","英屬孟加拉（1600–1947）","孟加拉（東孟加拉・吉大港）","–","孟加拉國家檔案館","–","大英圖書館（檔案館藏）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","英印殖民檔案孟加拉部分","孟加拉"
"劍橋大學數位圖書館孟加拉手稿","印度各地抄書匠（佚名）","8–18世紀","傳世文獻","劍橋大學圖書館","BD-ST-15","https://viewer.cudl.lib.cam.ac.uk/collections/sanskrit","sa;bn;pra","圖檔","劍橋大學圖書館數位化梵語・孟加拉語手稿，含孟加拉帕哈爾普爾（Somapura）出土之梵語寫本等1,600餘件，為古孟加拉佛教與文學文獻之境外開放數位庫","梵語手稿;貝葉經;孟加拉語;佛教文獻;數位典藏","伊斯蘭蘇丹～莫臥兒（8–18世紀）","孟加拉（帕哈爾普爾等出土）","–","瓦仁德拉研究博物館","–","劍橋大學圖書館（數位圖書館）","2026-08-01","ARR","大學數位圖書館，免費開放","已收錄 metadata","境外開放孟加拉手稿庫","孟加拉"
"1947 分治口述檔案庫（孟加拉）","史丹佛大學1947分治口述檔案庫","1947","口述歷史","史丹佛大學1947分治口述檔案庫","BD-ST-16","https://www.1947partitionarchive.org/","bn;hi;ur;en","影音;文字","分治見證者訪談庫含遷往東孟加拉／孟加拉之敘事，補足分治後東翼人口移動・流離與認同轉變之口述史料，可線上申請查閱","1947分治;口述歷史;東孟加拉;移民;見證者","東巴基斯坦（1947）","孟加拉（東孟加拉）・印度・巴基斯坦","–","孟加拉國家檔案館","–","1947分治口述檔案庫（數位典藏）","2026-08-01","ARR","口述資料庫，線上申請查閱","已收錄 metadata","東翼分治口述史料","孟加拉"
"瀕危檔案計畫（孟加拉）","大英圖書館瀕危檔案計畫（EAP）","16–20世紀","官方檔案文書","大英圖書館","BD-ST-17","https://eap.bl.uk/","bn;en;sa","文字;圖檔","大英圖書館瀕危檔案計畫資助搶救孟加拉各地珍稀手稿與地方文書並全文上線，可依國家過濾孟加拉案例，為殖民與前殖民孟加拉地方文獻之境外補強庫","瀕危檔案;手稿;地方文書;孟加拉;數位化","英屬孟加拉（16–20世紀）","孟加拉各地","–","大英圖書館印度事務檔案（孟加拉）","–","大英圖書館（EAP）","2026-08-01","ARR","數位典藏，免費開放","已收錄 metadata","瀕危文獻搶救計畫","孟加拉"
