"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","尼泊爾"
"尼泊爾國家檔案館（National Archives of Nepal）","尼泊爾國家檔案館","古代–迄今","官方檔案文書","尼泊爾國家檔案館","NP-ST-01","http://narchives.gov.np/","ne;en;sa","文字;圖檔","尼泊爾國家檔案館前身可溯至1812年檔案庫，現為國家法定檔案典藏中心，保存沙阿王朝與拉納時期詔書・外交文書・土地登記・司法檔案與梵語貝葉手稿等，官方網站提供目錄與數位化查詢，為尼泊爾國家記憶之主庫","尼泊爾;國家檔案館;沙阿王朝;拉納時期;檔案","古代王國～尼泊爾共和（迄2025）","尼泊爾（加德滿都）","–","凱撒圖書館（Kaiser Library）","–","尼泊爾國家檔案館（數位典藏）","2026-08-27","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","尼泊爾最大檔案庫，含宗教・土地・司法檔案","尼泊爾"
"凱撒圖書館（Kaiser Library）","凱撒（Kaiser Shamsher）","19世紀–20世紀","傳世文獻","凱撒圖書館","NP-ST-02","https://klib.gov.np/","ne;en;sa;ti","文字;圖檔","凱撒圖書館為沙阿王朝皇室成員凱撒・沙姆謝爾捐贈之私人圖書館，藏梵語・尼泊爾語・藏語・英語手稿與早期印刷本約3萬冊，1941年開放，現由尼泊爾國家檔案館代管，為尼泊爾歷史文獻之重要私家藏書","凱撒圖書館;手稿;梵語;藏語;私家藏書","沙阿王朝～拉納時期（19–20世紀）","尼泊爾（加德滿都）","–","尼泊爾國家檔案館（含真納文件收藏）;凱撒圖書館（Kaiser Library）","–","凱撒圖書館（官方典藏）","2026-08-27","ARR","皇家遺贈圖書館，官方典藏","已收錄 metadata","含UNESCO世界記憶登錄之《妙聞集》手稿","尼泊爾"
"Susrutamhita（Sahottartantra）手稿","《妙聞集》（Susrutamhita）","約公元9世紀","傳世文獻","凱撒圖書館","NP-ST-03","https://www.unesco.org/en/memory-world/susrutamhita-sahottartantra-manuscript","sa","圖檔","藏於凱撒圖書館之阿育吠陀醫學經典《妙聞集》續論篇貝葉手稿，約1,134年歷史，為印度傳統醫藥體系最古老文獻之一，2013年以尼泊爾名義登錄UNESCO世界記憶國際名錄，為尼泊爾之世界記憶登錄代表","妙聞集;阿育吠陀;貝葉手稿;世界記憶;醫學","古代王朝～中世紀（公元9世紀）","尼泊爾（加德滿都）","–","凱撒圖書館（Kaiser Library）","–","凱撒圖書館（原件典藏）","2026-08-27","ARR","UNESCO世界記憶2013，官方典藏","已收錄 metadata","UNESCO世界記憶2013","尼泊爾"
"尼泊爾國家圖書館（Nepal National Library）","尼泊爾國家圖書館","1957–迄今","傳世文獻","尼泊爾國家圖書館","NP-ST-04","https://nnl.gov.np/","ne;en","文字","尼泊爾法定送存與著作權圖書館，監管教育部，藏尼泊爾出版之書籍・期刊・政府出版品與手抄本，OPAC線上目錄開放檢索，為研究尼泊爾出版史與國家出版之官方書庫","尼泊爾;國家圖書館;法定送存;出版品;政府出版","尼泊爾共和（1951–迄今）","尼泊爾（拉利特普爾/巴克塔普爾）","–","尼泊爾國家數位圖書館（NDL）","–","尼泊爾國家圖書館（OPAC）","2026-08-27","ARR","官方圖書館典藏，線上檢索","已收錄 metadata","1957年成立，含皇家贈書","尼泊爾"
"尼泊爾國家數位圖書館（National Digital Library, NDL）","尼泊爾教育部","迄今（數位典藏）","官方檔案文書","尼泊爾國家數位圖書館","NP-ST-05","https://ndl.gov.np/","ne;en","文字;圖檔","尼泊爾教育部營運之國家數位圖書館，整合全國圖書館聯合目錄與數位儲存庫，收錄書籍・論文・期刊・政府出版品・地圖影像與珍本手稿，為尼泊爾知識遺產之單一數位入口","尼泊爾;數位圖書館;聯合目錄;數位典藏;知識遺產","尼泊爾共和（2008–迄今）","尼泊爾（加德滿都）","–","尼泊爾國家圖書館（Nepal National Library）","–","尼泊爾國家數位圖書館（數位典藏）","2026-08-27","ARR","官方數位典藏，免費開放","已收錄 metadata","含國家聯合目錄與數位儲存庫","尼泊爾"
"馬丹・普拉斯卡圖書館（Madan Puraskar Pustakalaya）","馬丹・普拉斯卡圖書館","1956–迄今","傳世文獻","馬丹・普拉斯卡圖書館","NP-ST-06","https://madanpuraskar.org/","ne;new","文字;圖檔","尼泊爾語出版品之最主要典藏機構，藏尼泊爾語・尼瓦語書籍・期刊・小冊・照片與手稿，為非營利圖書館並進行數位化，2023年納入世界記憶MOWCAP《蘇丹娜之夢》關聯典藏，是研究尼泊爾語言出版史之核心","馬丹普拉斯卡;尼泊爾語;出版品;期刊;數位化","沙阿王朝～尼泊爾共和（1956–迄今）","尼泊爾（拉利特普爾）","–","大英圖書館（Madan Puraskar Collection）","–","馬丹・普拉斯卡圖書館（數位典藏）","2026-08-27","ARR","非營利圖書館，數位化進行中","已收錄 metadata","尼泊爾語出版品主庫","尼泊爾"
"Archives Nepal 歷史文獻平台","Archives Nepal","迄今（數位典藏）","口述歷史","Archives Nepal","NP-ST-07","https://www.archivenepal.org/","ne;new;en","文字;圖檔;影音","尼泊爾歷史文獻數位典藏平台，蒐集與公開尼泊爾相關之歷史照片・手稿・地圖・口述記錄，並與UNESCO合作進行紐瓦（Newa）手稿數位化（2025–2026年完成30餘件200–800年手稿），為研究尼泊爾社會史之開放資料庫","尼泊爾;數位典藏;紐瓦手稿;歷史照片;口述","古代王朝～尼泊爾共和（迄2026）","尼泊爾（加德滿都谷地）","–","UNESCO（世界記憶框架）","–","Archives Nepal（數位典藏）","2026-08-27","ARR","開放平台，自由瀏覽","已收錄 metadata","與UNESCO合作之紐瓦手稿數位化","尼泊爾"
"尼泊爾人口普查檔案（Census Nepal）","尼泊爾國家統計局（NSO）","1911–迄今","統計與調查資料","尼泊爾國家統計局","NP-ST-08","https://censusnepal.cbs.gov.np/","ne;en","文字;圖檔","尼泊爾自1911年拉納時期首次人口普查起，歷1041-42・1952-54・1961・1971・1981・1991・2001・2011・2021等次，國家統計局出版之普查報告提供族群・語言・宗教・人口分布之官方統計，官網開放全量結果檔","尼泊爾;人口普查;統計;族群;語言","拉納時期～尼泊爾共和（1911–2021）","尼泊爾全境","–","尼泊爾國家統計局（NSO）","–","尼泊爾國家統計局（數位資料庫）","2026-08-27","ARR","官方統計，免費下載","已收錄 metadata","1921年起每10年一次","尼泊爾"
"尼泊爾國家統計局（NSO）統計資料庫","尼泊爾國家統計局（NSO）","1958–迄今","統計與調查資料","尼泊爾國家統計局","NP-ST-09","https://microdata.nsonepal.gov.np/","ne;en","文字","尼泊爾國家統計局（前中央統計局CBS）於1958年依統計法成立，營運中央資料目錄與微型資料庫，提供人口・家戶・勞動・經濟等官方調查之問卷與資料集，為尼泊爾國家統計體系之核心","尼泊爾;統計局;官方統計;調查;資料庫","尼泊爾共和（1958–迄今）","尼泊爾全境","–","尼泊爾人口普查檔案（Census Nepal）","–","尼泊爾國家統計局（微型資料庫）","2026-08-27","ARR","官方統計，註冊後開放","已收錄 metadata","原中央統計局CBS，2022年改制NSO","尼泊爾"
"藍毗尼佛陀誕生地（Lumbini）","藍毗尼開發信託","約前623 / 1997登錄","考古與物質文化","藍毗尼開發信託","NP-ST-10","https://whc.unesco.org/en/list/666/","ne;en;pi","文字;圖檔","藍毗尼為佛教創立者釋迦牟尼誕生地，1997年登錄UNESCO世界文化遺產，園區含瑪雅黛維神廟・阿育王石柱（前249年）・跋提亞古城遺址與僧院建築群，考古出土銘文與佛塔遺蹟為南亞佛教史之核心遺產","藍毗尼;佛陀誕生地;世界文化遺產;阿育王石柱;佛教考古","古代王朝（約前623起）","尼泊爾（藍毗尼）","–","阿育王石柱銘文","–","藍毗尼開發信託（遺產管理）","2026-08-27","ARR","官方遺產管理機構，線上瀏覽","已收錄 metadata","UNESCO世界遺產1997","尼泊爾"
