"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","南亞"
"巴基斯坦國家檔案館（含真納文件收藏）","巴基斯坦國家檔案館","1947–迄今","官方檔案文書","巴基斯坦國家檔案館","PK-ST-01","https://archives.gov.pk/","ur;en","文字;圖檔","巴基斯坦國家檔案館為國家法定檔案典藏中心，保存1947年分治前後中央檔案、建國文書與真納（Quaid-i-Azam）遺稿等，官方網站提供線上目錄與數位化查詢，為巴基斯坦國家記憶之主庫","巴基斯坦;國家檔案館;真納;建國;檔案","英屬印度～巴基斯坦建國（1947）","巴基斯坦（伊斯蘭馬巴德）","–","真納文件（Jinnah Papers）","–","巴基斯坦國家檔案館（數位典藏）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","含真納文件原件（UNESCO世界記憶1999）","巴基斯坦"
"真納文件（Jinnah Papers）","真納（Muhammad Ali Jinnah）","1947","官方檔案文書","巴基斯坦國家檔案館","PK-ST-02","https://www.unesco.org/en/memory-world/jinnah-papers-quaid-i-azam","ur;en","文字;圖檔","國父真納的書信・演講稿與建國文書共約3萬頁，記錄巴基斯坦建國關鍵決策，原件藏於巴基斯坦國家檔案館，1999年登錄UNESCO世界記憶國際名錄，為巴基斯坦唯一之世界記憶登錄","真納;巴基斯坦建國;世界記憶;書信;演講稿","巴基斯坦國（1947）","巴基斯坦（伊斯蘭馬巴德）","–","巴基斯坦國家檔案館（含真納文件收藏）","–","巴基斯坦國家檔案館（原件典藏）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","UNESCO世界記憶1999","巴基斯坦"
"巴基斯坦國家圖書館","巴基斯坦國家圖書館","1947–迄今","傳世文獻","巴基斯坦國家圖書館","PK-ST-03","https://www.nlp.gov.pk/","ur;en","文字","國家法定送存圖書館，藏建國前後巴基斯坦與前英屬印度出版品・政府年鑑與期刊，線上OPAC開放檢索，為研究巴基斯坦出版史與官方出版之國家書庫","巴基斯坦;國家圖書館;出版品;年鑑;政府出版","巴基斯坦國（1947–迄今）","巴基斯坦（伊斯蘭馬巴德）","–","巴基斯坦人口普查檔案","–","巴基斯坦國家圖書館（OPAC）","2026-08-01","ARR","官方圖書館典藏，線上檢索","已收錄 metadata","國家出版總書庫","巴基斯坦"
"旁遮普數位圖書館","旁遮普數位圖書館（Panjab Digital Library）","16–20世紀","傳世文獻","旁遮普數位圖書館","PK-ST-04","https://panjabdigilib.com/","fa;ur;pa;hi","文字;圖檔","大規模掃描旁遮普與北印度珍本，含波斯語・烏爾都語・旁遮普語手稿、錫克教典籍與歷史地圖，開放數位影像免費下載，為旁遮普地區（含今巴基斯坦側）文獻之最大數位庫","旁遮普;手稿;波斯語;烏爾都語;錫克教","莫臥兒～英屬印度（16–20世紀）","巴基斯坦（旁遮普）／印度旁遮普","–","旁遮普檔案暨圖書館處","–","旁遮普數位圖書館（數位典藏）","2026-08-01","ARR","數位圖書館，免費開放","已收錄 metadata","跨國界旁遮普文獻庫","巴基斯坦"
"摩亨佐達羅考古遺址","印度河流域文明（哈拉帕文化）","約前2600–前1900","考古與物質文化","巴基斯坦考古暨博物館署","PK-ST-05","https://doam.gov.pk/public/sites/4870","–","圖檔","巴基斯坦考古暨博物館署主管摩亨佐達羅等世界遺產之發掘與保護，官網刊載遺址解說・出土文物資料與博物館清單，摩亨佐達羅1980年登錄UNESCO世界文化遺產，為印度河流域文明最大城址","摩亨佐達羅;印度河流域文明;世界遺產;考古;城址","印度河流域文明（約前2600–前1900）","巴基斯坦（信德省）","–","Harappa.com 印度河流域研究入口","–","巴基斯坦考古暨博物館署（遺址管理）","2026-08-01","ARR","官方遺址管理機構，線上瀏覽","已收錄 metadata","UNESCO世界遺產1980","巴基斯坦"
"巴基斯坦國家博物館（喀拉蚩）","巴基斯坦考古暨博物館署","印度河流域文明～現代","考古與物質文化","巴基斯坦國家博物館","PK-ST-06","https://doam.gov.pk/public/heritage-sites/792","ur;en","圖檔","1950年設於喀拉蚩Frere Hall之國家博物館，藏印度河流域印章・犍陀羅雕刻・伊斯蘭藝術與300多部古蘭經抄本，為巴基斯坦物質文化之國家典藏，經考古暨博物館署官網提供藏品資料","巴基斯坦;國家博物館;犍陀羅;伊斯蘭藝術;古蘭經","印度河流域文明～現代","巴基斯坦（喀拉蚩）","–","摩亨佐達羅考古遺址","–","巴基斯坦國家博物館（藏品資料）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","藏量最豐之國家博物館","巴基斯坦"
"拉合爾博物館犍陀羅藝廊","犍陀羅文明（貴霜時期）","約前2世紀–5世紀","考古與物質文化","拉合爾博物館","PK-ST-07","https://lahoremuseum.punjab.gov.pk/taxonomy/term/10","–","圖檔","拉合爾博物館藏巴基斯坦最豐犍陀羅佛教雕刻與希臘化遺物（含佛陀像・佛傳浮雕・犍陀羅錢幣），官方網站提供線上圖錄與展廳解說，為研究貴霜時期佛教藝術之必查機構","犍陀羅;佛教藝術;貴霜;雕像;博物館","犍陀羅文明（約前2世紀–5世紀）","巴基斯坦（旁遮普・拉合爾）","–","巴基斯坦國家博物館（喀拉蚩）","–","拉合爾博物館（線上圖錄）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","犍陀羅佛教藝術重鎮","巴基斯坦"
"穆哈塔宮博物館（近現代史）","穆哈塔宮博物館","1947–迄今","考古與物質文化","穆哈塔宮博物館","PK-ST-08","https://www.mohattapalacemuseum.org/","ur;en","圖檔;影音","位於喀拉蚩之穆哈塔宮博物館常設巴基斯坦近現代史與獨立運動主題展，並提供線上展覽資料與教育資源，補足國家史敘事面向之視覺與物質史料","巴基斯坦;近現代史;獨立運動;博物館;特展","巴基斯坦國（1947–迄今）","巴基斯坦（喀拉蚩）","–","1947 分治口述檔案庫","–","穆哈塔宮博物館（線上展覽）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","近現代史主題館","巴基斯坦"
"巴基斯坦人口普查檔案（1951–2023）","巴基斯坦統計局（PBS）","1951–2023","統計與調查資料","巴基斯坦統計局","PK-ST-09","https://www.pbs.gov.pk/censusarchive/","ur;en","文字;圖檔","巴基斯坦統計局歷次人口普查全文與資料集，涵蓋1951至2023年各區人口・族群・宗教・職業統計，為研究巴基斯坦人口結構與族群變遷（含南亞遷徙）之基礎量化史料","人口普查;統計;族群;人口;量化史料","巴基斯坦國（1951–2023）","巴基斯坦全國","–","巴基斯坦國家圖書館","–","巴基斯坦統計局（普查檔案）","2026-08-01","ARR","官方統計數位庫，線上瀏覽","已收錄 metadata","國家人口統計主庫","巴基斯坦"
"旁遮普檔案暨圖書館處","旁遮普省政府","16–20世紀","官方檔案文書","旁遮普檔案暨圖書館處","PK-ST-10","https://alw.punjab.gov.pk/digitization","ur;en;fa","文字;地圖","旁遮普省政府檔案暨圖書館處收藏莫臥兒至英屬時期之行政公文・地契・土地紀錄與地圖，並進行大規模數位化，與中央檔案館互補，為旁遮普地區治理史料之州級主庫","旁遮普;地方檔案;地契;土地紀錄;英屬印度","莫臥兒～英屬印度（16–20世紀）","巴基斯坦（旁遮普・拉合爾）","–","俾路支檔案館","–","旁遮普檔案暨圖書館處（數位化）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","州級檔案主庫","巴基斯坦"
"信德檔案館","信德省政府","英屬印度～現代","官方檔案文書","信德檔案館","PK-ST-11","https://archives.sindhculture.gov.pk/","ur;en;sd","文字","收藏信德省殖民時期至現代官方紀錄，含喀拉蚩城市發展、印度河谷地區與分治前後信德史料，官方網站提供目錄檢索，為信德歷史研究之地方檔案庫","信德;地方檔案;喀拉蚩;印度河谷;英屬印度","英屬印度～現代","巴基斯坦（信德・喀拉蚩）","–","摩亨佐達羅考古遺址","–","信德檔案館（目錄檢索）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","信德省地方檔案","巴基斯坦"
"俾路支檔案館","俾路支省政府","1831–1947","官方檔案文書","俾路支檔案館","PK-ST-12","https://balochistanarchives.gob.pk/","en;ur;br","文字;地圖","藏AGG紀錄（1831–1947）等3萬餘件，含喀拉特汗國檔案・地誌與300幅歷史地圖，為俾路支殖民治理唯一集中收藏之地方檔案館","俾路支;地方檔案;喀拉特汗國;殖民治理;地圖","英屬印度（1831–1947）","巴基斯坦（俾路支・奎達）","–","信德檔案館","–","俾路支檔案館（典藏）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","俾路支殖民檔案唯一庫","巴基斯坦"
"開伯爾-普什圖省檔案館","開伯爾-普什圖省政府","英屬印度～現代","官方檔案文書","開伯爾-普什圖檔案館","PK-ST-13","https://kpdal.gov.pk/index.php","ur;en;ps","文字","收藏西北邊境省殖民與現代官方檔案，含部落區治理與阿富汗邊境之行政文書，官方網站提供目錄，為普什圖地區治理史料之省級主庫","開伯爾-普什圖;地方檔案;部落區;邊境治理;英屬印度","英屬印度～現代","巴基斯坦（開伯爾-普什圖・白沙瓦）","–","信德檔案館","–","開伯爾-普什圖檔案館（目錄）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","西北邊境省檔案庫","巴基斯坦"
"洛克拉維爾薩（巴基斯坦民間遺產）","洛克拉維爾薩國家民間遺產研究所","1947–迄今","口述歷史","洛克拉維爾薩國家民間遺產研究所","PK-ST-14","https://lokvirsa.org.pk/","ur;pa;sd;ps","影音;圖檔","國家民間遺產機構，數位典藏全巴各族口傳文學・音樂・節慶與工藝，含大量田野音檔與影片，並設博物館與國際民俗節，為巴基斯坦無形文化遺產研究入口","巴基斯坦;民間遺產;口傳;音樂;無形文化遺產","巴基斯坦國（1947–迄今）","巴基斯坦全國","–","1947 分治口述檔案庫","–","洛克拉維爾薩（數位典藏）","2026-08-01","ARR","官方機構典藏，線上瀏覽","已收錄 metadata","無形文化遺產資料庫","巴基斯坦"
"伊克巴網路圖書館","伊克巴學會巴基斯坦","20世紀","人物傳記與家族史料","伊克巴學會巴基斯坦","PK-ST-15","http://iqbalcyberlibrary.net/","fa;ur;en","文字","數位收錄巴基斯坦精神之父伊克巴（Allama Iqbal）波斯語・烏爾都語詩集全集與研究文獻，其私人藏書另有掃描版開放，為伊克巴思想與巴基斯坦民族主義之人物文獻主庫","伊克巴;巴基斯坦民族主義;詩集;人物檔案;伊斯蘭思想","巴基斯坦國（20世紀）","巴基斯坦（拉合爾）","–","穆哈塔宮博物館（近現代史）","–","伊克巴學會（數位圖書館）","2026-08-01","ARR","學術機構典藏，免費開放","已收錄 metadata","伊克巴全集數位庫","巴基斯坦"
"Harappa.com 印度河流域研究入口","哈拉帕研究計畫","約前3300–前1300","考古與物質文化","Harappa.com（哈拉帕研究計畫）","PK-ST-16","https://www.harappa.com/","en","圖檔;文字","印度河流域文明全球最大線上研究入口，收錄發掘報告・文物影像・學者專文與哈拉帕・摩亨佐達羅考古資料，為印度河谷史前研究之必查學術資料庫","哈拉帕;印度河流域文明;考古;研究入口;史前","印度河流域文明（前3300–前1300）","巴基斯坦（印度河谷）／印度","–","摩亨佐達羅考古遺址","–","Harappa.com（研究入口）","2026-08-01","ARR","學術資料庫，免費開放","已收錄 metadata","印度河谷研究總入口","巴基斯坦"
