"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"臺灣省行政長官公署檔案","臺灣省行政長官公署","1945-1947","官方檔案文書","國史館臺灣文獻館","TW-POSTWAR-001","https://onlinearchives.th.gov.tw/","zh","文字","臺灣省行政長官公署時期之公文檔案，為戰後接收初期最重要的官方文書，涵蓋接收、重建、行政組織調整、二二八事件前後之政府運作","臺灣省行政長官公署;戰後接收;官方檔案;二二八","戰後初期（1945–1947）","全臺灣","–","–","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","戰後初期臺灣最高行政機關之完整檔案"
"二二八事件檔案彙編","行政院研究二二八事件小組","1992","官方檔案文書","國史館","TW-POSTWAR-002","https://www.drnh.gov.tw/","zh","文字","行政院二二八事件研究小組編纂之檔案彙編，收錄事件前後之官方公文、電報、報告書、軍事命令等第一手史料","二二八事件;官方檔案;史料彙編;歷史研究","戰後初期（1945–1947）","全臺灣","–","臺灣省行政長官公署檔案","國史館","–","2026-07-30","UNCLEAR","公開出版物","已收錄 metadata","二二八事件最完整的官方檔案彙編"
"二二八事件口述史料（中研院近史所）","中央研究院近代史研究所","1990-2000","口述歷史","中研院近史所","TW-POSTWAR-003","https://www.mh.sinica.edu.tw/","zh","文字","中研院近史所執行之二二八事件口述訪談計畫，收錄事件倖存者、家屬、見證者之親身經歷訪談錄音與文字稿","二二八事件;口述歷史;受難者;見證者","戰後初期（1945–1947）","全臺灣","–","二二八事件檔案彙編","中研院近史所","–","2026-07-30","UNCLEAR","學術使用須授權","已收錄 metadata","二二八事件最重要的口述史料"
"臺灣光復初期史料集成","國史館臺灣文獻館","1945-1949","官方檔案文書","國史館臺灣文獻館","TW-POSTWAR-004","https://onlinearchives.th.gov.tw/","zh","文字","國史館臺灣文獻館典藏之光復初期史料彙編，含接收計畫、物資接收、日產處理、日人遣返、行政承接等檔案","光復;接收;日產處理;遣返;行政承接","戰後初期（1945–1949）","全臺灣","–","臺灣省行政長官公署檔案","國史館臺灣文獻館","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","戰後初期行政承接之完整記錄"
"二二八事件紀念基金會檔案","二二八事件紀念基金會","1995-2025","官方檔案文書","二二八事件紀念基金會","TW-POSTWAR-005","https://www.228.org.tw/","zh","文字;圖檔","二二八事件紀念基金會成立以來蒐集之事件相關文件、陳情書、補償申請資料、調查報告及紀念活動紀錄","二二八;紀念基金會;補償;平反","戰後初期（1945–1947）","全臺灣","–","二二八事件檔案彙編","二二八事件紀念基金會","–","2026-07-30","UNCLEAR","部分資料限內部使用","已收錄 metadata","二二八平反運動之重要檔案"
"美麗島事件軍法審判檔案","國防部","1979-1980","官方檔案文書","國史館","TW-POSTWAR-006","https://www.drnh.gov.tw/","zh","文字","美麗島事件（高雄事件）之軍法審判相關檔案，含起訴書、答辯書、判決書及國際觀察報告","美麗島事件;軍法審判;黨外運動;民主化","戰後中期（1979）","高雄","–","警備總部檔案","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣民主化運動之關鍵審判檔案"
"警備總部檔案","臺灣警備總司令部","1949-1992","官方檔案文書","國史館","TW-POSTWAR-007","https://www.drnh.gov.tw/","zh","文字","臺灣警備總司令部之檔案，含偵查、監控、審判、保安、出入境管理等，為白色恐怖時期最重要之統治工具檔案","警備總部;白色恐怖;偵查;監控;保安","戰後中期（1949–1992）","全臺灣","–","美麗島事件軍法審判檔案","國史館","–","2026-07-30","UNCLEAR","部分檔案有限制","已收錄 metadata","威權統治時期核心檔案"
"國民黨黨史檔案","中國國民黨黨史會","1949-2000","官方檔案文書","國史館","TW-POSTWAR-008","https://www.drnh.gov.tw/","zh","文字","中國國民黨黨史委員會典藏之黨務檔案，含中常會記錄、組織工作、黨政運作、黨營事業等文件","中國國民黨;黨史;黨政運作;黨營事業","戰後時期（1949–2000）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","部分檔案有限制","已收錄 metadata","執政黨之核心檔案"
"行政院會議議事錄","行政院","1949-2025","官方檔案文書","國史館","TW-POSTWAR-009","https://www.drnh.gov.tw/","zh","文字","行政院院會之會議記錄與議事錄，為中央政府最高行政決策之完整記錄，涵蓋各部會政策討論與決議","行政院;院會;決策;中央政府","戰後時期（1949–2025）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","中央政府最高行政決策記錄"
"總統府檔案（蔣中正時期）","總統府","1949-1975","官方檔案文書","國史館","TW-POSTWAR-010","https://www.drnh.gov.tw/","zh","文字","總統府典藏之蔣中正總統時期檔案，含總統令、軍事指令、外交文件、經濟決策、人事任命等","蔣中正;總統府;軍事;外交;決策","戰後中期（1949–1975）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","部分檔案有限制","已收錄 metadata","強人統治時期之最高決策檔案"
