"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"還我土地運動檔案","原住民族運動團體","1988-1995","官方檔案文書","原住民族委員會","TW-POSTWAR-056","https://www.cip.gov.tw/","zh","文字","1988年「還我土地運動」至1990年代原住民族正名運動之相關檔案，含遊行申請、陳情書、政府回應、條約與國際原住民族權利文件","還我土地;原住民族運動;正名運動;土地權;原住民","戰後現代（1988–1995）","全臺灣","–","臺灣原住民口述歷史","–","原住民族委員會","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","原住民族權利運動之關鍵檔案"
"原住民族委員會檔案","原住民族委員會","1996-2025","官方檔案文書","原住民族委員會","TW-POSTWAR-057","https://www.cip.gov.tw/","zh","文字","原住民族委員會1996年成立（前身為行政院原住民委員會）以來之政策檔案，含原住民族自治、部落建設、文化保存、教育發展等","原住民族委員會;原民會;原住民族政策;自治;文化保存","戰後現代（1996–2025）","全臺灣","–","還我土地運動檔案","–","–","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","原住民族中央主管機關之完整檔案"
"原住民族語言發展檔案","原住民族委員會","2000-2025","教育與醫療史","原住民族委員會","TW-POSTWAR-058","https://www.cip.gov.tw/","zh","文字","原住民族語言發展法（2017年制定）前後之族語復振政策文件，含族語認證、沉浸式教學、族語教材編纂、語言保存記錄","族語;原住民族語言;語言復振;族語認證;語言保存","戰後現代（2000–2025）","全臺灣","–","原住民族委員會檔案","–","–","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","原住民族語言保存運動之政策記錄"
"臺灣原住民族部落歷史調查報告","中央研究院臺灣史研究所","2000-2025","考古與物質文化","中研院臺史所","TW-POSTWAR-059","https://www.ith.sinica.edu.tw/","zh","文字;圖檔","中研院臺史所執行之各原住民族部落歷史調查研究計畫報告，含部落遷徙、傳統領域、祭儀文化、社會組織等田野調查記錄","部落歷史;原住民;田野調查;傳統領域;祭儀","戰後現代（2000–2025）","全臺灣","–","臺灣原住民口述歷史","中研院臺史所","–","2026-07-30","UNCLEAR","學術公開","已收錄 metadata","原住民族部落之系統性田野調查記錄"
"反杜邦運動檔案","反杜邦運動組織","1986-1987","官方檔案文書","國史館","TW-POSTWAR-060","https://www.drnh.gov.tw/","zh","文字","1986年彰化民眾反對美國杜邦公司設廠之環保運動檔案，為戰後臺灣首次大規模環境保護運動，含抗爭記錄、政府決策、設廠評估等","反杜邦;環保運動;環境保護;公害;草根運動","戰後現代（1986–1987）","彰化","–","戰後臺灣環境變遷記錄","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣環保運動之里程碑事件"
"反核運動史料","臺灣環保聯盟與反核團體","1980-2025","產業與經濟實錄","國立臺灣圖書館","TW-POSTWAR-061","https://www.ntl.edu.tw/","zh","文字;圖檔","臺灣反核運動自1980年代迄今之史料，含核電廠設立爭議、歷次反核大遊行、非核家園政策、核四公投等相關文件與報導","反核;核電;非核家園;核四;環境運動","戰後現代（1980–2025）","全臺灣","–","反杜邦運動檔案","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","臺灣能源政策爭議之完整記錄"
"莫拉克風災災後重建檔案","行政院莫拉克颱風災後重建推動委員會","2009-2025","官方檔案文書","國史館","TW-POSTWAR-062","https://www.drnh.gov.tw/","zh","文字;圖檔","2009年莫拉克颱風（八八風災）之救災、安置、重建、國土保育等相關檔案，為戰後最嚴重水災之官方完整記錄","莫拉克;八八風災;災害;重建;國土保育","戰後現代（2009–2015）","南臺灣（高雄;屏東;臺東;嘉義）","–","九二一大地震檔案","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","戰後最嚴重水災之官方災害管理檔案"
"臺灣婦女運動史料","婦女新知基金會等團體","1970-2025","官方檔案文書","國立臺灣圖書館","TW-POSTWAR-063","https://www.ntl.edu.tw/","zh","文字","戰後臺灣婦女運動之史料，含婦女新知基金會（1982年成立）推動之民法親屬編修法、性別工作平等法、性騷擾防治法等立法歷程及相關活動記錄","婦女運動;性別平等;婦女新知;民法親屬編;性別工作平等","戰後現代（1970–2025）","全臺灣","–","–","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","臺灣性別平權運動之重要記錄"
"性別平等教育檔案","教育部","2000-2025","教育與醫療史","教育部","TW-POSTWAR-064","https://www.edu.tw/","zh","文字","性別平等教育法（2004年制定）推動以來之政策文件，含課綱修訂、校園性別事件處理、性別平等教育實施、同志教育爭議等","性別平等教育;性平法;校園性別;同志教育;課綱","戰後現代（2000–2025）","全臺灣","–","臺灣婦女運動史料","教育部","–","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","臺灣性別平等教育制度之政策記錄"
"臺灣同志運動史料","臺灣同志諮詢熱線協會等","1990-2025","官方檔案文書","國立臺灣圖書館","TW-POSTWAR-065","https://www.ntl.edu.tw/","zh","文字;影音","臺灣同志運動（LGBTQ+權利運動）史料，含1990年代同志諮詢熱線成立、歷屆臺灣同志遊行、婚姻平權運動、同婚合法化（2019年）等","同志運動;LGBTQ;婚姻平權;同婚;性別多元","戰後現代（1990–2025）","全臺灣","–","性別平等教育檔案","–","國立臺灣圖書館","2026-07-30","UNCLEAR","部分公開資料","已收錄 metadata","亞洲首個同婚合法化國家之運動記錄"
"臺灣工運史料","臺灣勞工運動團體","1980-2000","官方檔案文書","國史館","TW-POSTWAR-066","https://www.drnh.gov.tw/","zh","文字","1980年代至1990年代臺灣勞工運動相關檔案，含勞動黨成立、勞工陣線運動、關廠工人抗爭、勞基法修法、工會組織等事件文件","工運;勞工運動;勞動黨;勞工陣線;關廠抗爭;工會","戰後現代（1980–2000）","全臺灣","–","–","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","戰後臺灣勞工運動之系統性記錄"
"野百合學運檔案","國史館","1990","官方檔案文書","國史館","TW-POSTWAR-067","https://www.drnh.gov.tw/","zh","文字;圖檔","1990年3月野百合學運（三月學運）之完整檔案，含中正紀念堂廣場靜坐、學生訴求、政府回應、國是會議召開等重大事件文件","野百合學運;三月學運;學生運動;民主化;國是會議","戰後現代（1990）","臺北","–","臺灣民主化運動檔案（1986-2000）","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","戰後最大規模學生運動之完整記錄"
"太陽花學運史料","太陽花學運參與團體","2014","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-068","https://www.ntl.edu.tw/","zh","文字;圖檔;影音","2014年3月18日太陽花學運（318運動）之相關史料，含佔領立法院、行政院事件、媒體報導、社會討論、公民團體文件等","太陽花學運;318運動;兩岸服貿;學生運動;公民運動","戰後現代（2014）","臺北","–","野百合學運檔案;兩岸關係檔案（1991-2025）","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開媒體資料","已收錄 metadata","21世紀臺灣最大規模公民運動記錄"
"雲門舞集史料","雲門舞集","1973-2025","人物傳記與家族史料","國立臺灣圖書館","TW-POSTWAR-069","https://www.ntl.edu.tw/","zh","文字;圖檔;影音","林懷民創辦之雲門舞集（1973年創團）相關史料，含經典舞作記錄、國內外巡演、八里排練場火災、淡水雲門劇場等文件與影像","雲門舞集;林懷民;現代舞;表演藝術;文化外交","戰後現代（1973–2025）","全臺灣;國際","–","–","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","華人世界最具代表性之現代舞團史料"
"國立故宮博物院遷臺與發展史料","國立故宮博物院","1948-2025","人物傳記與家族史料","國立故宮博物院","TW-POSTWAR-070","https://www.npm.gov.tw/","zh","文字;圖檔","國立故宮博物院文物遷臺（1948-1965）、外雙溪陳列館興建、歷年展覽、國際文化交流等相關史料，為中華文物典藏之核心機構","故宮;文物遷臺;中華文化;博物館;文化資產","戰後時期（1948–2025）","臺北;臺中","–","國家文化資產保存檔案","國立故宮博物院","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","世界級博物館之戰後發展史"
"國立臺灣文學館檔案","國立臺灣文學館","2003-2025","官方檔案文書","國立臺灣文學館","TW-POSTWAR-071","https://www.nmtl.gov.tw/","zh","文字","國立臺灣文學館2003年開館以來之史料，含臺灣文學典藏、展覽、研究推廣、作家文物徵集、臺文館建築（原臺南州廳）歷史等","臺灣文學;文學館;作家;文學典藏;文化機構","戰後現代（2003–2025）","臺南","–","臺灣文藝雜誌","國立臺灣文學館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣文學國家級典藏機構之史料"
"鄉土文學論戰史料","臺灣文學界","1977-1984","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-072","https://www.ntl.edu.tw/","zh","文字","1977年至1984年臺灣鄉土文學論戰之相關報刊文章與文件，為戰後臺灣文學主體性之關鍵論戰，含《臺灣文藝》、《聯合報》、《中國時報》等媒體參與","鄉土文學;臺灣文學;文學論戰;本土化;文化主體性","戰後中期（1977–1984）","全臺灣","–","臺灣文藝雜誌","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","臺灣文學自主性論戰之完整記錄"
"臺灣美術發展史料","國立臺灣美術館","1950-2025","官方檔案文書","國立臺灣美術館","TW-POSTWAR-073","https://www.ntmofa.gov.tw/","zh","文字;圖檔","國立臺灣美術館（1988年開館，前身為臺灣省立美術館）典藏之臺灣美術發展史料，含歷屆展覽、美術運動、藝術家作品、臺灣美術史研究","臺灣美術;美術館;藝術;美術運動;展覽","戰後時期（1950–2025）","全臺灣","–","–","國立臺灣美術館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","臺灣美術發展之國家級典藏記錄"
"客家運動史料","客家運動團體","1988-2001","報刊與雜誌","國立臺灣圖書館","TW-POSTWAR-074","https://www.ntl.edu.tw/","zh","文字","1988年「還我母語運動」以來之客家運動史料，含客家運動遊行、客家電台爭取、客家文化傳承、語言保存等相關文件與報導","客家運動;還我母語;客家文化;客語;族群運動","戰後現代（1988–2001）","全臺灣","–","原住民族語言發展檔案","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","臺灣客家文化復振運動之記錄"
"客家委員會檔案","客家委員會","2001-2025","官方檔案文書","客家委員會","TW-POSTWAR-075","https://www.hakka.gov.tw/","zh","文字","客家委員會2001年成立以來之政策檔案，含客家文化園區、客語認證、客語教學、客家電視台、客家文化重點發展區等","客家委員會;客家政策;客語;客家文化;族群事務","戰後現代（2001–2025）","全臺灣","–","客家運動史料","客家委員會","–","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","客家事務中央主管機關之政策檔案"
"SARS防疫檔案","衛生福利部","2003","官方檔案文書","衛生福利部","TW-POSTWAR-076","https://www.mohw.gov.tw/","zh","文字;圖檔","2003年SARS（嚴重急性呼吸道症候群）疫情之臺灣防疫檔案，含和平醫院封院、疫情監控、邊境管制、防疫體系改革等關鍵決策文件","SARS;防疫;和平醫院;封院;公共衛生","戰後現代（2003）","全臺灣","–","全民健康保險檔案","衛生福利部","–","2026-07-30","UNCLEAR","政府公開資料","已收錄 metadata","21世紀初臺灣重大防疫事件檔案"
"COVID-19防疫檔案","衛生福利部疾病管制署","2020-2023","官方檔案文書","衛生福利部疾病管制署","TW-POSTWAR-077","https://www.cdc.gov.tw/","zh","文字;圖檔;影音","COVID-19疫情（2020-2023）之臺灣防疫檔案，含邊境管制、口罩政策、疫苗接種、三級警戒、防疫經濟紓困等完整記錄","COVID-19;防疫;口罩;疫苗;三級警戒","戰後現代（2020–2023）","全臺灣","–","SARS防疫檔案","衛生福利部疾病管制署","–","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","近年最大規模防疫之完整官方記錄"
"臺灣公共衛生發展史料","國立臺灣大學醫學院","1945-2025","教育與醫療史","國立臺灣大學醫學院","TW-POSTWAR-078","https://www.mc.ntu.edu.tw/","zh","文字;圖檔","戰後臺灣公共衛生體系發展史料，含瘧疾根除計畫、B型肝炎防治、家庭計畫、全民健保前身之醫療體系建構、公衛教育等","公共衛生;瘧疾根除;B肝防治;家庭計畫;醫療體系","戰後時期（1945–2025）","全臺灣","–","全民健康保險檔案;COVID-19防疫檔案","國立臺灣大學醫學院","–","2026-07-30","UNCLEAR","公開學術資料","已收錄 metadata","戰後臺灣公共衛生奇蹟之歷史記錄"
"慈濟基金會史料","佛教慈濟慈善事業基金會","1966-2025","人物傳記與家族史料","慈濟基金會","TW-POSTWAR-079","https://www.tzuchi.org.tw/","zh","文字;圖檔;影音","證嚴法師創辦之慈濟基金會（1966年成立）相關史料，含慈善、醫療、教育、人文四大志業發展歷程、國際賑災、骨髓捐贈等記錄","慈濟;證嚴法師;佛教;慈善;醫療;國際賑災","戰後時期（1966–2025）","全臺灣;國際","–","–","慈濟基金會","–","2026-07-30","UNCLEAR","公開機構資料","已收錄 metadata","臺灣最大民間慈善組織之發展記錄"
"公共電視台史料","公共電視文化事業基金會","1998-2025","報刊與雜誌","公共電視","TW-POSTWAR-080","https://www.pts.org.tw/","zh","文字;影音","公共電視台1998年開播以來之史料，含公視法制化歷程、經典節目記錄、新聞報導檔案、國際合製、臺灣公共廣播電視制度發展等","公共電視;公視;公共媒體;新聞;節目","戰後現代（1998–2025）","全臺灣","–","–","公共電視","–","2026-07-30","UNCLEAR","部分公開查詢","已收錄 metadata","臺灣公共廣播媒體制度之發展記錄"
"臺灣金融發展史料","中央銀行","1949-2025","產業與經濟實錄","國史館","TW-POSTWAR-081","https://www.drnh.gov.tw/","zh","文字","戰後臺灣金融體系發展檔案，含中央銀行在臺復業、新臺幣發行、金融自由化、銀行民營化、金融控股公司、亞洲金融危機因應等","金融;中央銀行;新臺幣;銀行;金融改革","戰後時期（1949–2025）","全臺灣","–","加工出口區檔案;十大建設檔案","國史館","–","2026-07-30","UNCLEAR","公開查詢","已收錄 metadata","戰後臺灣金融體系發展之完整檔案"
"臺灣都市計畫檔案","內政部營建署","1950-2025","官方檔案文書","內政部營建署","TW-POSTWAR-082","https://www.cpami.gov.tw/","zh","文字;圖檔","戰後臺灣都市計畫與國土規劃相關檔案，含都市計畫法、區域計畫、新市鎮開發、都市更新、國土計畫法（2016年）等政策文件","都市計畫;國土規劃;區域計畫;新市鎮;都市更新","戰後時期（1950–2025）","全臺灣","–","十大建設檔案;臺灣國家公園設置史料","內政部營建署","–","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","戰後臺灣國土規劃之制度檔案"
"臺灣環境影響評估檔案","行政院環境保護署","1994-2025","官方檔案文書","行政院環境保護署","TW-POSTWAR-083","https://www.epa.gov.tw/","zh","文字","環境影響評估法（1994年制定）實施以來之重大開發案環評文件，含六輕、蘇花改、中科、核四、深澳電廠等爭議性環評案","環評;環境影響評估;環保;開發爭議;永續","戰後現代（1994–2025）","全臺灣","–","反杜邦運動檔案;反核運動史料","行政院環境保護署","–","2026-07-30","PUBLIC_DOMAIN","政府公開資料","已收錄 metadata","臺灣環境管理制度之核心檔案"
"臺灣棒球運動史料","教育部體育署","1945-2025","人物傳記與家族史料","國立臺灣圖書館","TW-POSTWAR-084","https://www.ntl.edu.tw/","zh","文字;圖檔;影音","戰後臺灣棒球運動發展史料，含少棒、青棒、成棒、職棒各階段發展、紅葉少棒、世界冠軍、職棒簽賭事件等相關記錄","棒球;體育;少棒;職棒;運動文化","戰後時期（1945–2025）","全臺灣","–","–","–","國立臺灣圖書館","2026-07-30","UNCLEAR","公開閱覽","已收錄 metadata","臺灣國球運動之完整歷史記錄"
