"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","南亞"
"《大史》（Mahavamsa）佩拉德尼亞大學藏本","歷代僧伽羅編年史家","西元前6世紀–1815","傳世文獻","佩拉德尼亞大學圖書館","LK-ST-01","https://www.unesco.org/en/memory-world/mahavamsa-great-chronicle-sri-lanka-covering-period-6th-century-bce-1815-ce","pi;si","圖檔;文字","南亞最早且最完整之編年史書，記王統世系與佛教弘傳，巴利文以僧伽羅字書於棕櫚葉；登錄藏本為佩拉德尼亞大學圖書館貝葉特藏最古抄本（登錄號277587），2023年登錄UNESCO世界記憶國際名錄","大史;編年史;佛教;世界記憶;貝葉抄本","古斯里蘭卡（西元前6世紀–1815）","斯里蘭卡（佩拉德尼亞）","–","斯里蘭卡國家檔案館","–","佩拉德尼亞大學圖書館（貝葉特藏）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","UNESCO世界記憶2023","斯里蘭卡"
"斯里蘭卡國家檔案館","斯里蘭卡國家檔案館","1640–迄今","官方檔案文書","斯里蘭卡國家檔案館","LK-ST-02","https://archives.gov.lk/English/our_catalogues","si;ta;en","文字;圖檔","國家法定檔案典藏中心，保存荷蘭統治（1640–1796）、英屬殖民與獨立後政府檔案、thombu土地冊・頭銜文書・選舉名冊與公報，設檢索室並提供線上目錄與數位化申請","斯里蘭卡;國家檔案館;荷蘭殖民;英屬錫蘭;thombu","荷蘭殖民～英屬錫蘭～斯里蘭卡共和","斯里蘭卡（可倫坡）","–","《大史》（Mahavamsa）佩拉德尼亞大學藏本","–","斯里蘭卡國家檔案館（目錄）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","含荷蘭殖民檔案原件","斯里蘭卡"
"荷蘭VOC錫蘭統治檔案（1640–1796）","荷蘭東印度公司（VOC）錫蘭總督暨評議會","1640–1796","官方檔案文書","荷蘭國家檔案館","LK-ST-03","https://www.nationaalarchief.nl/onderzoeken/zoekhulpen/sri-lanka","nl;si;ta","文字;圖檔;地圖","VOC錫蘭總督暨評議會檔案原藏哥倫坡約三百公尺，含決議錄・公私函件・thombu土地登記・人口名簿與司法案卷，荷蘭國家檔案館藏微縮影本並設Sri Lanka研究指引，為南亞最完整荷蘭殖民地檔案體系","VOC;荷蘭東印度公司;殖民檔案;thombu;斯里蘭卡","荷蘭殖民（1640–1796）","斯里蘭卡（哥倫坡・加勒・賈夫納）","–","荷蘭歸正教會Wolvendaal教會檔案","–","荷蘭國家檔案館（數位典藏）","2026-08-01","ARR","世界記憶（VOC總檔）微縮典藏","已收錄 metadata","荷蘭殖民檔案體系完整","斯里蘭卡"
"荷蘭歸正教會Wolvendaal教會檔案（1620–1936）","哥倫坡荷蘭歸正教會","1620–1936","人物傳記與家族史料","斯里蘭卡國家檔案館","LK-ST-04","https://www.nationaalarchief.nl/onderzoeken/archief/1.11.06.02","nl;si;ta","文字","哥倫坡荷蘭歸正教會Wolvendaal教堂檔案（48目錄號），含洗禮・結婚與喪葬登記簿及教務會議紀錄，為研究荷蘭殖民時期歐亞裔（Burgher）家族系譜與社會史之珍貴家族史料","Wolvendaal;教會檔案;家族系譜;Burgher;荷蘭殖民","荷蘭殖民（1620–1936）","斯里蘭卡（哥倫坡）","–","荷蘭VOC錫蘭統治檔案","–","荷蘭國家檔案館（微縮影本）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","荷蘭時期家族史料","斯里蘭卡"
"可倫坡國家博物館","斯里蘭卡國家博物館部","史前～英屬錫蘭","考古與物質文化","斯里蘭卡國家博物館部","LK-ST-05","https://www.museum.gov.lk/v1/museums","si;ta;en","圖檔;影音","1877年英總督Gregory創立之首座國家博物館，藏史前至康提時期石雕・錢幣・銘文拓片・貝葉經卷與殖民時期照片，並附各地分館，為斯里蘭卡考古與物質文化總匯","國家博物館;考古;貝葉經卷;錢幣;銘文","古斯里蘭卡（史前～英屬錫蘭）","斯里蘭卡（可倫坡）","–","斯里蘭卡考古部銘文與錢幣","–","斯里蘭卡國家博物館部（藏品資料）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","國家考古總匯","斯里蘭卡"
"國家圖書館暨文獻服務委員會","國家圖書館暨文獻服務委員會（NLDSB）","1948–迄今","傳世文獻","國家圖書館暨文獻服務委員會","LK-ST-06","https://www.natlib.lk/NLSL/","si;ta;en","文字;圖檔;影音","依1998年法案成立之國家文獻典藏機關，具法定送存地位，藏逾百萬冊圖書・期刊・報紙・地圖・貝葉與非物質文化遺產檔案，建國家書目・聯合目錄及國家數位圖書館入口","國家圖書館;送存;書目;貝葉;非物質文化遺產","斯里蘭卡共和（1948–迄今）","斯里蘭卡（可倫坡）","–","斯里蘭卡國家檔案館","–","國家圖書館暨文獻服務委員會（數位入口）","2026-08-01","ARR","官方圖書館典藏，線上檢索","已收錄 metadata","國家文獻典藏中心","斯里蘭卡"
"國家數位圖書館（含政府公報）","國家圖書館暨文獻服務委員會（NLDSB）","1889–迄今","官方檔案文書","國家圖書館暨文獻服務委員會","LK-ST-07","https://diglib.natlib.lk/handle/123456789/241","si;ta;en","圖檔;文字","2016年啟用之國家數位典藏庫，收錄1889年以來《Ceylon Government Gazette》分卷・報紙・政府出版物・善本與行政年報數十萬筆數位影像，提供全文檢索與開放下載，為殖民文書數位查證主力","Ceylon Government Gazette;政府公報;報紙;數位典藏;殖民文書","英屬錫蘭（1889–迄今）","斯里蘭卡全國","–","錫蘭人口普查史料","–","國家圖書館暨文獻服務委員會（數位庫）","2026-08-01","ARR","官方數位典藏庫，免費開放","已收錄 metadata","殖民公報數位主庫","斯里蘭卡"
"錫蘭人口普查史料（1816–1946）","斯里蘭卡人口普查暨統計部","1816–1946","統計與調查資料","斯里蘭卡人口普查暨統計部","LK-ST-08","http://repo.statistics.gov.lk/handle/1/299","en;si;ta","文字;圖檔","官方數位庫完整收錄1816年沿海人口調查及1871・1891・1901・1911・1921・1931・1946年歷次普查報告，含人種・宗教・職業與鄉鎮統計，為英屬錫蘭社會結構研究之核心統計史料","人口普查;統計;人種;宗教;量化史料","英屬錫蘭（1816–1946）","斯里蘭卡全國","–","錫蘭藍皮書","–","斯里蘭卡人口普查暨統計部（數位庫）","2026-08-01","ARR","官方統計數位庫，免費開放","已收錄 metadata","錫蘭社會結構統計主庫","斯里蘭卡"
"錫蘭藍皮書與殖民統計年報（Ceylon Blue Book）","英屬錫蘭政府","1866–1938","統計與調查資料","英屬錫蘭政府","LK-ST-09","https://archive.org/details/ceylon-blue-book-1871","en","圖檔;文字","英屬錫蘭年度官方統計彙編，載財政・人口・貿易・教育・司法等行政數據（約1866–1938年間各年），Internet Archive已開放數位掃描本，為殖民治理統計與產業經濟實錄","藍皮書;殖民統計;財政;貿易;英屬錫蘭","英屬錫蘭（1866–1938）","斯里蘭卡全國","–","錫蘭人口普查史料","–","英屬錫蘭政府（Internet Archive掃描）","2026-08-01","ARR","開放數位典藏，免費下載","已收錄 metadata","殖民統計年報","斯里蘭卡"
"英國國家檔案館：殖民部錫蘭檔案（CO 54）","英國殖民部","1798–1949","官方檔案文書","英國國家檔案館","LK-ST-10","https://discovery.nationalarchives.gov.uk/details/r/C4245","en","文字;圖檔","殖民部錫蘭原始來往公文（CO 54，1798–1949，千餘卷），含總督公文・1830年代東方調查委員報告及行政經濟決策紀錄，另有CO 55等系列，為英屬錫蘭治理之第一手核心檔案","CO 54;殖民部;英屬錫蘭;總督公文;殖民檔案","英屬錫蘭（1798–1949）","斯里蘭卡・英國（Kew）","–","大英圖書館印度事務檔案錫蘭廠檔","–","英國國家檔案館（Discovery平台）","2026-08-01","ARR","官方檔案目錄，線上檢索","已收錄 metadata","英屬錫蘭治理總檔","斯里蘭卡"
