"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","日本"
"御署名原本・日清両国媾和条約及別約（馬關條約）","大日本帝国（明治天皇・伊藤博文・陸奥宗光）","1895-05-10","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-01","https://www.jacar.archives.go.jp/das/meta/A03020213100","ja","文字","明治28年（1895）4月17日清國李鴻章與日本伊藤博文・陸奥宗光於下關簽訂之媾和條約及別約御署名原本，依此條約清國將臺灣・澎湖割讓日本，為臺灣日治時期之起點，亦為臺灣史與東亞近代史分水嶺之第一級官方檔案","馬關條約;日清戰爭;臺灣割讓;御署名原本;下關","明治（1895）","臺灣・澎湖・遼東半島・下關","–","臺灣總督府關係公文;台灣霧社事件關係史料","大日本帝国","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","臺灣割讓之關鍵御署名原本","日本"
"御署名原本・大日本帝国憲法","大日本帝国（明治天皇・伊藤博文）","1889-02-11","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-02","https://www.jacar.archives.go.jp/das/meta/A03020029600","ja","文字","明治22年（1889）2月11日發布之大日本帝國憲法御署名原本，確立天皇主權與帝國議會制度，為日本近代國家體制之根本法，日治臺灣之統治亦以此憲法為法源基礎","大日本帝国憲法;御署名原本;明治憲法;君主立憲","明治（1889）","日本全國","–","帝国議会会議録;御署名原本・日本国憲法","大日本帝国","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","日本近代根本法","日本"
"太政類典","太政官","1867–1881","官方檔案文書","國立公文書館;亞洲歷史資料中心（JACAR）","JP-ST-03","https://www.digital.archives.go.jp/","ja","文字","明治維新期（慶應3年～明治14年）太政官日記・公文録等採錄編纂之典例條規集，分制度・官制・外交・財政等19部門，為維新政府制度建設與早期對外關係（含臺灣・琉球交涉）之核心官方史料","太政類典;明治維新;太政官;制度史料","明治（1867–1881）","日本全國","–","公文類聚;御署名原本","太政官","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","維新制度史料總匯","日本"
"公文類聚","日本政府（內閣・各省）","1886–1952","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-04","https://www.digital.archives.go.jp/","ja","文字","明治19年以後內閣・各省編纂之政務公文總集，凡70餘編，收錄法律・命令・報告等正式公文，涵蓋日本近代對外擴張與殖民地統治（含臺灣總督府相關行政），為近代日本政治史與殖民史之系統性官方檔案","公文類聚;內閣;行政檔案;殖民統治","明治–昭和前期（1886–1952）","日本全國・殖民地","–","太政類典;御署名原本;台湾総督府関係公文","日本政府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","內閣政務公文總集","日本"
"日清講和条約締結一件","外務省（陸奥宗光等）","1895","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-05","https://www.jacar.archives.go.jp/das/meta/B06150069000","ja","文字","外務省外交史料館所藏日清講和條約締結之往復文書，含李鴻章來朝・遭難、談判拒絶、休戰定約、講和條約及批准書交換等全程記錄，為馬關條約談判之最詳盡外交原始檔案","日清講和;李鴻章;陸奥宗光;外交談判;馬關條約","明治（1895）","下關・北京・芝罘","–","御署名原本・日清両国媾和条約及別約;通信全覧","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","馬關條約談判全程檔案","日本"
"通信全覧・続通信全覧","外務省（幕末外交史料）","1854–1886","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-06","https://www.jacar.archives.go.jp/","ja","文字","外務省外交史料館所藏幕末以降與各國交涉之往復公文全集，含開國・條約締結・使節派遣等紀錄，為明治外交成立過程之基礎史料，其中亦收錄與清國・臺灣・琉球相關交涉文書","通信全覧;幕末外交;條約改正;使節","明治（1854–1886）","日本全國・東亞","–","日清講和条約締結一件;戦前期外務省記録","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","幕末外交文書總集","日本"
"戦前期外務省記録","外務省","1868–1945","官方檔案文書","亞洲歷史資料中心（JACAR）;外務省外交史料館","JP-ST-07","https://www.jacar.archives.go.jp/","ja","文字","外務省外交史料館所藏明治期至二次大戰前之對外往復文書，分門類約3萬冊，含領事報告・條約・通商・移民等紀錄，為日本與亞洲各國（含中國・臺灣・朝鮮・東南亞）關係之最核心外交檔案","戦前期外務省記録;領事報告;條約;外交","明治–昭和前期（1868–1945）","東亞・東南亞・世界","–","通信全覧;戦後外交記録","外務省","外務省外交史料館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","近代日本外交檔案核心","日本"
"陸軍省大日記類","陸軍省","1868–1945","官方檔案文書","亞洲歷史資料中心（JACAR）;防衛省防衛研究所戰史研究中心","JP-ST-08","https://www.jacar.archives.go.jp/","ja","文字","防衛省防衛研究所戰史研究中心所藏陸軍省公文書，明治元年至昭和20年，約6萬冊，含西南戰爭・日清・日露・滿洲事變・大東亞戰爭之作戰與軍事行政紀錄，其中臺灣軍・霧社事件・南洋作戰等檔案對東亞戰爭史研究至關重要","陸軍省;大日記;軍事檔案;臺灣軍;大東亞戰爭","明治–昭和前期（1868–1945）","日本全國・東亞","–","海軍公文備考類;台湾霧社事件に関する件","陸軍省","防衛省防衛研究所戰史研究中心（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","陸軍公文書核心","日本"
"海軍公文備考類","海軍省","1868–1937","官方檔案文書","亞洲歷史資料中心（JACAR）;防衛省防衛研究所戰史研究中心","JP-ST-09","https://www.jacar.archives.go.jp/","ja","文字","防衛省防衛研究所戰史研究中心所藏海軍省公文書，明治元年至昭和12年，約4萬2千冊，含艦隊・作戰・軍備・演習紀錄，關東大震災時之海軍救護文書等亦收錄其中","海軍省;公文備考;軍事檔案;艦隊","明治–昭和前期（1868–1937）","日本全國・東亞","–","陸軍省大日記類;公文備考・関東大震災","海軍省","防衛省防衛研究所戰史研究中心（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","海軍公文書核心","日本"
"台湾総督府関係公文（JACAR收錄）","臺灣總督府;拓務省;日本政府","1895–1945","官方檔案文書","亞洲歷史資料中心（JACAR）;國立公文書館","JP-ST-10","https://www.jacar.archives.go.jp/","ja","文字","JACAR所收錄與臺灣總督府相關之日本中央政府公文，含總督府來文・拓務省往復・討蕃報告・行政措施等，與臺灣總督府檔案互補，為理解日本殖民臺灣之中央側官方視角","臺灣總督府;拓務省;殖民行政;討蕃","明治–昭和前期（1895–1945）","臺灣","–","臺灣總督府檔案;台湾討蕃状況ノ件;台湾霧社事件関係史料","臺灣總督府","國立公文書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","日本中央側之臺灣統治檔案","日本"
