"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"臺灣總督府公文類纂—總論","臺灣總督府","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-00","https://onlinearchives.th.gov.tw/","ja;zh","文字;圖檔","日治時期臺灣總督府之核心行政文書檔案，總件數逾百萬件，涵蓋內務、財務、殖產、法務、警務、教育、專賣等各部門公文，為日治時期最完整的官方檔案","臺灣總督府;公文類纂;日治;官方檔案","日治時期（1895–1945）","全臺灣","–","–","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上目錄與數位影像公開查詢","已收錄 metadata","日治時期最核心之官方檔案"
"臺灣總督府公文類纂—民政篇","臺灣總督府民政部","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-01","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中民政相關文書，含地方行政、戶口、社寺、社會事業、衛生等部門公文","民政;臺灣總督府;公文類纂;日治;地方行政","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","民政為總督府行政之核心"
"臺灣總督府公文類纂—財務篇","臺灣總督府財務局","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-02","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中財務相關文書，含預算決算、稅制、金融、國有財產等","財務;臺灣總督府;公文類纂;日治;稅制","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","日治財政制度之完整記錄"
"臺灣總督府公文類纂—殖產篇","臺灣總督府殖產局","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-03","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中殖產（產業）相關文書，含農業、林業、水產、礦業、工商業等","殖產;臺灣總督府;公文類纂;日治;產業","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","日治產業政策之第一手檔案"
"臺灣總督府公文類纂—內務篇","臺灣總督府內務局","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-04","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中內務相關文書，含土木、都市計畫、建築、河川、港灣等基礎建設公文","內務;臺灣總督府;公文類纂;日治;土木","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","日治基礎建設之官方記錄"
"臺灣總督府公文類纂—警務篇","臺灣總督府警務局","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-05","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中警務相關文書，含警察制度、保甲、思想取締、社會運動、霧社事件等","警務;臺灣總督府;公文類纂;日治;警察","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","警察為日治臺灣統治之最末端神經"
"臺灣總督府公文類纂—專賣篇","臺灣總督府專賣局","1900-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-06","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中專賣相關文書，含鴉片、樟腦、食鹽、菸草、酒類等專賣制度公文","專賣;臺灣總督府;公文類纂;日治;樟腦","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","專賣收入為總督府財政之大宗"
"臺灣總督府公文類纂—教育篇","臺灣總督府文教局","1895-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-SOUR-07","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府公文類纂中教育相關文書，含教育令、公學校、實業學校、師範教育、社會教育、教科書等","教育;臺灣總督府;公文類纂;日治;學校","日治時期（1895–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","日治臺灣教育制度沿革之官方記錄"
"臺灣總督府評議會文書","臺灣總督府評議會","1896-1945","官方檔案文書","國史館臺灣文獻館","TAIYU-HYOGIKAI","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府評議會（總督最高諮詢機關）之會議記錄與答詢文書，為日治政策形成過程之第一手決策紀錄","評議會;臺灣總督府;日治;政策;決策","日治時期（1896–1945）","全臺灣","–","臺灣總督府公文類纂—總論","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上查詢","僅收錄 metadata","總督府最高諮詢機關之會議錄"
"臺灣總督府官報","臺灣總督府","1896-1945","官方檔案文書","國史館臺灣文獻館／國立臺灣圖書館","TAIYU-KANPO","https://onlinearchives.th.gov.tw/","ja","文字","臺灣總督府發布之官方公報，含律令、府令、告示、訓令、辭令等，為日治時期法律的公布管道與行政命令的權威來源","官報;臺灣總督府;日治;法令;公告","日治時期（1896–1945）","全臺灣","–","–","–","國史館臺灣文獻館（數位典藏）","2026-07-30","UNCLEAR","線上公開查詢","已收錄 metadata","日治時期法律之唯一公告管道"
