"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"從征實錄","楊英（延平王戶官）","1664-1674","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","YANGYING-CONQ-01","–","zh","文字","延平王戶官楊英隨鄭成功征臺前後之逐日紀錄，詳載登陸、圍城、屯墾、撫番等軍政大事，為明鄭時期第一手官方史料","明鄭;鄭成功;征臺;從征實錄;戶官","明鄭時期（1661–1683）","大員（臺南安平）;全臺灣","–","–","臺灣銀行經濟研究室（臺灣文獻叢刊第32種）","–","2026-07-30","ARR","臺灣文獻叢刊已絕版，需圖書館查閱","已收錄 metadata","為明鄭時期最核心之原始官方紀錄"
"臺灣外記","江日昇","1704-1710","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","JIANGRS-TW-OUT-01","–","zh","文字","江日昇以章回體撰寫明鄭四代（鄭芝龍至鄭克塽）興亡編年史，凡10卷，取材自鄭氏故將口述與見聞","明鄭;鄭成功;鄭經;鄭克塽;臺灣","明鄭時期（1661–1683）","全臺灣;福建","–","–","臺灣銀行經濟研究室（臺灣文獻叢刊第60種）","–","2026-07-30","ARR","臺灣文獻叢刊已絕版","已收錄 metadata","體例最特殊之明鄭史書，含諸多他書未載細節"
"閩海紀要","夏琳","1670-1695","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本","XIALIN-MH-01","–","zh","文字","夏琳據親身見聞撰寫鄭成功至鄭克塽之鄭氏興亡史，二卷，為明鄭研究重要基本史料","明鄭;夏琳;閩海;鄭成功","明鄭時期（1661–1683）","全臺灣;福建","–","–","臺灣銀行經濟研究室（臺灣文獻叢刊第11種）","–","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","夏琳為鄭經朝臣，具當事人身分"
"海紀輯要","夏琳","1670-1695","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","XIALIN-HJJY-01","–","zh","文字","夏琳《閩海紀要》之簡編編年本，一卷，以年繫事記鄭氏三代史事","明鄭;夏琳;編年","明鄭時期（1661–1683）","全臺灣;福建","–","閩海紀要","臺灣銀行經濟研究室（臺灣文獻叢刊第11種附）","–","2026-07-30","ARR","同上","已收錄 metadata","為閩海紀要之簡編本"
"靖海紀事","施琅","1683-1696","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","SHILANG-JH-01","–","zh","文字","施琅平臺後奏疏文獻彙編，含澎湖大捷、臺灣棄留、善後撫番等關鍵奏疏，為1683年清廷攻取臺灣之第一手官方紀錄","施琅;平臺;奏疏;臺灣棄留","明鄭時期（1661–1683）","澎湖;臺灣;福建","–","–","臺灣銀行經濟研究室（臺灣文獻叢刊第13種）","–","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","恭陳臺灣棄留疏為臺灣歸屬清廷之關鍵文獻"
"THDL—施琅題報澎湖大捷疏","施琅","1683-08","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-MQ-1683001","http://thdl.ntu.edu.tw/","zh","文字","康熙22年閏6月施琅題報澎湖海戰大捷奏疏，詳述鄭軍與清軍交戰過程、俘斬人數、船隻損毀等","施琅;澎湖海戰;明鄭;清代奏疏","明鄭時期（1661–1683）","澎湖;福建","–","明清臺灣行政檔案（THDL 文獻集）","–","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 提供免登入全文檢索","已收錄 metadata","澎湖海戰決定明鄭存亡"
"THDL—施琅恭陳臺灣棄留疏","施琅","1684-04","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-MQ-1684001","http://thdl.ntu.edu.tw/","zh","文字","康熙23年施琅上疏力主臺灣不可棄，詳陳臺灣戰略價值、物產、民情，為臺灣納入清版圖之關鍵文獻","臺灣棄留;施琅;清代;戰略","明鄭時期（1661–1683）","全臺灣;福建","–","明清臺灣行政檔案（THDL 文獻集）","–","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL免登入全文檢索","已收錄 metadata","決定臺灣歸屬之關鍵奏疏"
"THDL—鄭克塽降清文書","鄭克塽（署）","1683-08","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-MQ-1683002","http://thdl.ntu.edu.tw/","zh","文字","鄭克塽降清之降表與來往文書，含鄭克塽、劉國軒、馮錫範等明鄭要員降清相關文獻","鄭克塽;降清;明鄭;清代","明鄭時期（1661–1683）","臺灣;福建","–","明清臺灣行政檔案（THDL 文獻集）","–","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL免登入全文檢索","已收錄 metadata","明鄭政權終結之官方記錄"
"THDL—清廷招撫鄭經往來文書","康熙朝政府","1663-1678","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-MQ-1663001-1678","http://thdl.ntu.edu.tw/","zh","文字","康熙朝多次招撫鄭經之往來文書，含明珠、李光地等官員招撫建議、鄭經回覆、談判條件等","招撫;鄭經;明鄭;和談","明鄭時期（1661–1683）","臺灣;福建;京師","–","明清臺灣行政檔案（THDL 文獻集）","–","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL免登入全文檢索","已收錄 metadata","清廷對鄭經之和平攻勢第一手史料"
"THDL—明末清初臺灣海事相關奏疏選","多件明朝／南明官員","1644-1661","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-MQ-1644-1661-ALL","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄明清臺灣行政檔案中與鄭芝龍、鄭成功相關之崇禎末年至永曆年間奏疏，構成鄭氏勢力崛起之官方文書脈絡","鄭芝龍;鄭成功;奏疏;海事;明清","明鄭時期（1661–1683）","福建;臺灣海峽","–","明清臺灣行政檔案（THDL 文獻集）","–","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL免登入全文檢索","已收錄 metadata","鄭氏由海商集團轉變為政權之歷史背景"
