"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","東南亞"
"東山文化銅鼓","東山文化（Đông Sơn）","約前1000–前100年","考古與物質文化","越南國家歷史博物館","VN-ST-01","https://baotanglichsu.vn/","vi","圖檔","紅河三角洲東山文化（約前1000–前100年）所遺之銅鼓，鼓面飾太陽紋・翔鷺・羽人・船紋，為東南亞青銅時代文明之代表器物，廣布越南・寮國・泰國・印尼等東南亞海域，反映古代南島語族海洋文化之共同根源，為越南與東南亞考古學之核心標本","東山文化;銅鼓;青銅時代;南島語族;考古","越南古代・北屬（～939）","紅河三角洲・東南亞","–","東南亞銅鼓;甌雒城遺址","–","越南國家歷史博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","東南亞青銅文明代表器物","越南"
"甌雒城（Cổ Loa）遺址","甌雒國（安陽王）","約前257","考古與物質文化","越南國家歷史博物館","VN-ST-02","https://baotanglichsu.vn/","vi","圖檔","河內北郊古螺（Cổ Loa）甌雒城遺址，相傳安陽王於前257年建都，以螺旋城牆與三層城郭著稱，出土大量青銅箭鏃・農具與城堡遺構，為越南傳說時代「文郎・甌雒」史觀之考古見證，亦為東南亞最早的城邦遺址之一","甌雒城;古螺;安陽王;城邦;青銅器","越南古代・北屬（～939）","紅河三角洲（河內）","–","東山文化銅鼓;越南神話","–","越南國家歷史博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","越南傳說時代城邦遺址","越南"
"交趾・九真漢墓文物","漢代郡縣（交趾・九真）","前111–3世紀","考古與物質文化","越南國家歷史博物館","VN-ST-03","https://baotanglichsu.vn/","vi;zh","圖檔","漢武帝平南越後於今越南北部設置交趾・九真・日南三郡，出土漢式磚室墓・銅鏡・五銖錢・陶明器，反映漢代郡縣制度與南越文化交流，為研究北屬時期（前111–939）越南社會之重要考古材料，與中國兩廣漢墓同屬嶺南漢文化圈","交趾;九真;漢墓;郡縣制度;漢化","越南古代・北屬（～939）","越南北部（紅河下游）","–","南越國;漢代郡縣","–","越南國家歷史博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","北屬時期漢文化考古材料","越南"
"大越史記全書","吳士連等（黎朝）","1479","傳世文獻","越南漢喃研究院","VN-ST-04","https://hannom.org.vn/","zh","文字","黎朝洪德10年（1479）吳士連奉敕刪定《大越史記》《大越史記續編》而成之越南第一部官修通史，記自鴻龐氏傳說至黎朝之事，凡15卷，用漢文編年體，為越南古代正史之總匯，與《二十四史》《大南實錄》並為東亞正史傳統之越南代表作","大越史記全書;吳士連;越南正史;編年體;漢文文獻","李陳黎朝（939–1527）","越南（昇龍・順化）","–","大南實錄;安南志略;越史略","黎朝","越南漢喃研究院（數位化）","2026-08-01","ARR","漢喃院藏本，數位公開","已收錄 metadata","越南官修通史","越南"
"文廟―國子監進士碑","黎朝（文廟立碑）","1442–1780","碑碣與實物刻文","越南漢喃研究院","VN-ST-05","https://hannom.org.vn/","vi;zh","圖檔","河內文廟―國子監所存82座進士題名碑（1442–1780），記錄黎朝歷科會試進士名錄與功業，為東亞最完整之科舉碑刻群之一，2010年登錄UNESCO世界記憶遺產，反映越南儒學教育與科舉制度之興盛，與中國進士題名碑・韓國科擧榜目並為東亞科舉史料","進士題名碑;文廟;國子監;科舉;UNESCO","李陳黎朝（939–1527）","河內文廟―國子監","–","進士題名碑;科舉制度","黎朝","越南漢喃研究院（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","越南科舉碑刻群","越南"
"永嚴寺佛經木版","永嚴寺（Vĩnh Nghiêm）","14世紀起","考古與物質文化","越南漢喃研究院","VN-ST-06","https://hannom.org.vn/","vi;zh","圖檔","北江省永嚴寺（Vĩnh Nghiêm）所藏佛教木版，自14世紀以降雕印《大藏經》等漢喃佛典數千版，為越南現存最大規模之佛教雕版系統，2012年登錄UNESCO世界記憶遺產，與韓國八萬大藏經・中國大藏經並為東亞佛教印刷文化之見證","永嚴寺;佛經木版;雕版印刷;佛教;UNESCO","李陳黎朝（939–1527）","北江省永嚴寺","–","八萬大藏經;雕版印刷","永嚴寺","越南漢喃研究院（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","越南佛教雕版","越南"
"洪德法典","黎聖宗（黎朝）","1483","官方檔案文書","越南漢喃研究院","VN-ST-07","https://hannom.org.vn/","zh","文字","黎朝洪德14年（1483）頒行之《洪德法典》，分六律規範田制・戶婚・刑律・訴訟等，為越南現存最古完備之成文法典，反映15世紀越南儒教國家制度，其中田產‧繼承‧婚姻諸條尤其詳密，與《大明律》並為東南亞漢字法系之代表法典","洪德法典;黎聖宗;法典;六律;法制史","李陳黎朝（939–1527）","昇龍（河內）","–","大明律;皇越律例","黎朝","越南漢喃研究院（數位化）","2026-08-01","ARR","漢喃院藏本，數位公開","已收錄 metadata","越南最古法典","越南"
"占婆碑銘","占婆國（Champa）","5–15世紀","碑碣與實物刻文","越南國家歷史博物館","VN-ST-08","https://baotanglichsu.vn/","sa;vi","圖檔","占婆王國（2–15世紀）遺存之碑銘，以梵文・占文刻於美山聖地・東陽・菩提羅等遺址，記王統系譜・建廟奉祀・戰爭事功，為東南亞印度化早期國家之珍貴銘文史料，見證越南中部占婆文明之興衰，與吳哥・爪哇碑銘同屬東南亞印度化傳統","占婆;碑銘;美山;梵文;印度化","李陳黎朝（939–1527）","越南中部（占婆故地）","–","美山聖地;吳哥碑銘","占婆國","越南國家歷史博物館（數位典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","占婆文明銘文","越南"
"大南實錄","越南阮朝（國史館）","1821–1890","傳世文獻","越南國家檔案局","VN-ST-09","https://archives.org.vn/","zh","文字","阮朝國史館纂修之官修國史，分《實錄正編》《實錄前編》，記嘉隆至嗣德間歷朝事跡，凡數百卷，用漢文編年體，為阮朝（1802–1945）最完整之官方史書，與《大越史記全書》接續為越南漢字正史之殿軍，檔案局所藏硃本與實錄稿本尤具價值","大南實錄;阮朝;國史;官修史書;漢文","阮朝（1802–1945）","順化","–","大越史記全書;大南一統志","阮朝國史館","越南國家檔案局（數位化）","2026-08-01","ARR","國家檔案典藏，線上瀏覽","已收錄 metadata","阮朝官修國史","越南"
"阮朝硃本","阮朝（Châu bản triều Nguyễn）","1802–1945","官方檔案文書","越南國家檔案局","VN-ST-10","https://archives.org.vn/","zh","文字","阮朝歷代皇帝以朱筆批閱之奏疏公文「硃本」（Châu bản），自嘉隆至保大凡百餘年，存世約8萬餘頁，內容涵蓋田賦・軍政・外交・教災等，2014年登錄UNESCO世界記憶遺產，為越南國家檔案館之鎮館寶藏，反映東亞君主批示公文制度在越南之延續","阮朝硃本;硃批奏摺;皇帝檔案;UNESCO;國家檔案","阮朝（1802–1945）","順化","–","清代硃批奏摺;大南實錄","阮朝","越南國家檔案局（數位化）","2026-08-01","ARR","世界記憶遺產，數位公開","已收錄 metadata","阮朝皇帝硃批檔案","越南"
