"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"THDL—清代臺灣職官奏疏選（1683–1795）","多件官員（閩浙總督、福建巡撫、臺灣道等）","1683-1795","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1683-1795","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄之清領前期臺灣相關奏疏，含康熙至乾隆年間行政、軍事、墾務、原住民治理等各類題本","清代;奏疏;臺灣;THDL;清領前期","清領前期（1683–1795）","全臺灣;福建","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","康熙至乾隆為清領前期制度建立階段"
"THDL—清代臺灣職官奏疏選（1796–1860）","多件官員（閩浙總督、福建巡撫、臺灣道等）","1796-1860","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1796-1860","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄嘉慶至咸豐年間臺灣相關奏疏，含蔡牽海盜、分類械鬥、噶瑪蘭設廳等議題","清代;奏疏;臺灣;THDL;清領中期","清領前期（1796–1860）","全臺灣;福建","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","嘉慶至咸豐為臺灣社會動盪與開發加速階段"
"淡新檔案（行政篇）","淡水廳／新竹縣衙","1770-1895","官方檔案文書","國立臺灣大學圖書館（原件）／THDL（數位版）","DS-ADMIN-THDL","http://thdl.ntu.edu.tw/","zh","文字","清代淡水廳至新竹縣衙門行政檔案，涵蓋土地、戶口、分類械鬥、原住民治理等，為清代臺灣最完整的基層行政檔案","淡新檔案;清代;行政;淡水廳;新竹","清領前期（1770–1895）","淡水廳;新竹","﹣","﹣","﹣","國立臺灣大學數位人文研究中心（數位化）","2026-07-30","UNCLEAR","THDL 全文公開查詢","已收錄 metadata","清代臺灣三大檔案之一，基層行政實錄"
"淡新檔案（民事篇）","淡水廳／新竹縣衙","1780-1895","官方檔案文書","國立臺灣大學圖書館（原件）／THDL（數位版）","DS-CIVIL-THDL","http://thdl.ntu.edu.tw/","zh","文字","淡新檔案民事門收錄清代臺灣民間土地買賣、典借、鬮分、婚姻等訴訟案件，為臺灣社會經濟史最珍貴的第一手檔案","淡新檔案;民事;土地;清代;社會","清領前期（1780–1895）","淡水廳;新竹","﹣","﹣","﹣","國立臺灣大學數位人文研究中心（數位化）","2026-07-30","UNCLEAR","THDL 全文公開查詢","已收錄 metadata","清代臺灣民間社會生活最直接證據"
"藍鼎元《平臺紀略》","藍鼎元","1723","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","LDD-PINGTAI-01","﹣","zh","文字","藍鼎元隨族兄藍廷珍平定朱一貴事件（1721年）後撰寫之平臺紀事，兼論臺灣善後之策，含「治臺三策」等經典論述","藍鼎元;平臺紀略;朱一貴;清代;治臺","清領前期（1721–1723）","全臺灣","﹣","﹣","臺灣銀行經濟研究室（臺灣文獻叢刊第11種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","朱一貴事件為清領首次大規模民變"
"藍鼎元《東征集》","藍鼎元","1722-1724","官方檔案文書","國立臺灣圖書館（原件）／臺灣銀行經濟研究室（刊本）","LDD-DONGZHENG-01","﹣","zh","文字","藍鼎元隨軍征臺期間之書信、公牘與論策合集，為清領前期臺灣經營與原住民治理之重要政論文獻","藍鼎元;東征集;臺灣;公文;清代","清領前期（1721–1724）","全臺灣","﹣","平臺紀略","臺灣銀行經濟研究室（臺灣文獻叢刊第12種）","﹣","2026-07-30","ARR","臺灣文獻叢刊絕版","已收錄 metadata","藍鼎元治臺主張影響清代臺灣政策至深"
"THDL—朱一貴事件相關奏疏","閩浙總督覺羅滿保等官員","1721-1722","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1721-ZYG","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄朱一貴事件發生與平定過程中清廷與閩省官員往來奏疏，含覺羅滿保、藍廷珍、施世驃等題本","朱一貴;民變;THDL;奏疏;清代","清領前期（1721–1722）","全臺灣;福建","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","朱一貴事件為清代臺灣三大民變之首"
"THDL—林爽文事件相關奏疏","閩浙總督常青、福康安等官員","1786-1788","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1786-LSW","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄林爽文事件期間清廷調兵遣將、善後撫卹等奏疏，含福康安、常青、柴大紀等題本","林爽文;民變;THDL;奏疏;清代","清領前期（1786–1788）","全臺灣;福建","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","林爽文事件為乾隆「十全武功」之一"
"THDL—蔡牽海盜相關奏疏","閩浙總督玉德、阿林保等官員","1800-1809","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1800-CQ","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄嘉慶年間蔡牽、朱濆等海盜騷擾臺灣沿海之奏疏，反映清廷水師剿匪與沿海防務","蔡牽;海盜;THDL;奏疏;清代","清領前期（1800–1809）","全臺灣沿海;福建;浙江","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","蔡牽為清代臺灣最大規模海盜勢力"
"THDL—清代臺灣分類械鬥相關檔案","多件官員與地方衙門","1768-1860","官方檔案文書","臺灣歷史數位圖書館（THDL）","THDL-QG-1768-FLXD","http://thdl.ntu.edu.tw/","zh","文字","THDL收錄清代臺灣漳泉械鬥、閩客械鬥、異姓械鬥等分類械鬥相關奏疏與地方檔案","分類械鬥;清代;漳泉;閩客;THDL","清領前期（1768–1860）","全臺灣","﹣","明清臺灣行政檔案（THDL 文獻集）","﹣","國立臺灣大學數位人文研究中心（全文數位化）","2026-07-30","UNCLEAR","THDL 免登入全文檢索","已收錄 metadata","分類械鬥為清領前期臺灣社會主要動盪因素"
