"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","澳門"
"澳門政府公報（Boletim Oficial）","澳門政府（葡治）","澳門葡治時期（1850–1999）","官方檔案文書","澳門檔案館","MO-ST-01","https://www.archives.gov.mo/cn/","pt","文字","葡治時期澳門政府之官方公報，1850年起刊行，收錄法例、總督訓令、政務通告與公職人事，為研究澳葡時期行政法制與政策施行之核心官方檔案，澳門檔案館已數位化提供線上瀏覽","政府公報;法例;澳葡政府;殖民管治;澳門","澳門葡治時期（1850–1999）","澳門","–","澳門檔案期刊;澳門人口統計","澳門政府（葡治）","澳門檔案館（數位化）","2026-07-31","ARR","官方檔案，線上瀏覽與申請調閱","已收錄 metadata","澳葡時期官方公報全文紀錄","澳門"
"澳門檔案（Boletim do Arquivo de Macau）","澳門檔案館","澳門葡治時期（1929–1979）","報刊與雜誌","澳門檔案館","MO-ST-02","https://www.archives.gov.mo/cn/","pt","文字;圖檔","澳門檔案館出版之學術期刊《澳門檔案》，1929年至1979年間刊行，收錄澳門歷史文獻、檔案研究與專題考釋，為研究葡治時期澳門史之重要學術期刊","澳門檔案;學術期刊;歷史研究;澳門","澳門葡治時期（1929–1979）","澳門","–","澳門政府公報;澳門漢文文書","澳門檔案館","澳門檔案館（數位化）","2026-07-31","ARR","官方期刊，線上瀏覽","已收錄 metadata","澳門歷史學術研究期刊","澳門"
"澳門漢文文書（明清澳門中文檔案）","明清澳門地方官府","澳門葡治時期（1557–1849）","官方檔案文書","澳門檔案館;葡萄牙東波塔國家檔案館","MO-ST-03","https://www.archives.gov.mo/cn/","zh","文字","明清時期澳門華葡往來之中文官方文書，涵蓋香山縣衙門、澳門同知與葡萄牙人議事會之公文、稟帖與契約，原件多存於澳門檔案館及葡萄牙東波塔國家檔案館（Torre do Tombo），為研究明清澳門治理與中西交涉之關鍵中文史料","明清;澳門;中文文書;中西交涉;香山縣","澳門葡治時期（1557–1849）","澳門","–","澳門政府公報;澳門地圖","明清澳門地方官府","澳門檔案館;葡萄牙東波塔國家檔案館（館藏）","2026-07-31","ARR","原件散藏於澳門與里斯本，需申請調閱","已收錄 metadata","明清時期澳門中文官方文書","澳門"
"澳門古地圖與海圖（16–19世紀）","葡萄牙製圖家;澳門地方官府","澳門葡治時期（1557–1899）","方志與輿圖","澳門檔案館;澳門中央圖書館","MO-ST-04","https://www.archives.gov.mo/cn/","pt","地圖","16世紀至19世紀葡萄牙人及西方製圖家繪製之澳門地圖與航海圖，記錄澳門港埠地理、街道發展與填海變遷，為研究澳門城市空間演變與中西海上交通之重要輿圖史料","古地圖;海圖;航海;澳門","澳門葡治時期（1557–1899）","澳門","–","澳門政府公報;澳門漢文文書","葡萄牙製圖家","澳門檔案館;澳門中央圖書館（館藏）","2026-07-31","ARR","館藏原件，需申請調閱","已收錄 metadata","澳門城市空間演變輿圖","澳門"
"澳門天主教教區歷史檔案","天主教澳門教區","澳門葡治時期（1576–1999）","人物傳記與家族史料","天主教澳門教區;澳門檔案館","MO-ST-05","https://www.archives.gov.mo/cn/","pt","文字","1576年澳門教區成立以來之教區檔案，含領洗冊、婚姻冊、主教牧函與教堂沿革紀錄，記錄葡治時期澳門宗教生活與人口組成，為研究澳門社會史與西教東傳之重要史料","天主教;教區;教會檔案;澳門","澳門葡治時期（1576–1999）","澳門","–","澳門漢文文書;澳門人口統計","天主教澳門教區","澳門檔案館（數位化）","2026-07-31","ARR","教會檔案，需申請調閱","已收錄 metadata","天主教澳門教區歷史檔案","澳門"
"澳門人口統計資料（歷年普查）","澳門政府（葡治）","澳門葡治時期（1867–1999）","統計與調查資料","澳門檔案館","MO-ST-06","https://www.archives.gov.mo/cn/","pt","文字","葡治時期澳門歷次人口普查與統計年鑑，記錄澳門人口規模、族群、職業與國籍結構，1867年起陸續編纂，為研究澳門人口變遷與社會結構之官方統計史料","人口普查;統計;人口結構;澳門","澳門葡治時期（1867–1999）","澳門","–","澳門政府公報;澳門藍皮書","澳門政府（葡治）","澳門檔案館（數位化）","2026-07-31","ARR","官方檔案，線上瀏覽與申請調閱","已收錄 metadata","葡治時期人口統計史料","澳門"
"澳門海關與對外貿易紀錄","澳門海關（葡治）","澳門葡治時期（1557–1999）","產業與經濟實錄","澳門檔案館;葡萄牙東波塔國家檔案館","MO-ST-07","https://www.archives.gov.mo/cn/","pt","文字","葡治時期澳門海關、港口與對外貿易之徵稅紀錄、商船文件與貿易統計，記錄澳門作為東亞貿易港之經濟活動與轉口網絡，為研究澳門經濟史與海上絲路貿易之重要檔案","海關;貿易;港口;海上絲路;澳門","澳門葡治時期（1557–1999）","澳門","–","澳門政府公報;澳門古地圖","澳門海關（葡治）","澳門檔案館;葡萄牙東波塔國家檔案館（館藏）","2026-07-31","ARR","館藏檔案，需申請調閱","已收錄 metadata","澳門對外貿易經濟檔案","澳門"
"澳門博彩與娛樂業歷史檔案","澳門政府（葡治）","澳門葡治時期（1849–1999）","產業與經濟實錄","澳門檔案館","MO-ST-08","https://www.archives.gov.mo/cn/","pt","文字","葡治時期澳門博彩專營制度之批給合同、監管文件與稅收紀錄，涵蓋1849年博彩專營化至1999年回歸前之經營檔案，為研究澳門以博彩業為經濟支柱之發展歷程的關鍵產業史料","博彩;專營;娛樂;經濟;澳門","澳門葡治時期（1849–1999）","澳門","–","澳門政府公報;澳門海關與對外貿易紀錄","澳門政府（葡治）","澳門檔案館（館藏）","2026-07-31","ARR","館藏檔案，需申請調閱","已收錄 metadata","博彩專營制度發展檔案","澳門"
"澳門歷史城區申遺與文物保護檔案","澳門文化局","澳門特區時期（1999–迄今）","考古與物質文化","澳門文化局","MO-ST-09","https://www.icm.gov.mo/","zh","文字;圖檔","澳門文化局歷年文物清單、歷史建築修繕與保護檔案，含2005年「澳門歷史城區」列入世界遺產之申遺文件與後續保育紀錄，為研究澳門文化遺產政策與歷史空間保存之官方檔案","世界遺產;歷史城區;文物保護;澳門","澳門特區時期（1999–迄今）","澳門","–","澳門古地圖;澳門博物館藏品","澳門文化局","澳門文化局","2026-07-31","ARR","官方檔案，線上查閱","已收錄 metadata","澳門歷史城區保育檔案","澳門"
"澳門特區政府公報（1999年起）","澳門特別行政區政府","澳門特區時期（1999–迄今）","官方檔案文書","澳門特別行政區政府印務局","MO-ST-10","https://www.bo.dsaj.gov.mo/","zh","文字","澳門特別行政區政府公報，1999年12月20日回歸後繼續刊行，收錄特區法例、行政長官批示、政策文件與公職人事，為研究一國兩制下澳門法制與施政之官方權威紀錄","公報;特區政府;法例;一國兩制;澳門","澳門特區時期（1999–迄今）","澳門","–","澳門政府公報;澳門人口統計","澳門特別行政區政府","澳門特別行政區政府印務局（數位化）","2026-07-31","ARR","官方公報，線上瀏覽","已收錄 metadata","回歸後特區官方公報","澳門"
