"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","香港"
"香港政府憲報（Government Gazette）","香港政府（英治）","香港英治時期（1841–1941）","官方檔案文書","香港政府檔案處","HK-ST-01","https://www.grs.gov.hk/","en","文字","英國殖民時期香港政府之官方公報，1841年9月24日創刊，刊載法例、政府通告、公告與人事任免，為研究開埠至日佔期間香港行政法制之第一手官方紀錄，涵蓋1841年至1941年全期","香港憲報;政府公報;法例;殖民管治;香港","香港英治時期（1841–1941）","香港","–","香港藍皮書;香港立法局議事錄","香港政府（英治）","香港政府檔案處（數位化）","2026-07-31","ARR","官方檔案，線上瀏覽與申請調閱","已收錄 metadata","英治時期官方公報全文紀錄","香港"
"香港藍皮書（Blue Book）","香港政府（英治）","香港英治時期（1844–1941）","官方檔案文書","香港政府檔案處","HK-ST-02","https://www.grs.gov.hk/","en","文字","香港殖民地年度統計與施政報告，1844年起逐年編纂，彙編政府收支、人口、貿易、海關與公共事務統計，為重建香港開埠後社會經濟全貌之關鍵官方年鑑","藍皮書;統計;施政報告;殖民地;香港","香港英治時期（1844–1941）","香港","–","香港政府憲報;香港人口普查","香港政府（英治）","香港政府檔案處（數位化）","2026-07-31","ARR","官方檔案，線上瀏覽與申請調閱","已收錄 metadata","殖民地年度施政統計總覽","香港"
"香港人口普查報告（1841年起）","香港政府（英治）","香港英治時期（1841–1931）","統計與調查資料","香港政府檔案處","HK-ST-03","https://www.grs.gov.hk/","en","文字","英治時期香港歷次人口普查報告，記錄人口規模、族群組成、職業結構與居住分布，涵蓋1841年首次人口調查至1931年普查，為研究香港社會結構變遷之基礎統計史料","人口普查;人口統計;族群;香港","香港英治時期（1841–1931）","香港","–","香港藍皮書;香港政府憲報","香港政府（英治）","香港政府檔案處（數位化）","2026-07-31","ARR","官方檔案，線上瀏覽與申請調閱","已收錄 metadata","英治時期人口統計基礎史料","香港"
"香港總督與英國殖民地部往來公文（CO129）","香港總督府","香港英治時期（1841–1951）","官方檔案文書","香港政府檔案處","HK-ST-04","https://www.grs.gov.hk/","en","文字","英國殖民地部檔案CO129，收錄香港總督與殖民地部之往來公文、報告與決策紀錄，涵蓋1841年至1951年，為研究香港殖民管治政策形成與執行之核心官方檔案，政府檔案處藏有縮微膠卷","殖民地部;總督;往來公文;殖民管治;香港","香港英治時期（1841–1951）","香港","–","香港政府憲報;香港藍皮書","英國殖民地部","香港政府檔案處（縮微膠卷收藏）","2026-07-31","ARR","館藏縮微膠卷，需申請調閱","已收錄 metadata","殖民地統治核心官方檔案","香港"
"香港舊報紙數位化（MMIS多媒體資訊系統）","香港公共圖書館","香港英治時期（1841–1941）","報刊與雜誌","香港公共圖書館","HK-ST-05","https://mmis.hkpl.gov.hk/","zh","文字;圖檔","香港公共圖書館多媒體資訊系統（MMIS）收錄之香港舊報紙數位影像，包括《孖剌報》《德臣西報》《中國郵報》等十九世紀至二十世紀前期報章，為研究香港報業史與社會輿論之原始素材","舊報紙;報業;新聞;香港","香港英治時期（1841–1941）","香港","–","香港政府憲報;香港記憶","香港公共圖書館","香港公共圖書館（數位化）","2026-07-31","ARR","線上瀏覽，部分限館內使用","已收錄 metadata","早期中英文報章數位影像","香港"
"香港開埠初期地圖與城市規劃圖","英國皇家工程兵隊","香港英治時期（1841–1900）","方志與輿圖","香港歷史博物館;香港公共圖書館","HK-ST-06","https://hk.history.museum/","en","地圖","1840年代英國佔領香港後測繪之城市與海港地圖、軍用地圖及維多利亞城規劃圖，記錄填海造地前之海岸線與早期街道格局，為研究香港城市發展起點之關鍵輿圖資料","古地圖;城市規劃;維多利亞城;香港","香港英治時期（1841–1900）","香港","–","香港開埠初期照片;香港記憶","英國皇家工程兵隊","香港歷史博物館（館藏）","2026-07-31","ARR","館藏原件，需申請調閱","已收錄 metadata","香港開埠城市規劃輿圖","香港"
"東華三院歷史檔案","東華醫院;東華三院","香港英治時期（1870–1997）","人物傳記與家族史料","東華三院檔案館","HK-ST-07","https://www.tungwah.org.hk/","zh","文字;圖檔","東華三院歷年保存之董事局檔案、義莊紀錄、慈善救濟文書與院舍沿革資料，反映香港華人社會自1870年東華醫院創立以來之組織運作與社會救助網絡，兼具社團史與社會史價值","東華三院;慈善;董事局;義莊;香港","香港英治時期（1870–1997）","香港","–","香港人口普查;香港報刊","東華醫院","東華三院檔案館","2026-07-31","ARR","館藏檔案，需申請調閱","已收錄 metadata","香港華人慈善團體核心檔案","香港"
"香港跑馬地墳場碑文拓片與記錄","香港歷史博物館","香港英治時期（1841–1945）","碑碣與實物刻文","香港歷史博物館","HK-ST-08","https://hk.history.museum/","zh","文字;圖檔","跑馬地（快樂谷）墳場自1845年啟用，收葬早期歐亞裔居民，其墓碑碑文記錄逝者生平、職業與家族關係，為重建開埠初期香港人口組成與國際社群之重要實物史料","墳場;碑文;墓葬;殖民社群;香港","香港英治時期（1841–1945）","香港","–","香港人口普查;香港開埠初期照片","香港歷史博物館","香港歷史博物館（館藏）","2026-07-31","ARR","館藏原件與拓本，需申請調閱","已收錄 metadata","開埠初期墓葬碑刻記錄","香港"
"香港天文台歷史颱風與氣象紀錄（1884年起）","香港天文台","香港英治時期（1884–1941）","自然與環境背景","香港天文台","HK-ST-09","https://www.hko.gov.hk/","en","文字","香港天文台自1884年成立以來之颱風信號、氣象觀測與天氣報告紀錄，含歷次風災（如1906年、1937年嚴重颱風）之災情記載，為研究香港自然災害史與氣候變遷之官方觀測史料","颱風;氣象觀測;風災;香港","香港英治時期（1884–1941）","香港","–","香港政府憲報;香港藍皮書","香港天文台","香港天文台","2026-07-31","ARR","官方紀錄，線上查閱","已收錄 metadata","1884年起連續氣象觀測紀錄","香港"
"香港日佔時期檔案（1941–1945）","香港佔領地總督部","香港日佔時期（1941–1945）","官方檔案文書","香港政府檔案處","HK-ST-10","https://www.grs.gov.hk/","ja","文字","日佔時期香港佔領地總督部之行政檔案、物資配給與人口管理文件，記錄三年零八個月日佔期間香港之糧食政策、戰俘營與社會管制狀況，為研究二次大戰東亞佔領史之關鍵檔案","日佔;香港佔領地;戰俘營;物資配給;香港","香港日佔時期（1941–1945）","香港","–","香港總督與殖民地部往來公文;香港人口普查","香港佔領地總督部","香港政府檔案處（館藏）","2026-07-31","ARR","館藏檔案，需申請調閱","已收錄 metadata","日佔時期行政檔案","香港"
"香港政府年報（Hong Kong Annual Report）","香港政府","香港戰後時期（1946–1997）","報刊與雜誌","香港政府檔案處","HK-ST-11","https://www.grs.gov.hk/","en","文字;圖檔","香港政府年度報告，1946年起逐年刊行，彙整政府施政、經濟、社會與文教發展，配有大量照片，為回顧戰後至回歸前香港現代化歷程之官方總覽","政府年報;施政;經濟發展;香港","香港戰後時期（1946–1997）","香港","–","香港政府憲報;香港藍皮書","香港政府","香港政府檔案處（數位化）","2026-07-31","ARR","官方出版物，線上瀏覽與申請調閱","已收錄 metadata","戰後官方年度施政總覽","香港"
