"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","琉球"
"歷代寶案（校訂本・譯注本）","久米村士族（蔡鐸等）","古琉球時期（1424–1867）","官方檔案文書","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-01","https://ryuoki-archive.jp/","zh","文字","琉球王國與中國（明・清）、朝鮮、東南亞諸國往來之外交文書集，1424年（永樂22）至1867年（同治6）凡444年，約4230件，全為漢文；原本已佚，沖繩縣教育委員會以寫本・影印本復元，校訂本・譯注本各15冊全文數位公開，為琉球史暨東亞交流史第一級史料","歷代寶案;外交文書;朝貢;冊封;琉球王國","古琉球時期（1424–1867）","琉球王國全境（含中國・朝鮮・東南亞往來）","–","中山傳信錄;琉球王國評定所文書","久米村士族","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","原二部（首里城本・久米村本）皆佚於災厄，現存僅寫本・影印本","琉球"
"中山傳信錄","徐葆光（清冊封副使）","第二尚氏王朝（1719）","傳世文獻","沖繩縣立圖書館;國立國會圖書館","RY-ST-02","https://www.ndl.go.jp/","zh","文字","清康熙五十八年（1719）冊封副使徐葆光所撰使錄，詳記琉球地理、制度、風俗、禮儀與中琉關係，附琉球地圖與宮室圖，為清代冊封琉球之最重要傳世文獻","中山傳信錄;冊封使;中琉關係;琉球風俗","第二尚氏王朝（1719）","琉球王國","–","歷代寶案;使琉球錄","徐葆光（清）","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","冊封使錄之集大成","琉球"
"琉球國志略","周煌（清冊封副使）","第二尚氏王朝（1759）","傳世文獻","國立國會圖書館;沖繩縣立圖書館","RY-ST-03","https://www.ndl.go.jp/","zh","文字","清乾隆二十一年（1756）冊封副使周煌奉使後所纂，仿史志體例分十六卷，綜括琉球沿革、星野、形勝、物產、風俗、藝文等，為清代後期記述琉球最詳備之志書","琉球國志略;冊封使;中琉關係;琉球志書","第二尚氏王朝（1759）","琉球王國","–","中山傳信錄;歷代寶案","周煌（清）","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","清修琉球志書之集大成","琉球"
"使琉球錄（陳侃本）","陳侃（明冊封使）","第一尚氏王朝（1534）","傳世文獻","國立國會圖書館;那霸市歷史博物館","RY-ST-04","https://www.ndl.go.jp/","zh","文字","明嘉靖十三年（1534）冊封使陳侃所撰使錄，記航海經歷、琉球形勢與冊封禮儀，為現存最早之明代使琉球錄，乃研究明琉關係與古琉球社會之基礎文獻","使琉球錄;冊封使;明琉關係;航海","第一尚氏王朝（1534）","琉球王國","–","中山傳信錄;歷代寶案","陳侃（明）","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","明代使琉球錄之始","琉球"
"琉球王國評定所文書","首里王府（評定所）","第二尚氏王朝（1600年代–1879）","官方檔案文書","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-05","https://ryuoki-archive.jp/","ja","文字","琉球王國最高行政機關評定所之文書，凡數十冊，收錄王國政務、人事、法令與對內對外往來文書，為理解王國行政運作之核心檔案","評定所;王府;行政文書;琉球王國","第二尚氏王朝（1600年代–1879）","琉球王國","–","歷代寶案;首里王府仕置","首里王府","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","王國最高行政機關檔案","琉球"
"首里王府仕置","首里王府","第二尚氏王朝（17–19世紀）","官方檔案文書","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-06","https://ryuoki-archive.jp/","ja","文字","首里王府頒布之政令・布達文書（仕置），含行政制度、租稅、風俗禁令等規定，為研究王國統治體制與社會規範之官方檔案","仕置;王府布達;政令;琉球王國","第二尚氏王朝（17–19世紀）","琉球王國","–","琉球王國評定所文書","首里王府","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","王國政令布達文書","琉球"
"琉球王國之土地制度史料（地割・檢地）","首里王府;薩摩藩","第二尚氏王朝（1609–1879）","產業與經濟實錄","沖繩縣教育委員會（琉球王國交流史デジタルアーカイブ）","RY-ST-07","https://ryuoki-archive.jp/","ja","文字","琉球王國之土地制度文書，含地割制、賦稅、徭役等相關檔案，薩摩支配時代（1609年起）之檢地與經濟紀錄亦收錄其中，為研究王國經濟基礎與幕藩支配之重要史料","土地制度;地割;檢地;租稅;薩摩藩","第二尚氏王朝（1609–1879）","琉球王國","–","琉球王國評定所文書;歷代寶案","首里王府","沖繩縣教育委員會（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","王國土地經濟制度史料","琉球"
"球陽","鄭秉哲等（王府史官）","第二尚氏王朝（1743–1879）","官方檔案文書","沖繩縣立圖書館;那霸市歷史博物館","RY-ST-08","https://www.rekishi-archive.city.naha.okinawa.jp/","zh","文字","琉球王國官修編年史，1743年（乾隆8）開始編纂，記錄王國歷代史事、災異、人事與外交大事，至1879年琉球處分為止，為王國官方史書","球陽;王府編年史;琉球史","第二尚氏王朝（1743–1879）","琉球王國","–","中山世鑑;歷代寶案","首里王府","那霸市歷史博物館（收藏）","2026-08-01","ARR","館藏文獻，需申請調閱","已收錄 metadata","王國官修編年史","琉球"
"古琉球之三山時代史料（北山・中山・南山）","三山諸王（北山・中山・南山）","古琉球時期（1314–1429）","官方檔案文書","沖繩縣立博物館・美術館;那霸市歷史博物館","RY-ST-09","https://okimu.jp/","zh","文字","三山時代（北山・中山・南山鼎立）之史料，含諸王系譜、與明朝往來之入貢紀錄及遺址出土資料，為理解琉球王國統一前之政治社會之基礎史料","三山時代;北山;中山;南山;入貢","古琉球時期（1314–1429）","琉球本島","–","中山世鑑;使琉球錄","三山諸王","沖繩縣立博物館・美術館（收藏）","2026-08-01","ARR","館藏資料，需申請調閱","已收錄 metadata","王國統一前之三山史料","琉球"
"中山世鑑","向象賢（羽地朝秀）","第一尚氏王朝（1650）","傳世文獻","沖繩縣立圖書館;國立國會圖書館","RY-ST-10","https://www.ndl.go.jp/","ja","文字","1650年（慶安3）首里王府儒官向象賢撰，以漢文敘述琉球開闢傳說至尚質王之歷史，為琉球最初之通史，奠定王國正統史觀","中山世鑑;琉球通史;向象賢;王統","第一尚氏王朝（1650）","琉球王國","–","球陽;中山傳信錄","首里王府","國立國會圖書館（數位化）","2026-08-01","ARR","數位全文公開，線上瀏覽","已收錄 metadata","琉球最初之漢文通史","琉球"
