題名,creator,日期,類型,資料類型,來源,識別碼,來源網址,語言,描述,主題,年代範圍,地理範圍,翻譯者,關聯,出版者,貢獻者,取得日期,授權狀態,授權備註,收錄狀態,備註,檢索指引,region
美國建國文獻（獨立宣言、憲法、權利法案）,America's Founding Documents,1776–1791,官方檔案文書,文字,National Archives and Records Administration (NARA),US-ST-01,https://www.archives.gov/founding-docs,英語,美國三大建國文獻數位原件：《獨立宣言》（1776）、《美國憲法》（1787）與《權利法案》（1791），由 NARA 提供高解析度掃描與全文檢索。,美國建國；憲政史；獨立戰爭；權利法案,1776–1791,美國,–,–,National Archives and Records Administration (NARA),–,2026-08-20,公共領域,美國聯邦政府文件，公共領域,已收錄,NARA 核心館藏；美國建國三大文件,頁面已為直接文獻頁，無需另尋,US
美國國家檔案館目錄（NARA Catalog）,National Archives and Records Administration,1775–迄今,官方檔案文書,文字,National Archives and Records Administration (NARA),US-ST-02,https://catalog.archives.gov,英語,美國國家檔案館線上目錄，收錄聯邦政府機構產生的檔案文書、照片、地圖、影音等，涵蓋獨立戰爭至當代，提供 API 可程式化查詢。,聯邦檔案；政府記錄；歷史文獻,1775–迄今,美國,National Archives Catalog API 提供 JSON 格式查詢,–,National Archives and Records Administration (NARA),–,2026-08-20,公共領域,美國聯邦政府資料，公共領域,已收錄,NARA 主目錄；100億+頁檔案記錄,搜尋框輸入史料關鍵字（如 "Taiwan" 或 "Declaration of Independence"）；可用左側篩選依 Record Group、年代、主題縮小範圍,US
美國國會圖書館數位館藏,Library of Congress,1800–迄今,官方檔案文書,文字;圖檔,Library of Congress,US-ST-03,https://www.loc.gov/collections/,英語,美國國會圖書館數位館藏總目錄，收錄 1500 萬件以上數位化文物，包括手稿、照片、地圖、報刊、影音等，提供 loc.gov JSON API 查詢。,美國文化遺產；數位館藏；多媒體,1800–迄今,美國,loc.gov JSON API 支援結構化查詢,–,Library of Congress,–,2026-08-20,公共領域,美國國會圖書館館藏，多數公共領域,已收錄,美國最大圖書館；15M+ 數位化文物,頁面已是分類入口；於搜尋框輸入關鍵字，或在 Collections 清單選擇主題（如 Manuscripts、Maps、Newspapers）再輸入關鍵字,US
Chronicling America 美國歷史報紙,Library of Congress / NEH,1777–1963,報刊與雜誌,文字,Library of Congress / National Endowment for the Humanities,US-ST-04,https://chroniclingamerica.loc.gov,英語,美國歷史報紙數位計畫（NDNP），由國會圖書館與 NEH 合作，收錄 1777–1963 年間美國各州數百萬頁報紙掃描，支援全文檢索與 API 查詢。,美國報業史；新聞史；社會史,1777–1963,美國,Chronicling America API 提供 JSON 格式查詢,–,Library of Congress / National Endowment for the Humanities,–,2026-08-20,公共領域,美國聯邦政府與 NEH 合作計畫，公共領域,已收錄,12M+ 頁歷史報紙；涵蓋全美各州,右上角 "Search Pages" 輸入關鍵字＋限定日期區間；或 "Browse" 依州與年份逐日瀏覽,US
美國外交關係叢書（FRUS）,U.S. Department of State,1861–迄今,官方檔案文書,文字,"Office of the Historian, U.S. Department of State",US-ST-05,https://history.state.gov/historicaldocuments,英語,美國政府官方外交政策文獻叢書，由國務院歷史辦公室編纂，收錄 1861 年至今主要外交決策文件，已出版 450+ 卷。,美國外交史；國際關係；冷戰史；外交文件,1861–迄今,全球,–,–,"Office of the Historian, U.S. Department of State",–,2026-08-20,公共領域,美國聯邦政府出版品，公共領域,已收錄,官方外交紀錄；450+ 卷數位化,左側依總統任期/年份展開卷次點選；或搜尋框輸入國家名關鍵字（如 "Taiwan"、"Korea"）查全文,US
美國國會立法資訊（Congress.gov）,Library of Congress,1973–迄今,官方檔案文書,文字,Library of Congress,US-ST-06,https://www.congress.gov,英語,美國國會官方立法資訊網站，提供法案文本、投票記錄、委員會紀錄、國會議員資訊等，涵蓋 1973 年至今，提供 API 查詢。,美國國會；立法史；法案紀錄,1973–迄今,美國,Congress.gov API 支援 JSON 格式查詢,–,Library of Congress,–,2026-08-20,公共領域,美國國會圖書館維護，公共領域,已收錄,美國國會官方資料；API 可用,上方搜尋框輸入法案編號或關鍵字；Legislation 分頁可依國會屆次（Congress）、法案狀態篩選,US
美國總統公開文件,Office of the Federal Register / National Archives,1929–迄今,官方檔案文書,文字,National Archives and Records Administration (NARA),US-ST-07,https://www.govinfo.gov/app/collection/ppp,英語,美國總統公開文件叢書，收錄總統公開演說、聲明、行政命令等，由國家檔案館聯邦登記辦公室出版，1929 年至今。,美國總統；行政命令；公開演說；政治史,1929–迄今,美國,–,–,Office of the Federal Register / NARA,–,2026-08-20,公共領域,美國聯邦政府出版品，公共領域,已收錄,總統公開文件；GovInfo 數位化,頁面已依總統任期分卷；點選具體總統（如 FDR、Nixon）再選年份卷期；搜尋框可輸入主題關鍵字,US
Founders Online 美國開國元勳文獻,National Archives and Records Administration,1763–1827,人物傳記與家族史料,文字,National Archives and Records Administration (NARA),US-ST-08,https://founders.archives.gov,英語,美國六大開國元勳（華盛頓、富蘭克林、亞當斯、傑佛遜、漢米爾頓、麥迪遜）的書信與文件數位化計畫，由 NARA 與大學合作，收錄 1763–1827 年間文獻。,開國元勳；美國革命；建國初期；書信,1763–1827,美國,–,–,National Archives and Records Administration (NARA),–,2026-08-20,公共領域,美國聯邦政府與學術機構合作，公共領域,已收錄,六大開國元勳文件數位化,上方搜尋框輸入人名/關鍵字；或依六大元勳（Washington/Franklin/Adams/Jefferson/Hamilton/Madison）分類點選再選年份,US
美國聯邦法典（CFR）,Office of the Federal Register,1996–迄今,官方檔案文書,文字,Office of the Federal Register / National Archives,US-ST-09,https://www.ecfr.gov,英語,美國聯邦法規彙編（Code of Federal Regulations），收錄聯邦政府機構發布的一般性與永久性規則，1996 年起數位化可查。,美國聯邦法規；行政規則；政府治理,1996–迄今,美國,–,–,Office of the Federal Register / NARA,–,2026-08-20,公共領域,美國聯邦政府法規彙編，公共領域,已收錄,美國聯邦法規全文；年度更新,搜尋框輸入標題編號（Title）或關鍵字；或左側依 Title 1–50 逐冊瀏覽,US
美國聯邦公報（Federal Register）,Office of the Federal Register,2000–迄今,官方檔案文書,文字,Office of the Federal Register / National Archives,US-ST-10,https://www.federalregister.gov,英語,美國聯邦政府的官方法律報紙，記錄聯邦機構的法規命令、公告、聽證通知等，2000 年起數位化。,聯邦公報；行政命令；法規公告,2000–迄今,美國,Federal Register API 支援結構化查詢,–,Office of the Federal Register / NARA,–,2026-08-20,公共領域,美國聯邦政府官方報紙，公共領域,已收錄,每日發行；API 可用,上方搜尋框輸入關鍵字；可按日期（Calendar）或依發布機構瀏覽,US
