題名,creator,日期,類型,來源,識別碼,來源網址,語言,資料類型,描述,主題,年代範圍,地理範圍,翻譯者,關聯,出版者,貢獻者,取得日期,授權狀態,授權備註,收錄狀態,備註
熱蘭遮城日誌卷一（1629-1641）,荷蘭東印度公司,1629-1641,人物傳記與家族史料,臺灣日記知識庫（中研院臺史所）,TACO-Zeelandia-01,https://taco.ith.sinica.edu.tw/tdk/,nl,文字,荷蘭東印度公司於大員之日誌，中譯本收錄1629年至1641年逐日記載,熱蘭遮城日誌;荷治;大員;VOC,荷西時期,大員（臺南安平）,江樹生（中譯）,De dagregisters van het Kasteel Zeelandia DEEL I,臺南市政府文化局,中研院臺史所（數位化）,2026-07-30,UNCLEAR,授權中研院臺史所收錄於日記知識庫，線上閱覽需申請帳號,已收錄 metadata,207萬字中譯本；2024年再版改為10冊
熱蘭遮城日誌卷二（1641-1648）,荷蘭東印度公司,1641-1648,人物傳記與家族史料,臺灣日記知識庫（中研院臺史所）,TACO-Zeelandia-02,https://taco.ith.sinica.edu.tw/tdk/,nl,文字,收錄1641年至1648年之逐日記載，含荷人與原住民互動、貿易等,熱蘭遮城日誌;荷治;大員;VOC,荷西時期,大員（臺南安平）,江樹生（中譯）,De dagregisters van het Kasteel Zeelandia DEEL II,臺南市政府文化局,中研院臺史所（數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
熱蘭遮城日誌卷三（1648-1655）,荷蘭東印度公司,1648-1655,人物傳記與家族史料,臺灣日記知識庫（中研院臺史所）,TACO-Zeelandia-03,https://taco.ith.sinica.edu.tw/tdk/,nl,文字,收錄1648年至1655年之逐日記載，荷治中期之穩定統治時期,熱蘭遮城日誌;荷治;大員;VOC,荷西時期,大員（臺南安平）,江樹生（中譯）,De dagregisters van het Kasteel Zeelandia DEEL III,臺南市政府文化局,中研院臺史所（數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
熱蘭遮城日誌卷四（1655-1662）,荷蘭東印度公司,1655-1662,人物傳記與家族史料,臺灣日記知識庫（中研院臺史所）,TACO-Zeelandia-04,https://taco.ith.sinica.edu.tw/tdk/,nl,文字,收錄1655年至1662年，含鄭成功攻臺至熱蘭遮城投降之完整紀錄,熱蘭遮城日誌;荷治;鄭成功;大員,荷西時期,大員（臺南安平）,江樹生（中譯）,De dagregisters van het Kasteel Zeelandia DEEL IV,臺南市政府文化局,中研院臺史所（數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,鄭成功攻臺關鍵史料
巴達維亞城日記—臺灣相關記事（1624-1629）,荷蘭東印度公司巴達維亞政府,1624-1629,官方檔案文書,荷蘭海牙國立中央檔案館（中譯本）,,–,nl,文字,巴達維亞城日記中與臺灣相關之紀錄，含荷人自澎湖轉進大員初期統治情況,巴達維亞城日記;荷治;VOC;澎湖,荷西時期,巴達維亞;大員;澎湖,曹永和等（中譯）,熱蘭遮城日誌,–,曹永和、中村孝志等（編譯）,2026-07-30,UNCLEAR,中譯本散見各出版品，數位版未完備,僅收錄 metadata,目前無單一數位資料庫收錄完整中譯本
明清臺灣行政檔案—福建巡撫南居益疏報逐荷夷出澎湖,南居益,1624,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1624001,http://thdl.ntu.edu.tw/,zh,文字,天啟4年福建巡撫南居益奏報驅逐荷蘭人出澎湖之經過，為荷治開啟之關鍵史料,澎湖之戰;荷蘭;明代海事;鄭芝龍,荷西時期,澎湖;福建,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,THDL 提供免登入全文檢索,已收錄 metadata,THDL 全文已數位化
明清臺灣行政檔案—兵部尚書張鶴鳴題澎湖捷音疏,張鶴鳴,1624,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1624002,http://thdl.ntu.edu.tw/,zh,文字,兵部尚書張鶴鳴題報澎湖驅荷戰役捷音，詳述明軍與荷軍交戰過程,澎湖之戰;明荷戰爭;明代兵部,荷西時期,澎湖;福建,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
明清臺灣行政檔案—福建巡撫鄒維璉請禁海疏,鄒維璉,1633,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1633001,http://thdl.ntu.edu.tw/,zh,文字,崇禎6年鄒維璉請禁海以制荷夷之奏疏，涉及料羅灣海戰前後局勢,明荷關係;海禁;料羅灣,荷西時期,福建;料羅灣,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
明清臺灣行政檔案—福建巡撫沈猶龍請恤陣亡將士疏,沈猶龍,1639,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1639001,http://thdl.ntu.edu.tw/,zh,文字,崇禎12年沈猶龍奏請撫卹與荷蘭作戰陣亡將士,明荷戰爭;陣亡撫卹;福建,荷西時期,福建,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
明清臺灣行政檔案—鄭芝龍題報海上捷音疏,鄭芝龍,1640,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1640001,http://thdl.ntu.edu.tw/,zh,文字,鄭芝龍題報剿平海寇及與荷人交涉及賞賚事宜,鄭芝龍;海商;明代海事,荷西時期,福建;臺灣海峽,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
明清臺灣行政檔案—招諭鄭芝龍勳賞稿,兵部,1628,官方檔案文書,臺灣歷史數位圖書館（THDL）,THDL-MQ-1628001,http://thdl.ntu.edu.tw/,zh,文字,崇禎元年兵部招撫鄭芝龍之文書，涉及鄭氏勢力與臺海局勢,鄭芝龍;招安;海上勢力,荷西時期,福建;臺灣海峽,–,明清臺灣行政檔案（THDL 文獻集）,–,國立臺灣大學數位人文研究中心（全文數位化）,2026-07-30,UNCLEAR,同上,已收錄 metadata,
