"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","韓國"
"三國史記","金富軾（김부식）","1145","傳世文獻","國史編纂委員會","KR-ST-01","https://db.history.go.kr/","ko;zh","文字","高麗仁宗23年（1145）金富軾等奉敕編纂之韓國最古正史，記高句麗・百濟・新羅三國事跡，凡50卷，用漢文編年體，為韓國古代史之根本文獻，與中國《史記》體例相通，為東亞正史傳統之韓國代表作","三國史記;金富軾;高句麗;百濟;新羅;正史","韓國史前・古代（～918）","朝鮮半島","–","三國遺事;日本書紀;高麗史","高麗王朝","國史編纂委員會（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","韓國最古正史","韓國"
"三國遺事","一然（일연）","1281","傳世文獻","國史編纂委員會","KR-ST-02","https://db.history.go.kr/","ko;zh","文字","高麗忠烈王7年（1281）僧一然所撰之韓國古代史・神話・佛教傳說總集，凡5卷，記檀君神話・新羅金氏祖源・佛教傳入等，為韓國神話與佛教史之根本文獻，補三國史記之闕，與日本《古事記》同為東亞各國民族敘事之經典","三國遺事;一然;檀君;韓國神話;佛教史","韓國史前・古代（～918）","朝鮮半島","–","三國史記;古事記;海東高僧傳","–","國史編纂委員會（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","韓國古代神話佛教總集","韓國"
"廣開土大王碑","高句麗","414","碑碣與實物刻文","韓國學中央研究院","KR-ST-03","https://yoksa.aks.ac.kr/","ko;zh","文字;圖檔","414年立於中國集安之高句麗廣開土大王陵碑，碑文記大王征伐・領土擴張與倭・百濟關係，凡1775餘字，為研究高句麗與東北亞古代國際關係之第一級金石史料，拓本流傳於中日韓，20世紀初引發「好太王碑論爭」","廣開土大王碑;高句麗;金石文;東北亞關係;好太王碑","韓國史前・古代（414）","高句麗（中國集安・朝鮮半島）","–","三國史記;日本書紀","–","韓國學中央研究院（數位化）","2026-08-01","PD","金石碑文，數位公開","已收錄 metadata","東北亞古代國際關係關鍵碑文","韓國"
"高句麗古墳壁畫","高句麗","5–7世紀","考古與物質文化","韓國國立中央博物館;韓國文化財廳","KR-ST-04","https://www.museum.go.kr/","ko","圖檔","高句麗時期王陵與貴族古墳壁畫（舞踊塚・角抵塚・藥水里等），描繪狩獵・戰爭・生活・四神圖，色彩鮮明，為東亞古代繪畫與生活史之珍貴圖像史料，2004年高句麗古墳群登錄UNESCO世界文化遺產，與中國東北高句麗遺址共構東北亞古代文明","高句麗古墳壁畫;四神圖;UNESCO;東北亞文明","韓國史前・古代（5–7世紀）","高句麗（平壤・集安）","–","高句麗古墳群;敦煌莫高窟","–","韓國國立中央博物館（數位化）","2026-08-01","PD","文化財公開，線上瀏覽","已收錄 metadata","高句麗壁畫圖像史料","韓國"
"慶州石窟庵・佛國寺","統一新羅","8世紀","考古與物質文化","韓國文化財廳","KR-ST-05","https://www.cha.go.kr/","ko","圖檔","統一新羅景德王時期（8世紀）所建之石窟庵本尊佛與佛國寺，1995年登錄UNESCO世界文化遺產，為韓國佛教雕刻與建築之最高傑作，與日本法隆寺・中國龍門石窟同為東亞佛教藝術之代表，反映新羅佛教文化之鼎盛","石窟庵;佛國寺;新羅佛教;UNESCO;佛教藝術","韓國史前・古代（8世紀）","慶州","–","龍門石窟;法隆寺","–","韓國文化財廳（數位化）","2026-08-01","PD","文化遺產，線上公開","已收錄 metadata","新羅佛教藝術代表作","韓國"
"高麗史","鄭麟趾等","1451","傳世文獻","國史編纂委員會","KR-ST-06","https://db.history.go.kr/","ko;zh","文字","朝鮮世宗時命鄭麟趾等撰之官修正史，記高麗王朝（918–1392）凡475年事跡，凡137卷，分世家・志・表・列傳，為高麗時代最完整之正史文獻，與中國《宋史》《遼史》等並為東亞斷代正史","高麗史;鄭麟趾;高麗;正史;官修史書","高麗（918–1392）","朝鮮半島","–","高麗史節要;三國史記","朝鮮王朝","國史編纂委員會（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","高麗正史","韓國"
"高麗史節要","金宗瑞等","1452","傳世文獻","國史編纂委員會","KR-ST-07","https://db.history.go.kr/","ko;zh","文字","1452年金宗瑞等奉世宗之命撰成之編年體高麗史，凡35卷，刪繁就簡，以編年記事補紀傳體高麗史之不足，為研究高麗政治・外交・社會之重要史料","高麗史節要;金宗瑞;高麗;編年體","高麗（918–1392）","朝鮮半島","–","高麗史","朝鮮王朝","國史編纂委員會（數位化）","2026-08-01","PD","古典文獻，數位全文公開","已收錄 metadata","高麗編年史","韓國"
"八萬大藏經","高麗王朝","1236–1251","考古與物質文化","海印寺;韓國文化財廳","KR-ST-08","https://www.cha.go.kr/","ko","圖檔;文字","高麗高宗23–38年（1236–1251）為祈願擊退蒙古入侵而刻造之八萬餘片木版藏經，現存海印寺藏經閣，凡8萬餘版，為世界最完整之佛教大藏經木版本，2007年登錄UNESCO世界記憶遺產，為高麗佛教文化與印刷史之頂點","八萬大藏經;高麗大藏經;海印寺;木版;UNESCO","高麗（1236–1251）","海印寺（慶尚南道）","–","直指心體要節;大藏經","高麗王朝","韓國文化財廳（數位化）","2026-08-01","PD","文化財公開，線上瀏覽","已收錄 metadata","世界最完整木版大藏經","韓國"
"直指心體要節","白雲和尙","1377","傳世文獻","韓國學中央研究院","KR-ST-09","https://yoksa.aks.ac.kr/","ko;zh","文字;圖檔","高麗禑王3年（1377）清州興德寺以金屬活字印行《白雲和尙抄錄佛祖直指心體要節》，為世界現存最早之金屬活字本，早於古騰堡聖經約78年，2001年登錄UNESCO世界記憶遺產，為韓國印刷文化史之世界級代表作","直指心體要節;金屬活字;印刷史;UNESCO;高麗","高麗（1377）","清州興德寺","–","八萬大藏經;世界記憶遺產","清州興德寺","韓國學中央研究院（數位化）","2026-08-01","PD","世界記憶遺產，數位公開","已收錄 metadata","世界最早金屬活字本","韓國"
"高麗青瓷","高麗王朝窯業","10–14世紀","考古與物質文化","韓國國立中央博物館","KR-ST-10","https://www.museum.go.kr/","ko","圖檔","高麗時代（10–14世紀）之青瓷，以翡色青瓷與象嵌青瓷著稱，反映高麗貴族審美與工藝水準，與中國宋代汝窯・龍泉窯並稱東亞青瓷高峰，其象嵌技法為韓國獨創，為韓國陶瓷史之代表","高麗青瓷;象嵌青瓷;陶瓷史;翡色","高麗（10–14世紀）","朝鮮半島","–","汝窯;龍泉窯","–","韓國國立中央博物館（數位化）","2026-08-01","PD","文化財公開，線上瀏覽","已收錄 metadata","高麗陶瓷工藝代表","韓國"
